X_value,Y_value,Z_value,Laser Distance
250.0,0.0,660.0,98.94684750733137
230.96988312782167,95.67085809127244,660.0,99.29582111436949
176.7766952966369,176.77669529663686,660.0,100.13709677419354
95.6708580912725,230.96988312782165,660.0,99.90029325513197
7.081923622059975e-14,250.0,660.0,99.96260997067449
-95.67085809127238,230.9698831278217,660.0,100.33651026392961
-176.77669529663677,176.77669529663697,660.0,100.17448680351906
-230.96988312782162,95.67085809127256,660.0,100.42375366568916
-250.0,1.416384724411995e-13,660.0,99.32697947214076
-230.96988312782173,-95.67085809127231,660.0,99.5949413489736
-176.77669529663697,-176.77669529663677,660.0,99.55131964809384
-95.67085809127258,-230.96988312782162,660.0,99.10263929618768
-2.67968859893057e-13,-250.0,660.0,99.29582111436949
95.6708580912723,-230.96988312782173,660.0,98.45454545454545
176.7766952966367,-176.7766952966371,660.0,98.1616568914956
230.96988312782162,-95.67085809127259,660.0,97.38269794721407
