X_value,Y_value,Z_value,Laser Distance
230.96988312782162,-95.67085809127259,-120.0,118.41458944281524
176.7766952966367,-176.7766952966371,-120.0,118.34604105571847
95.6708580912723,-230.96988312782173,-120.0,118.9692082111437
-2.67968859893057e-13,-250.0,-120.0,120.07844574780059
-95.67085809127258,-230.96988312782162,-120.0,119.73570381231671
-176.77669529663697,-176.77669529663677,-120.0,120.80755131964808
-230.96988312782173,-95.67085809127231,-120.0,121.68621700879766
-250.0,1.416384724411995e-13,-120.0,119.89149560117302
-230.96988312782162,95.67085809127256,-120.0,120.6891495601173
-176.77669529663677,176.77669529663697,-120.0,121.67375366568915
-95.67085809127238,230.9698831278217,-120.0,122.39662756598241
7.081923622059975e-14,250.0,-120.0,121.49303519061584
95.6708580912725,230.96988312782165,-120.0,122.60227272727272
176.7766952966369,176.77669529663686,-120.0,123.29398826979472
230.96988312782167,95.67085809127244,-120.0,123.35630498533725
250.0,0.0,-120.0,123.34384164222874
