X_value,Y_value,Z_value,Laser Distance
250.0,0.0,-80.0,83.14956011730206
250.0,0.0,-90.0,93.17008797653959
250.0,0.0,-100.0,103.08467741935485
250.0,0.0,-110.0,113.23607038123167
250.0,0.0,-120.0,123.10703812316716
250.0,0.0,-130.0,133.3207478005865
250.0,0.0,-140.0,143.24780058651027
230.96988312782167,95.67085809127244,-80.0,83.10593841642229
230.96988312782167,95.67085809127244,-90.0,93.21370967741936
230.96988312782167,95.67085809127244,-100.0,103.07844574780059
176.7766952966367,-176.7766952966371,-130.0,128.37280058651027
176.7766952966367,-176.7766952966371,-140.0,138.29985337243403
176.7766952966367,-176.7766952966371,-150.0,148.38269794721407
230.96988312782162,-95.67085809127259,-80.0,78.1891495601173
230.96988312782162,-95.67085809127259,-90.0,88.26576246334311
230.96988312782162,-95.67085809127259,-100.0,97.91862170087977
230.96988312782162,-95.67085809127259,-110.0,108.50623167155425
230.96988312782162,-95.67085809127259,-120.0,118.27126099706746
230.96988312782162,-95.67085809127259,-130.0,128.20454545454544
230.96988312782162,-95.67085809127259,-140.0,138.25
230.96988312782162,-95.67085809127259,-150.0,148.17082111436952
