X_value,Y_value,Z_value,Laser Distance
250.0,0.0,660.0,102.09384164222874
230.96988312782167,95.67085809127244,660.0,102.85410557184751
176.7766952966369,176.77669529663686,660.0,103.47104105571847
95.6708580912725,230.96988312782165,660.0,103.19684750733137
7.081923622059975e-14,250.0,660.0,102.69208211143695
-95.67085809127238,230.9698831278217,660.0,102.75439882697947
-176.77669529663677,176.77669529663697,660.0,102.52382697947215
-230.96988312782162,95.67085809127256,660.0,101.47067448680352
-250.0,1.416384724411995e-13,660.0,100.11217008797654
-230.96988312782173,-95.67085809127231,660.0,100.49230205278592
-176.77669529663697,-176.77669529663677,660.0,99.83797653958945
-95.67085809127258,-230.96988312782162,660.0,99.09017595307918
-2.67968859893057e-13,-250.0,660.0,100.03739002932551
95.6708580912723,-230.96988312782173,660.0,99.07771260997066
176.7766952966367,-176.7766952966371,660.0,98.87206744868035
230.96988312782162,-95.67085809127259,660.0,99.20234604105572
