X_value,Y_value,Z_value,Laser Distance
120.0,0.0,-25.0,72.12573313782991
120.0,0.0,-35.0,78.5131964809384
120.0,0.0,-45.0,88.68951612903226
120.0,0.0,-55.0,107.18511730205279
84.8528137423857,84.85281374238569,-25.0,70.03189149560117
84.8528137423857,84.85281374238569,-35.0,76.36950146627566
84.8528137423857,84.85281374238569,-45.0,85.99120234604106
84.8528137423857,84.85281374238569,-55.0,103.33394428152494
7.34788079488412e-15,120.0,-25.0,65.20857771260997
7.34788079488412e-15,120.0,-35.0,70.58651026392963
7.34788079488412e-15,120.0,-45.0,78.56304985337243
7.34788079488412e-15,120.0,-55.0,91.58101173020528
-84.85281374238569,84.8528137423857,-25.0,64.7349706744868
-84.85281374238569,84.8528137423857,-35.0,70.14406158357771
-84.85281374238569,84.8528137423857,-45.0,78.62536656891496
-84.85281374238569,84.8528137423857,-55.0,92.01722873900293
-120.0,1.469576158976824e-14,-25.0,62.8841642228739
-120.0,1.469576158976824e-14,-35.0,67.52052785923753
-120.0,1.469576158976824e-14,-45.0,74.73680351906158
-120.0,1.469576158976824e-14,-55.0,85.87903225806451
-84.85281374238572,-84.85281374238569,-25.0,66.02492668621701
-84.85281374238572,-84.85281374238569,-35.0,70.93548387096774
-84.85281374238572,-84.85281374238569,-45.0,78.46957478005865
-84.85281374238572,-84.85281374238569,-55.0,90.75219941348973
-2.2043642384652355e-14,-120.0,-25.0,67.16532258064515
-2.2043642384652355e-14,-120.0,-45.0,79.24853372434018
-2.2043642384652355e-14,-120.0,-55.0,90.18511730205279
84.85281374238568,-84.85281374238572,-25.0,65.38306451612902
84.85281374238568,-84.85281374238572,-35.0,69.66422287390029
84.85281374238568,-84.85281374238572,-45.0,76.26979472140762
84.85281374238568,-84.85281374238572,-55.0,86.22800586510263
