X_value,Y_value,Z_value,Laser Distance
100.0,0.0,660.0,98.62903225806451
92.38795325112868,38.268343236508976,660.0,99.01539589442814
70.71067811865476,70.71067811865474,660.0,100.38013196480938
38.268343236509,92.38795325112866,660.0,99.94391495601172
2.8327694488239898e-14,100.0,660.0,100.13086510263929
-38.26834323650895,92.38795325112868,660.0,99.96884164222874
-70.71067811865471,70.71067811865478,660.0,100.20564516129033
-92.38795325112865,38.268343236509025,660.0,99.52639296187684
-100.0,5.6655388976479795e-14,660.0,98.74743401759531
-92.38795325112869,-38.268343236508926,660.0,98.6041055718475
-70.71067811865478,-70.71067811865471,660.0,99.14002932551318
-38.26834323650903,-92.38795325112865,660.0,97.66312316715542
-1.0718754395722282e-13,-100.0,660.0,97.42008797653959
38.26834323650892,-92.38795325112869,660.0,97.20197947214075
92.38795325112865,-38.26834323650904,660.0,97.97470674486803
