X_value,Y_value,Z_value,Laser Distance
100.0,0.0,660.0,98.51686217008798
92.38795325112868,38.268343236508976,660.0,99.06524926686217
70.71067811865476,70.71067811865474,660.0,100.00623167155425
38.268343236509,92.38795325112866,660.0,99.85043988269794
2.8327694488239898e-14,100.0,660.0,100.54215542521993
-38.26834323650895,92.38795325112868,660.0,100.16202346041055
-70.71067811865471,70.71067811865478,660.0,100.46114369501467
-92.38795325112865,38.268343236509025,660.0,99.30828445747801
-100.0,5.6655388976479795e-14,660.0,99.10263929618768
-92.38795325112869,-38.268343236508926,660.0,99.09017595307918
-70.71067811865478,-70.71067811865471,660.0,99.52016129032259
-38.26834323650903,-92.38795325112865,660.0,98.03702346041055
-1.0718754395722282e-13,-100.0,660.0,97.6008064516129
38.26834323650892,-92.38795325112869,660.0,97.48863636363636
92.38795325112865,-38.26834323650904,660.0,97.96847507331378
