X,Y,Z
-43,-8,-45
-42,-12,-45
-41,-17,-45
-39,-21,-45
-37,-25,-45
-35,-28,-45
-32,-32,-45
-28,-35,-46
-25,-38,-46
-21,-40,-46
-17,-42,-46
-13,-43,-46
-8,-44,-46
-4,-45,-46
0,-45,-45
4,-45,-45
8,-44,-45
13,-43,-45
17,-41,-45
21,-39,-45
24,-37,-45
28,-34,-45
31,-31,-45
33,-27,-45
35,-23,-45
37,-20,-45
38,-16,-45
39,-12,-45
40,-7,-45
40,-3,-45
30,0,-53
29,2,-53
29,5,-53
28,8,-53
26,11,-53
25,13,-53
23,15,-53
22,18,-53
20,20,-52
18,22,-53
15,23,-53
13,25,-53
11,27,-53
8,28,-53
5,29,-53
2,30,-53
0,31,-53
-3,31,-53
-6,31,-53
-9,31,-53
-12,30,-53
-15,29,-53
-19,28,-54
-21,26,-54
-25,25,-54
-28,23,-54
-30,20,-54
-33,17,-54
-35,14,-54
-36,11,-54
-37,7,-54
-38,3,-54
-39,0,-54
-39,-3,-54
-39,-7,-55
-38,-11,-55
-37,-15,-55
-35,-19,-55
-34,-22,-55
-31,-26,-55
-29,-29,-55
-26,-32,-55
-23,-34,-55
-19,-36,-55
-16,-38,-55
-12,-40,-55
-8,-41,-55
-4,-41,-55
0,-41,-55
4,-41,-55
8,-41,-55
12,-39,-55
15,-38,-55
19,-36,-55
22,-34,-55
25,-31,-55
28,-28,-55
30,-25,-55
32,-21,-54
34,-18,-54
35,-14,-54
35,-10,-54
36,-7,-54
36,-3,-54
24,0,-62
23,2,-62
22,4,-62
22,6,-62
20,8,-61
19,10,-61
18,12,-61
17,14,-61
15,15,-61
14,17,-61
12,18,-61
10,19,-61
8,21,-61
6,22,-62
4,23,-62
2,23,-62
0,24,-62
-2,25,-62
-5,25,-62
-7,25,-62
-10,24,-62
-12,24,-62
-15,23,-62
-18,22,-63
-21,21,-63
-23,19,-63
-25,17,-63
-28,14,-63
-29,12,-63
-31,9,-63
-32,6,-63
-33,3,-63
-34,0,-63
-34,-3,-64
-33,-6,-64
-33,-10,-64
-32,-13,-64
-31,-16,-64
-29,-19,-64
-27,-22,-64
-25,-25,-64
-23,-28,-64
-20,-30,-64
-17,-32,-64
-14,-34,-64
-10,-35,-64
-7,-36,-64
-3,-36,-64
0,-36,-64
3,-36,-64
7,-36,-64
10,-35,-64
14,-34,-64
17,-32,-64
20,-30,-64
22,-28,-64
25,-25,-64
27,-22,-64
29,-19,-64
30,-16,-64
31,-12,-63
31,-9,-63
31,-6,-63
31,-3,-63
16,0,-70
14,1,-70
14,2,-70
13,4,-70
12,5,-70
11,6,-70
10,7,-70
10,8,-70
9,9,-70
8,10,-70
7,10,-70
6,11,-70
5,12,-70
4,13,-70
2,14,-70
1,15,-70
0,15,-70
-1,16,-70
-3,16,-70
-5,17,-71
-7,17,-71
-9,16,-71
-11,16,-71
-13,16,-71
-15,15,-71
-17,14,-71
-19,13,-72
-21,11,-72
-23,9,-72
-24,7,-72
-25,5,-72
-26,2,-72
-27,0,-72
-27,-2,-72
-26,-5,-72
-26,-8,-72
-25,-10,-72
-25,-13,-72
-23,-15,-73
-22,-18,-73
-20,-20,-73
-18,-23,-73
-16,-25,-73
-14,-26,-73
-11,-28,-73
-8,-29,-73
-6,-30,-73
-3,-31,-73
0,-31,-73
3,-31,-73
6,-30,-73
9,-30,-73
12,-29,-73
14,-27,-73
17,-25,-73
19,-23,-73
21,-21,-73
23,-18,-73
24,-16,-73
25,-13,-73
25,-10,-72
26,-7,-72
26,-5,-72
25,-2,-72
2,0,-78
1,0,-78
1,0,-78
0,0,-78
0,0,-78
0,0,-77
0,0,-77
0,0,-77
0,0,-77
0,0,-77
0,0,-77
0,-1,-77
0,-1,-77
0,-1,-77
0,-1,-77
0,-1,-77
0,0,-77
0,0,-77
0,0,-78
0,1,-78
-1,2,-78
-2,3,-78
-2,4,-78
-4,5,-79
-6,6,-79
-7,6,-79
-9,6,-80
-11,6,-80
-12,5,-80
-13,4,-80
-14,2,-80
-15,1,-80
-16,0,-80
-16,-1,-80
-16,-3,-80
-17,-5,-81
-16,-6,-81
-16,-8,-81
-15,-10,-81
-15,-12,-81
-14,-14,-81
-13,-15,-81
-11,-17,-81
-10,-19,-81
-8,-20,-81
-6,-21,-81
-4,-22,-82
-2,-23,-82
0,-23,-82
2,-23,-82
4,-23,-82
6,-23,-82
9,-22,-82
11,-21,-82
13,-19,-82
14,-18,-82
16,-16,-81
17,-14,-81
18,-12,-81
18,-9,-81
18,-7,-81
18,-5,-81
18,-3,-81
17,-1,-81
