-24.734,43.365,0.0056068
-24.736,43.361,-5.002
-24.538,43.012,-10.005
-23.676,41.499,-15.004
-23.676,41.5,-20.004
-23.156,40.592,-25.002
-22.734,39.853,-30.004
-22.737,39.857,-35.003
-21.971,38.514,-40.005
-20.564,36.048,-45.004
-20.564,36.05,-50.003
-19.65,34.449,-55.002
-17.256,30.251,-60.003
-17.256,30.25,-65.005
-14.566,25.535,-70.005
-14.568,25.538,-75.002
-10.473,18.353,-80.003
-10.447,18.311,-85.003
NaN,NaN,NaN
NaN,NaN,NaN
NaN,NaN,NaN
NaN,NaN,NaN
NaN,NaN,NaN
NaN,NaN,NaN
NaN,NaN,NaN
NaN,NaN,NaN
NaN,NaN,NaN
NaN,NaN,NaN
NaN,NaN,NaN
NaN,NaN,NaN
NaN,NaN,NaN
NaN,NaN,NaN
NaN,NaN,NaN
NaN,NaN,NaN
NaN,NaN,NaN
NaN,NaN,NaN
NaN,NaN,NaN
NaN,NaN,NaN
NaN,NaN,NaN
NaN,NaN,NaN
NaN,NaN,NaN
