X_value,Y_value,Z_value
-10.672,7.7545,-90.293
-5.7514,4.1802,-94.22
-0.11562,0.085055,-97.994
3.375,-2.4501,-102.23
-45.147,14.669,13.668
-43.847,14.252,8.9069
-42.961,13.967,4.0738
-42.12,13.692,-0.77384
-41.654,13.54,-5.6858
-41.145,13.379,-10.583
-40.815,13.268,-15.531
-40.394,13.131,-20.453
-39.975,12.995,-25.376
-39.272,12.766,-30.247
-38.622,12.556,-35.123
-37.827,12.296,-39.979
-36.942,12.008,-44.813
-35.589,11.568,-49.565
-34.189,11.112,-54.305
-32.467,10.556,-58.979
-30.646,9.9595,-63.648
-28.499,9.2639,-68.249
-26.355,8.5672,-72.85
-23.787,7.7323,-77.376
-20.708,6.7324,-81.806
-17.489,5.6858,-86.209
-13.382,4.3504,-90.451
-8.0217,2.6085,-94.451
-0.83677,0.2731,-98.122
4.3902,-1.4234,-102.15
-47.717,0.0034637,13.623
-46.546,0.0061374,8.8322
-45.466,0.0053311,4.0198
-44.681,0.0059976,-0.84375
-44.094,0.0057133,-5.7366
-43.607,0.0067938,-10.646
-43.26,0.0053135,-15.59
-42.668,0.005153,-20.49
-42.228,0.0051891,-25.411
-41.737,0.0050279,-30.325
-40.953,0.0052985,-35.185
-40.219,0.0060714,-40.053
-38.992,0.0047595,-44.839
-37.961,0.0055015,-49.657
-36.343,0.0053189,-54.372
-34.676,0.0051118,-59.077
-32.908,0.0052207,-63.77
-30.797,0.0047311,-68.401
-28.296,0.0051182,-72.959
-25.699,0.0052218,-77.497
-22.704,0.0053964,-81.973
-18.781,0.0049694,-86.28
-14.857,0.0062013,-90.588
-9.4639,0.0054535,-94.632
-1.4188,0.0056264,-98.216
4.8594,0.005305,-102.11
-45.984,-14.936,13.505
-45.336,-14.733,8.6271
-44.313,-14.401,3.8186
-43.425,-14.113,-1.0162
-42.774,-13.901,-5.8946
-42.354,-13.764,-10.815
-41.983,-13.646,-15.743
-41.56,-13.507,-20.671
-41.048,-13.339,-25.575
-40.531,-13.171,-30.483
-39.834,-12.945,-35.35
-39.133,-12.717,-40.221
-38.061,-12.368,-45.021
-37.034,-12.035,-49.834
-35.636,-11.581,-54.573
-33.955,-11.033,-59.262
-32.274,-10.487,-63.954
-30.081,-9.7739,-68.547
-27.704,-9.0024,-73.104
-25.232,-8.1978,-77.646
-22.339,-7.2574,-82.11
-18.888,-6.1366,-86.469
-14.735,-4.7874,-90.701
-9.6043,-3.1196,-94.749
-1.8627,-0.60516,-98.312
-40.27,-29.25,13.256
-39.995,-29.065,8.3181
-39.042,-28.371,3.5236
-38.25,-27.798,-1.2986
-37.731,-27.42,-6.1914
-37.255,-27.077,-11.087
-36.979,-26.873,-16.025
-36.541,-26.554,-20.931
-36.266,-26.358,-25.864
-35.629,-25.893,-30.731
-35.154,-25.547,-35.628
-34.438,-25.027,-40.474
-33.646,-24.451,-45.299
-32.575,-23.671,-50.067
-31.422,-22.832,-54.818
-30.114,-21.883,-59.532
-28.605,-20.788,-64.204
-26.86,-19.518,-68.822
-24.876,-18.076,-73.391
-22.774,-16.549,-77.931
-20.193,-14.675,-82.369
-17.378,-12.63,-86.753
-13.924,-10.119,-91.002
-9.6006,-6.979,-95.056
-3.2112,-2.3352,-98.666
-30.105,-41.421,13.009
-30.412,-41.866,7.9114
-29.69,-40.875,3.1265
-29.114,-40.079,-1.7005
-28.683,-39.486,-6.5685
-28.337,-39.011,-11.464
-28.077,-38.655,-16.385
-27.759,-38.212,-21.296
-27.387,-37.708,-26.174
-27.068,-37.265,-31.084
-26.694,-36.747,-35.973
-26.232,-36.109,-40.837
-25.57,-35.199,-45.636
-24.908,-34.284,-50.438
-24.071,-33.133,-55.187
-23.12,-31.833,-59.894
-22.024,-30.321,-64.57
-20.756,-28.569,-69.194
-19.43,-26.742,-73.796
-17.786,-24.481,-78.303
-16.086,-22.145,-82.788
-14.038,-19.323,-87.178
-11.674,-16.068,-91.469
-8.7634,-12.062,-95.592
-4.641,-6.3857,-99.357
2.2783,3.1366,-102.28
-16.82,-51.783,7.4364
-16.38,-50.427,2.684
-16.093,-49.54,-2.1514
-15.851,-48.796,-7.0117
-15.61,-48.048,-11.873
-15.486,-47.678,-16.804
-15.34,-47.207,-21.717
-15.14,-46.606,-26.603
-14.989,-46.133,-31.519
-14.808,-45.573,-36.416
-14.476,-44.547,-41.224
-14.22,-43.754,-46.077
-13.869,-42.682,-50.879
-13.43,-41.328,-55.629
-12.898,-39.7,-60.324
-12.338,-37.97,-65.005
-11.716,-36.06,-69.649
-11.021,-33.913,-74.251
-10.216,-31.439,-78.794
-9.3517,-28.781,-83.3
-8.3213,-25.608,-87.713
-7.1237,-21.922,-92.032
-5.7147,-17.583,-96.227
-3.8954,-11.987,-100.19
-0.93963,-2.8902,-103.5
-0.00060794,-56.946,6.9955
-0.00065906,-55.721,2.213
0.0017649,-54.447,-2.5641
-0.0010082,-53.707,-7.4365
-0.0010045,-53.023,-12.313
0.004307,-52.581,-17.238
0.0034979,-51.847,-22.108
-0.00083123,-51.303,-27.013
-0.00013257,-50.814,-31.926
-0.0020061,-50.03,-36.787
-0.0014377,-49.291,-41.658
-0.0028624,-48.261,-46.479
-0.0051165,-47.084,-51.268
-0.00101,-45.662,-56.019
0.00068657,-44.095,-60.743
-0.00082373,-42.325,-65.431
-0.0012176,-40.218,-70.059
-0.00031842,-37.964,-74.66
-0.0030698,-35.408,-79.212
-0.003793,-32.615,-83.716
0.0014467,-29.282,-88.129
-0.0017457,-25.652,-92.489
-0.0011598,-21.334,-96.728
-0.0016102,-15.595,-100.72
-0.001794,-6.7661,-104.16
18.557,-57.098,6.4447
18.118,-55.746,1.6958
17.766,-54.672,-3.1039
17.478,-53.785,-7.9407
17.251,-53.083,-12.814
17.085,-52.572,-17.716
16.898,-52.012,-22.611
16.703,-51.407,-27.499
16.521,-50.843,-32.396
16.293,-50.147,-37.265
16.052,-49.402,-42.126
15.776,-48.558,-46.972
15.398,-47.393,-51.754
14.987,-46.134,-56.52
14.517,-44.686,-61.254
13.929,-42.869,-65.916
13.322,-41.005,-70.569
12.593,-38.761,-75.155
11.837,-36.432,-79.721
10.972,-33.772,-84.228
10.06,-30.974,-88.711
8.9087,-27.428,-93.052
7.6223,-23.464,-97.319
5.972,-18.379,-101.38
3.4992,-10.778,-104.96
1.1933,-3.6861,-108.65
36.621,-50.398,6.0485
35.755,-49.205,1.3062
35.037,-48.213,-3.48
34.46,-47.425,-8.3004
34.024,-46.827,-13.175
33.735,-46.429,-18.089
33.327,-45.869,-22.969
32.926,-45.315,-27.846
32.605,-44.878,-32.752
32.121,-44.209,-37.602
31.686,-43.612,-42.475
31.078,-42.774,-47.296
30.417,-41.865,-52.092
29.524,-40.635,-56.825
28.629,-39.403,-61.558
27.565,-37.938,-66.237
26.377,-36.308,-70.883
25.028,-34.448,-75.475
23.523,-32.383,-80.026
21.909,-30.158,-84.543
20.035,-27.58,-88.979
17.903,-24.643,-93.339
15.366,-21.152,-97.578
12.221,-16.825,-101.64
7.7793,-10.714,-105.3
3.9744,-5.4749,-109.16
51.509,-37.426,5.8071
50.16,-36.441,1.0987
49.168,-35.721,-3.6869
48.415,-35.175,-8.5211
47.745,-34.687,-13.372
47.224,-34.311,-18.261
46.705,-33.933,-23.152
46.19,-33.561,-28.037
45.673,-33.185,-32.924
45.04,-32.724,-37.787
44.329,-32.206,-42.63
43.534,-31.631,-47.456
42.463,-30.85,-52.224
41.308,-30.015,-56.973
39.961,-29.034,-61.681
38.577,-28.027,-66.379
36.944,-26.842,-71.023
35.001,-25.431,-75.598
32.897,-23.903,-80.138
30.673,-22.288,-84.653
28.088,-20.412,-89.094
25.158,-18.281,-93.452
21.585,-15.686,-97.678
17.139,-12.456,-101.7
10.832,-7.8739,-105.33
6.6249,-4.8154,-109.41
4.2053,-3.0599,-113.88
60.088,-19.521,5.8924
58.545,-19.018,1.1777
57.571,-18.706,-3.6402
56.635,-18.4,-8.4677
55.982,-18.19,-13.344
55.332,-17.979,-18.225
54.674,-17.762,-23.107
54.025,-17.553,-27.985
53.464,-17.374,-32.879
52.619,-17.096,-37.728
51.739,-16.808,-42.564
50.753,-16.488,-47.381
49.546,-16.098,-52.154
48.194,-15.657,-56.905
46.42,-15.085,-61.574
44.691,-14.522,-66.255
42.683,-13.869,-70.884
40.396,-13.126,-75.46
37.879,-12.307,-79.995
35.126,-11.411,-84.484
31.998,-10.398,-88.903
28.46,-9.2498,-93.244
24.025,-7.8089,-97.423
18.379,-5.9725,-101.38
11.008,-3.5754,-105.01
6.7629,-2.1976,-109.23
5.3678,-1.7445,-113.96
