Frequency,S33,S32,S23,S22
(3800000000+0j),(-0.2132569849+0.7199285433j),(-0.0001374984276-0.001610815641j),(-6.106185901e-05-0.001661757356j),(-0.07982677966+0.00536809036j)
(3801000000+0j),(-0.1557867974+0.7415055827j),(-0.0002486824233-0.001667423872j),(-0.000155801099-0.001623756718j),(-0.09050264955+0.01651987738j)
(3802000000+0j),(-0.09846203029+0.757951194j),(-0.000340391096-0.001612995868j),(-0.0002752715955-0.001639274065j),(-0.0995529443+0.02957025933j)
(3803000000+0j),(-0.04087679833+0.7695529908j),(-0.0004612480116-0.001607138198j),(-0.00037623971-0.001587172621j),(-0.106968224+0.04385820727j)
(3804000000+0j),(0.016160978+0.776186915j),(-0.0005681925104-0.001578456955j),(-0.0004861938651-0.001580548706j),(-0.1123279631+0.05960896222j)
(3805000000+0j),(0.07329462469+0.7783097863j),(-0.000679804245-0.001527507557j),(-0.0006185227539-0.001565737883j),(-0.11580991+0.07618051436j)
(3806000000+0j),(0.1296988279+0.7759944037j),(-0.0008044155547-0.001390429446j),(-0.000762124313-0.001508873305j),(-0.117121242+0.09367955482j)
(3807000000+0j),(0.1842752844+0.7694453753j),(-0.0008652976248-0.001385305892j),(-0.0007628902677-0.001449116506j),(-0.1160445884+0.1117523086j)
(3808000000+0j),(0.2379883826+0.7588881595j),(-0.0009286715649-0.001264615217j),(-0.000926563167-0.001419990906j),(-0.112352401+0.1300695122j)
(3809000000+0j),(0.2896905839+0.7451864855j),(-0.001030732878-0.001219803933j),(-0.001035305322-0.001282669487j),(-0.1063813269+0.1481559782j)
(3810000000+0j),(0.3401755095+0.7271037538j),(-0.001116352854-0.001093298779j),(-0.001087785233-0.001268686377j),(-0.09797539562+0.1659049425j)
(3811000000+0j),(0.3883363903+0.706570137j),(-0.001173321623-0.001040156349j),(-0.001186633483-0.001156952349j),(-0.08726677299+0.1830889673j)
(3812000000+0j),(0.435241282+0.6821581691j),(-0.001216549193-0.00100229634j),(-0.001239213278-0.001165607828j),(-0.07398248464+0.1990956439j)
(3813000000+0j),(0.480378449+0.6548753674j),(-0.001364841242-0.0009276217315j),(-0.00134915649-0.001074789558j),(-0.05861860886+0.2138153772j)
(3814000000+0j),(0.5223983526+0.6247596813j),(-0.001404324663-0.0009086693171j),(-0.001459061401-0.0009060223238j),(-0.04189624265+0.2266687107j)
(3815000000+0j),(0.5632184148+0.5906164621j),(-0.001453691046-0.000825722469j),(-0.001457412262-0.0008640643791j),(-0.02314801887+0.2377722025j)
(3816000000+0j),(0.6007429361+0.5547168395j),(-0.001557867508-0.0006811507628j),(-0.001551018446-0.0007245982997j),(-0.002698353259+0.2470494552j)
(3817000000+0j),(0.6359914541+0.5158848312j),(-0.001619048999-0.0005754446029j),(-0.001574525144-0.0006587587413j),(0.01890925318+0.2540554595j)
(3818000000+0j),(0.6682057381+0.474720857j),(-0.001590161817-0.0004873837752j),(-0.001689588185-0.0005466786679j),(0.04123867676+0.2587782509j)
(3819000000+0j),(0.6979305148+0.430693188j),(-0.001687019016-0.0003686740529j),(-0.001731807599-0.0004354292178j),(0.06485816091+0.2607292384j)
(3820000000+0j),(0.7239166498+0.3846434276j),(-0.001682288828-0.0002173391986j),(-0.001779636135-0.0002707373933j),(0.08854992688+0.2603089819j)
(3821000000+0j),(0.7470940351+0.3363848502j),(-0.001752405427-8.321399946e-05j),(-0.001810366288-0.0001722006418j),(0.1125326231+0.2572698648j)
(3822000000+0j),(0.7670427561+0.2858640153j),(-0.00183130987-2.262711132e-05j),(-0.001816734788-9.527106886e-05j),(0.1366845667+0.2512553497j)
(3823000000+0j),(0.7830411792+0.2336683962j),(-0.001842578757+0.000154538051j),(-0.001801153878+0.0001330404484j),(0.1598650664+0.2428121356j)
(3824000000+0j),(0.795350492+0.1797220081j),(-0.001847362495+0.0002550348872j),(-0.001845719409+0.0002782918164j),(0.1821945012+0.2316387333j)
(3825000000+0j),(0.8037343621+0.1244318751j),(-0.001843094593+0.0003568140964j),(-0.001889236155+0.0003656509507j),(0.2035749406+0.2180016451j)
(3826000000+0j),(0.8079180121+0.06710845468j),(-0.001842155471+0.000589126721j),(-0.001895669848+0.0004673363874j),(0.2232325822+0.2022546198j)
(3827000000+0j),(0.808082521+0.009236142636j),(-0.001824547304+0.0006967348163j),(-0.001852510963+0.0006835612003j),(0.2413223237+0.184566384j)
(3828000000+0j),(0.8031512499-0.04872250502j),(-0.001852796529+0.0008199750446j),(-0.001843497739+0.0008859035443j),(0.2573381066+0.1651219931j)
(3829000000+0j),(0.7935312986-0.1080772016j),(-0.001818574034+0.001028138795j),(-0.001764812041+0.0009599881014j),(0.2713910341+0.1442253587j)
(3830000000+0j),(0.778855145-0.1670550323j),(-0.001703732298+0.00115137489j),(-0.001698026317+0.001173607772j),(0.2831419706+0.1218332578j)
(3831000000+0j),(0.7590264678-0.225740995j),(-0.001600578311+0.001344747725j),(-0.0016367106+0.001315557281j),(0.2929384708+0.09780702363j)
(3832000000+0j),(0.733623147-0.2832695819j),(-0.001497892779+0.001499254606j),(-0.001591029693+0.001401905087j),(0.2997916043+0.07328001851j)
(3833000000+0j),(0.7026640773-0.3401298776j),(-0.001525847707+0.001603094628j),(-0.001466176589+0.001570618013j),(0.3040295839+0.0481801987j)
(3834000000+0j),(0.6661627889-0.3948868385j),(-0.001332634827+0.001750166179j),(-0.001385882613+0.001679552719j),(0.3054964244+0.02268147209j)
(3835000000+0j),(0.6240267754-0.4468794476j),(-0.001206294284+0.001841799589j),(-0.001179619925+0.001830055146j),(0.3041020334-0.00252064946j)
(3836000000+0j),(0.5761015415-0.4960222254j),(-0.001022697426+0.002034256468j),(-0.001156463288+0.002009620192j),(0.3001585305-0.02753802976j)
(3837000000+0j),(0.5227931738-0.5415286997j),(-0.0008780153585+0.002164492151j),(-0.0009446360054+0.002171732252j),(0.2936460376-0.05165641718j)
(3838000000+0j),(0.4640058577-0.582394743j),(-0.000713148911+0.002269289922j),(-0.0007400662871+0.002185163787j),(0.2846547663-0.07452545449j)
(3839000000+0j),(0.4004631042-0.6176903952j),(-0.0005365796969+0.002327386755j),(-0.0005292335991+0.002352901502j),(0.2734373212-0.09610644059j)
(3840000000+0j),(0.3325916827-0.6469101505j),(-0.0003490467789+0.002338509541j),(-0.0003580568009+0.002334094374j),(0.2600083947-0.1163098574j)
(3841000000+0j),(0.2607275844-0.6699319348j),(-0.0001525288098+0.002489114413j),(-0.0001809499518+0.002488263883j),(0.2446652651-0.1346941913j)
(3842000000+0j),(0.1852992028-0.685309518j),(0.0001058814305+0.002535111737j),(4.015216837e-05+0.002465747064j),(0.2276517153-0.1511645938j)
(3843000000+0j),(0.1075343788-0.693164301j),(0.0003018665593+0.002536025364j),(0.0002522293653+0.002514021937j),(0.209219411-0.1656578702j)
(3844000000+0j),(0.02850198373-0.6923517726j),(0.0004991312162+0.00254581729j),(0.0004396989243+0.002508267527j),(0.1895982176-0.1775891003j)
(3845000000+0j),(-0.05145145208-0.6829633806j),(0.0008140276186+0.002556858584j),(0.0007280958234+0.002564236522j),(0.1688904613-0.1873662299j)
(3846000000+0j),(-0.1301572025-0.664642379j),(0.0009757820517+0.002549496479j),(0.000905059278+0.002473879838j),(0.1474868655-0.1944232189j)
(3847000000+0j),(-0.2072081715-0.6374080602j),(0.001308642211+0.002409666777j),(0.001171246287+0.002460513264j),(0.1255851686-0.1990086357j)
(3848000000+0j),(-0.2813013792-0.6014500284j),(0.001575386967+0.002320850035j),(0.001393613289+0.002372577321j),(0.1037194878-0.2007745702j)
(3849000000+0j),(-0.3511367142-0.5573553169j),(0.00181607937+0.002206489444j),(0.001623027725+0.00226157275j),(0.08204247802-0.1998303153j)
(3850000000+0j),(-0.4159140885-0.5052965873j),(0.002071951749+0.002046077978j),(0.001829693909+0.002141082427j),(0.06103118882-0.1963645493j)
(3851000000+0j),(-0.4739563465-0.446388679j),(0.002242946532+0.001776072779j),(0.002093263902+0.001975472085j),(0.0408789441-0.1902206726j)
(3852000000+0j),(-0.5251805186-0.3818018163j),(0.002345610876+0.0016332675j),(0.002235402353+0.00169979909j),(0.02185224555-0.1818066278j)
(3853000000+0j),(-0.5682548285-0.3118928921j),(0.002554005478+0.001454011654j),(0.002441787859+0.001574860653j),(0.00463248184-0.170845831j)
(3854000000+0j),(-0.6034142971-0.2384002708j),(0.002774454653+0.001158337342j),(0.002614739817+0.001350892009j),(-0.01053750888-0.158078714j)
(3855000000+0j),(-0.6296638846-0.1625542572j),(0.002818311332+0.0009218312916j),(0.002787287347+0.001057321788j),(-0.0237042252-0.1436239058j)
(3856000000+0j),(-0.6473761797-0.08455548742j),(0.002915130462+0.0007234520162j),(0.002840436762+0.0008322794456j),(-0.03454363346-0.1277252421j)
(3857000000+0j),(-0.6565612555-0.006086552945j),(0.002939634724+0.0003917085123j),(0.002998630982+0.0005738195032j),(-0.04274126142-0.1109703297j)
(3858000000+0j),(-0.6572827101+0.07128437135j),(0.003017021576+9.77829186e-05j),(0.002983228769+0.0002510224585j),(-0.04855845496-0.09339779931j)
(3859000000+0j),(-0.6499415636+0.1475563975j),(0.002997216536-0.0001462413347j),(0.003072003135-3.460141215e-06j),(-0.05185025185-0.07550062734j)
(3860000000+0j),(-0.6348750591+0.2212627607j),(0.003023457248-0.0004478118208j),(0.003042938421-0.0002529260819j),(-0.05243745074-0.05742151502j)
(3861000000+0j),(-0.6129128337+0.2917041088j),(0.002906250767-0.000747564598j),(0.002987901215-0.0006109290407j),(-0.05032341182-0.03962982018j)
(3862000000+0j),(-0.5844039321+0.3585784498j),(0.002816960681-0.0009632905712j),(0.002950398019-0.0008629969088j),(-0.04559796676-0.02244631935j)
(3863000000+0j),(-0.5503997803+0.4211954687j),(0.002765016165-0.001255437499j),(0.002871305915-0.001142408117j),(-0.03834661469-0.006185020692j)
(3864000000+0j),(-0.5110083818+0.479041668j),(0.002650961513-0.00151139684j),(0.002739416435-0.001340778312j),(-0.02874867246+0.008698169637j)
(3865000000+0j),(-0.4679893255+0.5315162389j),(0.00245592976-0.001694085309j),(0.002573828213-0.001644155127j),(-0.01709623821+0.02192639904j)
