Frequency,S33,S32,S23,S22
(3800000000+0j),(-0.2890464664+0.6770301064j),(0.0002264007198+0.003925202414j),(-1.818909186e-05+0.003922891803j),(0.05679831654+0.04862413327j)
(3801000000+0j),(-0.230770871+0.7060854167j),(0.0005486743758+0.003838879289j),(0.000286811759+0.003905073041j),(0.05167730525+0.04309364329j)
(3802000000+0j),(-0.1714583039+0.729532832j),(0.0008232122636+0.003761593951j),(0.0005230766837+0.003834248055j),(0.04559098557+0.03867537831j)
(3803000000+0j),(-0.1118348166+0.7472973866j),(0.001208240166+0.00360081438j),(0.0009347976884+0.003737534629j),(0.03889573365+0.03587604758j)
(3804000000+0j),(-0.05175857618+0.7597377158j),(0.001417548396+0.003423935967j),(0.001159886015+0.003571389941j),(0.03196591511+0.03461728826j)
(3805000000+0j),(0.008091786876+0.7670430374j),(0.001728196745+0.003199792234j),(0.001486003515+0.003442495596j),(0.02507863007+0.0345904255j)
(3806000000+0j),(0.06759754568+0.769255068j),(0.001994977007+0.003053857014j),(0.001708300668+0.00325646135j),(0.01840715855+0.0362158564j)
(3807000000+0j),(0.1257833987+0.7668593721j),(0.002133409027+0.002875781152j),(0.001954698004+0.003140824847j),(0.01216369681+0.03915410667j)
(3808000000+0j),(0.1834708899+0.7597890928j),(0.002240550937+0.002734940499j),(0.002165606478+0.002974808216j),(0.006720292848+0.04349258848j)
(3809000000+0j),(0.2394123524+0.7484906137j),(0.002528003417+0.002496520756j),(0.00241993065+0.00270533422j),(0.002263582544+0.04885128451j)
(3810000000+0j),(0.2938733697+0.732774787j),(0.002652720781+0.002267270116j),(0.002537953435+0.002526003635j),(-0.001216762234+0.05510911185j)
(3811000000+0j),(0.346193105+0.7137028049j),(0.00284057972+0.002096810378j),(0.002765520709+0.002400243655j),(-0.003541525453+0.06225891715j)
(3812000000+0j),(0.3965481222+0.6909690905j),(0.002940638689+0.001829159912j),(0.002944965847+0.002101551741j),(-0.004697732627+0.06996479453j)
(3813000000+0j),(0.4442504644+0.6649359444j),(0.002994001145+0.001614721376j),(0.00305256946+0.001870977692j),(-0.004821449053+0.07806485913j)
(3814000000+0j),(0.490206778+0.6353469982j),(0.00305862166+0.001393692102j),(0.003179028397+0.001546175219j),(-0.003387215314+0.08649030042j)
(3815000000+0j),(0.5333898664+0.6026368493j),(0.00320180133+0.0011159532j),(0.003241366474+0.001349190366j),(-0.0006917503779+0.09504768335j)
(3816000000+0j),(0.5741955042+0.5666094623j),(0.003315323265+0.0009312510956j),(0.003341067117+0.001144198468j),(0.003386379685+0.1035603446j)
(3817000000+0j),(0.611733675+0.52820523j),(0.003314291826+0.0007009949186j),(0.003437215928+0.0008919550455j),(0.008861389011+0.1118092477j)
(3818000000+0j),(0.6463511586+0.4868930563j),(0.003358438611+0.0005000164965j),(0.003477393184+0.0005605551414j),(0.01560670603+0.1196071877j)
(3819000000+0j),(0.6783346534+0.4432317073j),(0.003432482481+0.0002108846675j),(0.003572238376+0.0004283602175j),(0.02379888855+0.126812156j)
(3820000000+0j),(0.7069573998+0.3970055355j),(0.003440193599+7.062854365e-06j),(0.003547650995+0.0001068131387j),(0.03323201835+0.1332187748j)
