Frequency,S33,S32,S23,S22
(3800000000+0j),(-0.2146722823+0.7200032621j),(-0.003343974007-0.001810561866j),(-0.003205489833-0.001983812544j),(-0.08704226464+0.01253811196j)
(3801000000+0j),(-0.157552287+0.741710565j),(-0.003313152818-0.001523759682j),(-0.0033300051-0.001672673505j),(-0.09740438312+0.02484202603j)
(3802000000+0j),(-0.09969034791+0.7580972534j),(-0.003408549586-0.001126592862j),(-0.003380305599-0.001406320021j),(-0.1059752181+0.03891443087j)
(3803000000+0j),(-0.04210766032+0.7694198145j),(-0.003466115799-0.0008357453626j),(-0.00353597221-0.001138008432j),(-0.1127295867+0.05440428154j)
(3804000000+0j),(0.01507986058+0.7761215964j),(-0.003443710972-0.0006268400466j),(-0.003523720428-0.0008450917667j),(-0.1173768714+0.07097404892j)
(3805000000+0j),(0.07134242356+0.7784191302j),(-0.003421436064-0.0003094588465j),(-0.003480620449-0.0005544714513j),(-0.119992286+0.0884374625j)
(3806000000+0j),(0.1268556863+0.7764360737j),(-0.003466208698-0.0001119549124j),(-0.003441647394-0.0002026856673j),(-0.1202740446+0.1066360616j)
(3807000000+0j),(0.1814502776+0.7701704404j),(-0.003439408261+0.000156324706j),(-0.003514348296-1.356280336e-05j),(-0.1179500967+0.1252894678j)
(3808000000+0j),(0.2346869707+0.7598136271j),(-0.003320068587+0.0004750595544j),(-0.003450704971+0.0002591800294j),(-0.1134111807+0.1437834093j)
(3809000000+0j),(0.2866130173+0.7459520655j),(-0.003173279343+0.0007230654592j),(-0.003382297466+0.0004637101956j),(-0.1065073907+0.1619584435j)
(3810000000+0j),(0.3370851874+0.7281211453j),(-0.003177416511+0.0008547012112j),(-0.003287387313+0.0007920993958j),(-0.09725217521+0.1798244054j)
(3811000000+0j),(0.3860334456+0.7073067543j),(-0.003116237232+0.001052706386j),(-0.003175689606+0.001030794811j),(-0.08598729968+0.1968485456j)
(3812000000+0j),(0.432318151+0.6835593276j),(-0.003020208795+0.001323075034j),(-0.003110045567+0.001228765585j),(-0.07253686339+0.2130437709j)
(3813000000+0j),(0.4769874215+0.6565105302j),(-0.002868642565+0.001499679522j),(-0.002975183539+0.001528555644j),(-0.05689318851+0.2281622537j)
(3814000000+0j),(0.5199644566+0.6259560608j),(-0.002696381183+0.001695339684j),(-0.002901579719+0.001645851647j),(-0.0389806591+0.2418678471j)
(3815000000+0j),(0.5600055456+0.5926488081j),(-0.002695677569+0.001887547667j),(-0.002793894615+0.001840222627j),(-0.01889791153+0.2534459962j)
(3816000000+0j),(0.598283112+0.5564551486j),(-0.002506189048+0.002094392665j),(-0.002623906126+0.002038290258j),(0.002314143814+0.262974221j)
(3817000000+0j),(0.6331589818+0.5178196553j),(-0.0023462791+0.002196440473j),(-0.002504927106+0.002223090967j),(0.02496071532+0.2700570295j)
(3818000000+0j),(0.6658730507+0.4759797917j),(-0.00219331705+0.002434349386j),(-0.00228076498+0.002373741008j),(0.04881378636+0.2749199124j)
(3819000000+0j),(0.6952033043+0.4326707223j),(-0.002066282788+0.002543129958j),(-0.002203452634+0.002567002783j),(0.07361490279+0.2769997119j)
(3820000000+0j),(0.7215139866+0.3866911313j),(-0.00181110925+0.002724759048j),(-0.001973563107+0.002774504712j),(0.09862823039+0.2762945974j)
(3821000000+0j),(0.7452776432+0.3379771722j),(-0.001738951192+0.002849871293j),(-0.001838966738+0.00289957202j),(0.1242146417+0.2728334415j)
(3822000000+0j),(0.7649217844+0.2875332012j),(-0.001445656409+0.002966532251j),(-0.001600281917+0.003119126661j),(0.149413541+0.2666724083j)
(3823000000+0j),(0.7810687423+0.2353793106j),(-0.00126388832+0.003127478296j),(-0.001436427468+0.003216587007j),(0.1738741994+0.2577113839j)
(3824000000+0j),(0.7937030792+0.180986906j),(-0.001087127253+0.003311395179j),(-0.001119441702+0.003341165837j),(0.1976943314+0.2462345059j)
(3825000000+0j),(0.8020591736+0.1253736737j),(-0.0008423418622+0.003382205032j),(-0.000889604853+0.003515938297j),(0.2205048203+0.2318458235j)
(3826000000+0j),(0.806332171+0.06891083887j),(-0.0005382731324+0.003611247055j),(-0.0006489942316+0.003545102431j),(0.2419449836+0.2148719352j)
(3827000000+0j),(0.806165576+0.01094256449j),(-0.0002277382591+0.00357577973j),(-0.0004279713612+0.003605798353j),(0.2612308264+0.1960191203j)
(3828000000+0j),(0.8013759255-0.04768966274j),(8.364580572e-05+0.003676925553j),(-1.963681098e-05+0.003759469604j),(0.278886199+0.1750945703j)
(3829000000+0j),(0.7918387651-0.1065162111j),(0.000349537615+0.003600856988j),(0.0002455814683+0.00374624203j),(0.29398489+0.1524066884j)
(3830000000+0j),(0.7771446705-0.1658834874j),(0.0006583114155+0.003725032555j),(0.000590097392+0.003757280298j),(0.3070862293+0.1278849987j)
(3831000000+0j),(0.7571297884-0.2247039948j),(0.001011828892+0.003688979661j),(0.0008930993499+0.00379177602j),(0.3171086013+0.1021904389j)
(3832000000+0j),(0.7318941355-0.2819975984j),(0.001344499178+0.00368087925j),(0.001324053388+0.003730653552j),(0.3246150613+0.07523402242j)
(3833000000+0j),(0.7007973194-0.3385085867j),(0.001585697173+0.003629270941j),(0.001550131128+0.003695942927j),(0.3290297389+0.04749407075j)
(3834000000+0j),(0.6642073989-0.393288105j),(0.001969835255+0.003481747117j),(0.001911748201+0.003588484367j),(0.3303022981+0.01969343165j)
(3835000000+0j),(0.6218538284-0.4457198667j),(0.002371397801+0.003381752409j),(0.002236457076+0.003407767275j),(0.3285304904-0.008011359559j)
(3836000000+0j),(0.5738660693-0.4949018571j),(0.002639713231+0.003145031631j),(0.002624981105+0.00328147551j),(0.3236058652-0.03525234636j)
(3837000000+0j),(0.5201593637-0.5403853008j),(0.002907350659+0.003014059039j),(0.002877291059+0.003091989551j),(0.3158022761-0.06153537832j)
(3838000000+0j),(0.4616199136-0.5810246857j),(0.003289538668+0.002698212164j),(0.003144348506+0.002867655829j),(0.3051545918-0.08675934053j)
(3839000000+0j),(0.39802441-0.6161074803j),(0.003522914136+0.002429862507j),(0.003495431272+0.002474102657j),(0.2918232083-0.1103793856j)
(3840000000+0j),(0.3299985528-0.6454540724j),(0.003818596713+0.002142999088j),(0.003780059284+0.002254345221j),(0.2762089372-0.1319019377j)
(3841000000+0j),(0.2582858801-0.6678561144j),(0.004053382669+0.001831924659j),(0.003978175111+0.001964456867j),(0.2582205534-0.1512779104j)
(3842000000+0j),(0.1830334514-0.6830697221j),(0.004318503663+0.001439418644j),(0.004218706861+0.001574607217j),(0.2384064049-0.1682661449j)
(3843000000+0j),(0.1054943576-0.6905317132j),(0.00447005406+0.001011404558j),(0.004339931998+0.001256934716j),(0.2172252387-0.1825835004j)
(3844000000+0j),(0.02590782754-0.689544835j),(0.004681646824+0.0005333955633j),(0.004487145226+0.0007651283522j),(0.1951755881-0.1940102809j)
(3845000000+0j),(-0.05372623727-0.680043457j),(0.004686973058+0.0001322519965j),(0.004594740458+0.0002497811802j),(0.172345534-0.2026091245j)
(3846000000+0j),(-0.1325036436-0.6612971825j),(0.00473654177-0.0003673935425j),(0.004726103041-0.0001521133381j),(0.1489601731-0.2087302691j)
(3847000000+0j),(-0.2091766596-0.6338476041j),(0.004736423027-0.0008670114912j),(0.004687640816-0.0006305249408j),(0.1255142242-0.2117060738j)
(3848000000+0j),(-0.2827960849-0.5978873195j),(0.004653689452-0.001308484469j),(0.004644837696-0.001154735801j),(0.1023306772-0.211969284j)
(3849000000+0j),(-0.352037251-0.553770238j),(0.004547492601-0.001884221798j),(0.004549334291-0.00157561549j),(0.07953772694-0.209398571j)
(3850000000+0j),(-0.4164100289-0.5016470581j),(0.004319917876-0.002366003348j),(0.004359211307-0.00209392258j),(0.05796219781-0.2040122301j)
(3851000000+0j),(-0.4743884504-0.4427828641j),(0.003948851023-0.002750201849j),(0.004136222415-0.002494373824j),(0.0374789238-0.1959724395j)
(3852000000+0j),(-0.5249066353-0.378173705j),(0.003710822901-0.003145028837j),(0.003844519611-0.002906883135j),(0.01886785217-0.1855510891j)
(3853000000+0j),(-0.5680111051-0.3083406608j),(0.003376932815-0.003523034276j),(0.003566546598-0.003222595202j),(0.002232034225-0.173005965j)
(3854000000+0j),(-0.6026053429-0.2346465049j),(0.0029872905-0.003745313501j),(0.003140908899-0.003630743129j),(-0.01220221817-0.1587017638j)
(3855000000+0j),(-0.6287301183-0.1585533957j),(0.002583085094-0.004094337113j),(0.002761751413-0.00393545581j),(-0.02420783602-0.1430908653j)
(3856000000+0j),(-0.6461623311-0.08094434029j),(0.002154324669-0.004252451472j),(0.002344128909-0.004097538535j),(-0.03368707001-0.1263967747j)
(3857000000+0j),(-0.6549084187-0.002924927939j),(0.001641836017-0.004389869049j),(0.001948053017-0.004268768709j),(-0.04061742872-0.1090659211j)
(3858000000+0j),(-0.6554418206+0.07408521563j),(0.00120000809-0.004561116453j),(0.001476076781-0.004419859499j),(-0.04511071742-0.09136457208j)
(3859000000+0j),(-0.6481092572+0.1496617257j),(0.0007673521759-0.004557542037j),(0.001078662579-0.004521677736j),(-0.04715682566-0.07352287439j)
(3860000000+0j),(-0.6329087019+0.2231348817j),(0.0003197667247-0.004594030324j),(0.0005875041243-0.004539420828j),(-0.04659774154-0.0558485154j)
(3861000000+0j),(-0.61066401+0.2936007501j),(-0.0001098121284-0.004550796933j),(0.0001369640086-0.00455406541j),(-0.04367534444-0.03831101063j)
(3862000000+0j),(-0.5825833082+0.3598176016j),(-0.0005201596068-0.004419543315j),(-0.0002981961588-0.004514624365j),(-0.03810695559-0.02141470364j)
(3863000000+0j),(-0.5483175516+0.4221331376j),(-0.0009093755507-0.004325954709j),(-0.0006939855521-0.004416242708j),(-0.02986454591-0.00568880801j)
(3864000000+0j),(-0.5096866488+0.4790530406j),(-0.001232086332-0.004117594101j),(-0.001052987762-0.004239472095j),(-0.0194870308+0.008526414594j)
(3865000000+0j),(-0.466198355+0.5316849559j),(-0.001594523317-0.004053828306j),(-0.001444015652-0.004126050044j),(-0.007059882395+0.02107994771j)
(3866000000+0j),(-0.419651866+0.5788309485j),(-0.001905679004-0.003804878565j),(-0.001744812238-0.003929687198j),(0.007200520951+0.03168184127j)
(3867000000+0j),(-0.3691877723+0.6208729808j),(-0.002250948688-0.00351974112j),(-0.002014790196-0.003746202914j),(0.0230748821+0.0401393469j)
(3868000000+0j),(-0.3171224892+0.6575994891j),(-0.002489908366-0.003305981867j),(-0.002373513067-0.003461041022j),(0.04016450047+0.04616338087j)
(3869000000+0j),(-0.2628329396+0.6890519448j),(-0.002792415442-0.003098328831j),(-0.002625891007-0.003300182521j),(0.05822734907+0.04970024422j)
(3870000000+0j),(-0.2061386257+0.7152670045j),(-0.002940776292-0.002768271836j),(-0.002888086252-0.00293192477j),(0.07692795992+0.0505615576j)
(3871000000+0j),(-0.1497878581+0.7361899464j),(-0.003116433742-0.00241421652j),(-0.003086202079-0.002656061435j),(0.09594966471+0.04873423312j)
(3872000000+0j),(-0.09226488322+0.7523270278j),(-0.003225276479-0.002179909265j),(-0.003236898687-0.002376036486j),(0.1148572862+0.04422171639j)
(3873000000+0j),(-0.03501336277+0.7636189753j),(-0.003446976421-0.001857500873j),(-0.003365817945-0.002124157501j),(0.1334468126+0.03699496811j)
(3874000000+0j),(0.02238742821+0.769883591j),(-0.003503088141-0.001637083595j),(-0.003512489609-0.001856219489j),(0.1514064223+0.02710627218j)
(3875000000+0j),(0.07921622694+0.7718538278j),(-0.003586963983-0.001327757724j),(-0.003616569098-0.001500390004j),(0.1684169173+0.01438318613j)
(3876000000+0j),(0.1352811754+0.7695601824j),(-0.003561082063-0.001043133321j),(-0.003687104909-0.001159371459j),(0.1837673932-0.0007714579745j)
(3877000000+0j),(0.1908214539+0.7630086225j),(-0.003686503507-0.0007438359316j),(-0.003775050864-0.0008788445266j),(0.1974967122-0.01825615724j)
(3878000000+0j),(0.2449276149+0.7523374849j),(-0.003681274829-0.0004336580751j),(-0.0038245162-0.0006209795829j),(0.2092421204-0.03790259428j)
(3879000000+0j),(0.297165215+0.7376671719j),(-0.003638102906-0.0001503631065j),(-0.003791652387-0.0003211998264j),(0.2185881883-0.05928864378j)
(3880000000+0j),(0.3480813503+0.719624678j),(-0.003694472834+0.0001296795672j),(-0.003830513917-5.309260087e-05j),(0.2254572064-0.08213002671j)
(3881000000+0j),(0.3970313072+0.6977948182j),(-0.003648937447+0.0004611249024j),(-0.003730997909+0.0002541159629j),(0.2295529544-0.1064636406j)
(3882000000+0j),(0.444331646+0.6727659126j),(-0.003680770285+0.0007189775351j),(-0.003709645476+0.0006062924513j),(0.2305434495-0.1318957155j)
(3883000000+0j),(0.4895432889+0.6442328796j),(-0.00352258957+0.0009166342788j),(-0.003710252233+0.0008743156213j),(0.2284328938-0.1573145866j)
(3884000000+0j),(0.5323093534+0.6125193004j),(-0.00345674553+0.001218357822j),(-0.003580961609+0.001119754277j),(0.2233552486-0.1829692147j)
(3885000000+0j),(0.5729530454+0.5777700396j),(-0.003408093471+0.00136249268j),(-0.003534465563+0.001355440123j),(0.2150833309-0.208479687j)
(3886000000+0j),(0.6101968288+0.5409068581j),(-0.003226382891+0.001693387632j),(-0.003392554121+0.001624036813j),(0.2036787421-0.2330232725j)
(3887000000+0j),(0.645988524+0.500202923j),(-0.003131959587+0.001975942636j),(-0.003257393837+0.001910993829j),(0.1892720908-0.2566357797j)
(3888000000+0j),(0.6777787805+0.4576568932j),(-0.003017853247+0.002200897317j),(-0.003076538444+0.002175468951j),(0.1722091585-0.2787188886j)
(3889000000+0j),(0.7070236802+0.4125215668j),(-0.002874740632+0.00237523648j),(-0.002913733711+0.002405853942j),(0.1526440084-0.2988831715j)
(3890000000+0j),(0.7328904867+0.3649663085j),(-0.002638213802+0.002690766007j),(-0.002777575748+0.002625420224j),(0.1309683025-0.3170833015j)
(3891000000+0j),(0.7553386688+0.3153086353j),(-0.002397111151+0.002906710142j),(-0.002561423229+0.002837073524j),(0.1070027053-0.3331170129j)
(3892000000+0j),(0.7740347385+0.2639073333j),(-0.002193733118+0.003042293014j),(-0.002390815876+0.003062970005j),(0.08123524487-0.3465770725j)
(3893000000+0j),(0.7887514234+0.2107452392j),(-0.001930732979+0.003301976249j),(-0.002076601144+0.003327721031j),(0.05393917486-0.3575026418j)
(3894000000+0j),(0.7998517752+0.1556922041j),(-0.001765529625+0.003420326393j),(-0.001833391492+0.003463432193j),(0.02534007095-0.3656309189j)
(3895000000+0j),(0.8065890074+0.09938476829j),(-0.001468037139+0.003566730069j),(-0.001524442341+0.003676201683j),(-0.004180547316-0.3708617364j)
(3896000000+0j),(0.8093028069+0.04156703234j),(-0.00117426028+0.003725382499j),(-0.001338434056+0.003790580202j),(-0.03436971456-0.3729007166j)
(3897000000+0j),(0.8072241545-0.01698124896j),(-0.0008825694676+0.003840201302j),(-0.0009676736081+0.00392496353j),(-0.06489302218-0.3716300441j)
(3898000000+0j),(0.8005031943-0.07583250008j),(-0.0005346936523+0.003867472755j),(-0.0006516944268+0.003949165344j),(-0.09516202658-0.367207342j)
(3899000000+0j),(0.7883954048-0.1347878988j),(-0.0002685769869+0.00390935177j),(-0.0003607899416+0.003965776414j),(-0.1248125806-0.3598150243j)
(3900000000+0j),(0.7714666128-0.1936683189j),(0.0001525444968+0.00399762718j),(-3.674106119e-05+0.004073611461j),(-0.1539387554-0.3491835601j)
(3901000000+0j),(0.7492009401-0.2524790511j),(0.0004180122341+0.004070508294j),(0.0003104202624+0.004078704398j),(-0.1819069088-0.3354828179j)
(3902000000+0j),(0.7214278579-0.3094740744j),(0.0007698566187+0.004020717926j),(0.0006939930608+0.004060338251j),(-0.2081110179-0.3190269068j)
(3903000000+0j),(0.688020587-0.3656683954j),(0.001062769326+0.00396027742j),(0.001053590328+0.004083963111j),(-0.2325273305-0.2999856287j)
(3904000000+0j),(0.6491468549-0.419038952j),(0.001437610597+0.003871355671j),(0.001371857361+0.003993076272j),(-0.2548254728-0.278362006j)
(3905000000+0j),(0.6044954658-0.470258287j),(0.001708086813+0.003807519097j),(0.001671553939+0.003961737733j),(-0.2747510374-0.2541141983j)
(3906000000+0j),(0.5542674065-0.5175634949j),(0.002121634781+0.00370416278j),(0.002072443953+0.003768200288j),(-0.2916859984-0.2283111491j)
(3907000000+0j),(0.4990869761-0.5606773021j),(0.002413847251+0.003554850351j),(0.002449847991+0.003603576915j),(-0.3060016632-0.2008253924j)
(3908000000+0j),(0.4389298856-0.5987521261j),(0.002789735328+0.003328453517j),(0.002710986882+0.003461205168j),(-0.3169450164-0.1721135655j)
(3909000000+0j),(0.3737837076-0.6316696483j),(0.003127184464+0.003016649047j),(0.00307199196+0.003138100496j),(-0.3247154355-0.1425766946j)
(3910000000+0j),(0.304554075-0.6585027101j),(0.003452092642+0.002731037093j),(0.003368244739+0.002921940293j),(-0.3292307854-0.1125839188j)
(3911000000+0j),(0.2314890772-0.6783848376j),(0.00372347841+0.002522313735j),(0.003656390356+0.002588403644j),(-0.3304614127-0.08264727267j)
(3912000000+0j),(0.1561698467-0.6906630918j),(0.003956797533+0.002129320521j),(0.003840507008+0.002299157204j),(-0.3282078505-0.05298552262j)
(3913000000+0j),(0.07813444734-0.6950060535j),(0.004136139993+0.001787964487j),(0.004067007452+0.0018566777j),(-0.323004365-0.0240172094j)
(3914000000+0j),(-0.0007450801204-0.6909467904j),(0.004331036005+0.001347857062j),(0.004275109619+0.001509304042j),(-0.3147453368+0.003672479298j)
(3915000000+0j),(-0.07947907597-0.6784357659j),(0.004428303801+0.0009817492682j),(0.004349353258+0.001170078642j),(-0.3034536242+0.03033951121j)
(3916000000+0j),(-0.1575618237-0.6570216023j),(0.004531457555+0.0006658979692j),(0.004511343315+0.000729405554j),(-0.2892939448+0.05526875355j)
(3917000000+0j),(-0.2332247198-0.6267766382j),(0.004620885942+0.0002485974401j),(0.004532358143+0.0003620807256j),(-0.2724530995+0.07814475972j)
(3918000000+0j),(-0.305775702-0.5880968117j),(0.004605476279-0.0001688238845j),(0.00452395482-5.483573659e-06j),(-0.2532699406+0.09871839084j)
(3919000000+0j),(-0.3735936284-0.5413731165j),(0.004582914058-0.000597025326j),(0.004608807154-0.000416165276j),(-0.2319707274+0.1163480144j)
(3920000000+0j),(-0.4361028969-0.4870351978j),(0.004555501044-0.001059660106j),(0.004592063371-0.0008570123464j),(-0.2089336812+0.130967201j)
(3921000000+0j),(-0.4918235242-0.4262170204j),(0.00442518061-0.001391723636j),(0.00449576322-0.001361644012j),(-0.1844780147+0.1424545432j)
(3922000000+0j),(-0.540512085-0.3593761696j),(0.0043365038-0.001907663303j),(0.004380602855-0.00171624939j),(-0.1590738147+0.1504756562j)
(3923000000+0j),(-0.5810475945-0.2886639335j),(0.004157778807-0.002405047882j),(0.004196702037-0.002138479613j),(-0.1333904415+0.1551666877j)
(3924000000+0j),(-0.6134948134-0.2132839862j),(0.003941358998-0.002727276413j),(0.004055793397-0.002560140332j),(-0.1079108566+0.1560229684j)
(3925000000+0j),(-0.637116313-0.1358024876j),(0.003674624953-0.003091700841j),(0.003705555107-0.002908200491j),(-0.08284807205+0.1537462152j)
