Frequency,S33,S32,S23,S22
(3800000000+0j),(-0.6487905979+0.3723623596j),(0.0003968411183-0.002261805581j),(0.0005110310158-0.002168680308j),(0.001114074141+0.04364456378j)
(3801000000+0j),(-0.6142743826+0.4305985465j),(0.0001119037115-0.002266190015j),(0.0002644553606-0.002149404958j),(-0.003811563598+0.04516794247j)
(3802000000+0j),(-0.5753985643+0.4849159794j),(-0.0001194906436-0.002249991754j),(8.099318075e-05-0.002222594107j),(-0.008618819527+0.04787283702j)
(3803000000+0j),(-0.5315012336+0.5358987271j),(-0.0003830043133-0.002180814045j),(-0.0002009554009-0.002155394061j),(-0.01282347552+0.05156177493j)
(3804000000+0j),(-0.4840292931+0.5824034448j),(-0.0005828625872-0.002044360619j),(-0.0004203650751-0.002049972769j),(-0.01655359007+0.05612978926j)
(3805000000+0j),(-0.4327055514+0.6242110931j),(-0.0007958497736-0.001939007896j),(-0.0006310623139-0.002004605019j),(-0.01964761317+0.06165128551j)
(3806000000+0j),(-0.3776988089+0.6616909806j),(-0.001005929313-0.001863589045j),(-0.0008068706375-0.001957257744j),(-0.02183455601+0.06798983647j)
(3807000000+0j),(-0.3199728131+0.6941199274j),(-0.001189631061-0.0016872501j),(-0.001026961487-0.001757132588j),(-0.02307880484+0.07505578099j)
(3808000000+0j),(-0.2591920197+0.7212984626j),(-0.001331434236-0.001515987562j),(-0.00121368526-0.001697326545j),(-0.02324447967+0.08280177014j)
(3809000000+0j),(-0.1969479471+0.7428964868j),(-0.001489360118-0.00135438377j),(-0.00135088386-0.001521483413j),(-0.02219711617+0.09108043191j)
(3810000000+0j),(-0.1320258975+0.7594013807j),(-0.001584148849-0.001145873452j),(-0.001495176926-0.001330410596j),(-0.0196091868+0.09954565308j)
(3811000000+0j),(-0.0673327893+0.7700639063j),(-0.001686632982-0.001019034185j),(-0.001553894137-0.001175200101j),(-0.01577907056+0.1080762154j)
(3812000000+0j),(-0.001224868349+0.7752229163j),(-0.001723059569-0.0008529262268j),(-0.001666223514-0.0009847811889j),(-0.01055029314+0.1163097782j)
(3813000000+0j),(0.06546968222+0.7747983933j),(-0.001781173167-0.0005993192899j),(-0.001777836005-0.0008409676375j),(-0.004168881569+0.1240959697j)
(3814000000+0j),(0.1313081086+0.7685663778j),(-0.001870360575-0.000461390533j),(-0.001777533325-0.0005884934217j),(0.003363897325+0.1312559113j)
(3815000000+0j),(0.1971471161+0.7561509818j),(-0.001896069851-0.0002596890845j),(-0.001895895111-0.0004007912357j),(0.01182131656+0.1377250868j)
(3816000000+0j),(0.2614769042+0.738424579j),(-0.001832329319-5.125395182e-05j),(-0.001889616717-0.0002363015519j),(0.02148368768+0.1434166549j)
(3817000000+0j),(0.3239850402+0.7150652839j),(-0.001861227443+0.0001377918088j),(-0.001829703106+1.41338196e-05j),(0.03181551769+0.1480799512j)
(3818000000+0j),(0.3842241764+0.6861759415j),(-0.001779222395+0.0003891947854j),(-0.001887603779+0.0001785670029j),(0.04304851219+0.1520582706j)
(3819000000+0j),(0.4423630834+0.651698597j),(-0.001770104747+0.0005168349016j),(-0.001824065926+0.0003991850244j),(0.05502333865+0.1549753644j)
(3820000000+0j),(0.4974392653+0.6121214823j),(-0.001709654811+0.000665924279j),(-0.001730547869+0.0006350104813j),(0.06780157238+0.1564902724j)
(3821000000+0j),(0.5492189527+0.5674654358j),(-0.00160075142+0.0009013255476j),(-0.001698301989+0.0007823530468j),(0.08083084226+0.1566110274j)
(3822000000+0j),(0.5966030359+0.5181766613j),(-0.001466971706+0.001068202197j),(-0.00158687355+0.0009466703632j),(0.09425742179+0.1553437882j)
(3823000000+0j),(0.6397167444+0.4650231573j),(-0.001323601813+0.001184985391j),(-0.001447153511+0.0011676047j),(0.1077483594+0.1526817468j)
(3824000000+0j),(0.6779155731+0.4079285282j),(-0.001157801133+0.001265400555j),(-0.001361665782+0.001263335231j),(0.1212214231+0.1485949719j)
(3825000000+0j),(0.7108697891+0.3475760453j),(-0.001032319386+0.001400119276j),(-0.001148681273+0.001397627173j),(0.1344621032+0.142997491j)
(3826000000+0j),(0.7382339835+0.2840118226j),(-0.0008790669963+0.001592246233j),(-0.001010789536+0.001532319933j),(0.1472926885+0.1357716791j)
(3827000000+0j),(0.760565877+0.2174552945j),(-0.0007201344124+0.001634186017j),(-0.0008150882204+0.001600451767j),(0.1591479331+0.1275448391j)
