Frequency,S33,S32,S23,S22
(3800000000+0j),(-0.2909101546+0.6775525635j),(-0.002328159753-0.0001139570522j),(-0.002367693465-0.0001884396625j),(0.04389539361+0.05106686548j)
(3801000000+0j),(-0.2323474586+0.7067041213j),(-0.002333521144+8.899690147e-05j),(-0.002411255147+5.211123425e-05j),(0.03956425935+0.04685816996j)
(3802000000+0j),(-0.1722731739+0.7301668477j),(-0.002352040261+0.0003771118063j),(-0.002340475796+0.0002578307176j),(0.03465253487+0.04357557173j)
(3803000000+0j),(-0.1120091751+0.7482448228j),(-0.002233940642+0.0005612501409j),(-0.002305544447+0.000442454766j),(0.02919721976+0.0414942048j)
(3804000000+0j),(-0.05166353658+0.7607175694j),(-0.002109973691+0.0007812375552j),(-0.002213680651+0.0007391981198j),(0.02340982296+0.04083480067j)
(3805000000+0j),(0.008256520145+0.7680566447j),(-0.002096462529+0.001002267702j),(-0.002107338514+0.000902448548j),(0.01779453084+0.04140876767j)
(3806000000+0j),(0.06748431176+0.7701492146j),(-0.001921640825+0.00114590046j),(-0.002051947638+0.001031004707j),(0.01247640047+0.04326449171j)
(3807000000+0j),(0.1261047721+0.7676303402j),(-0.001834755181+0.001356780413j),(-0.001839358592+0.001224196283j),(0.007576085627+0.04634390689j)
(3808000000+0j),(0.1835054308+0.7605484505j),(-0.001663667732+0.001517662196j),(-0.00175804412+0.001427483163j),(0.003365725046+0.05027336818j)
(3809000000+0j),(0.2395866066+0.7491811817j),(-0.001441962551+0.001611942658j),(-0.001594812726+0.001579818083j),(-9.055786359e-05+0.05526797489j)
(3810000000+0j),(0.2941684723+0.7335790935j),(-0.001364624826+0.001684230636j),(-0.001449575415+0.001640941598j),(-0.002708114916+0.06099085143j)
(3811000000+0j),(0.3465312421+0.7145974468j),(-0.001100093126+0.001816411503j),(-0.00129753584+0.00181245734j),(-0.004329502117+0.06759986366j)
(3812000000+0j),(0.3966621161+0.6919401361j),(-0.00100516167+0.001905013691j),(-0.001167924143+0.001881645294j),(-0.005068843719+0.07473511285j)
(3813000000+0j),(0.4450034797+0.6656508879j),(-0.0007570736343+0.001916282927j),(-0.0009636650211+0.001982555026j),(-0.004513093736+0.0823703942j)
(3814000000+0j),(0.4905157983+0.6361057961j),(-0.0006687977584+0.001976997592j),(-0.0007902213256+0.002110209083j),(-0.00296074478+0.09018091555j)
(3815000000+0j),(0.5340569019+0.6032230042j),(-0.0005396121414+0.002037717495j),(-0.0006084208726+0.002121177968j),(0.0003921956522+0.09811387609j)
(3816000000+0j),(0.5746414661+0.5674634511j),(-0.0003242959792+0.002080022823j),(-0.0003955552238+0.00209270278j),(0.004678755533+0.1059194729j)
(3817000000+0j),(0.6123464704+0.528873068j),(-0.000169579449+0.00208343775j),(-0.0002357847115+0.002197643276j),(0.01035319362+0.1134212124j)
(3818000000+0j),(0.6474288106+0.4875122937j),(-2.795749788e-05+0.002080629114j),(-7.496652688e-05+0.002148035448j),(0.01733149402+0.1203620648j)
(3819000000+0j),(0.6790787578+0.4436525572j),(0.0001330381492+0.002125038998j),(5.79698135e-05+0.002130904235j),(0.02522085235+0.12674044j)
(3820000000+0j),(0.7076525688+0.3974298514j),(0.000317080121+0.002017020946j),(0.0003677461355+0.002155927476j),(0.03412831202+0.1326092759j)
(3821000000+0j),(0.7327000499+0.349230789j),(0.0005503185675+0.002044111723j),(0.000441564247+0.002152950736j),(0.04440379143+0.1374946373j)
(3822000000+0j),(0.754463315+0.2990616886j),(0.0007646642043+0.002046914306j),(0.0006486732163+0.002084800275j),(0.05537322909+0.1413805111j)
(3823000000+0j),(0.7723040581+0.2470764511j),(0.0008326355601+0.001936849789j),(0.0008448138251+0.002031391952j),(0.06735171378+0.1440305964j)
(3824000000+0j),(0.7862377763+0.1933889411j),(0.001013068017+0.001889217994j),(0.0009648833075+0.002066829475j),(0.07998603582+0.1453721984j)
(3825000000+0j),(0.7965351939+0.1385007131j),(0.001162006287+0.001772133866j),(0.001171027194+0.001906611025j),(0.09320750087+0.1452699723j)
(3826000000+0j),(0.8023753762+0.08246548504j),(0.001362444018+0.001721892622j),(0.00133164099+0.001818291843j),(0.1067534238+0.1436588582j)
(3827000000+0j),(0.804387033+0.02526629693j),(0.001435518498+0.00168007426j),(0.001511781127+0.001658360707j),(0.1202354506+0.1404732742j)
(3828000000+0j),(0.8018705249-0.03286640141j),(0.00157493772+0.001523855142j),(0.001650283928+0.00158590998j),(0.1337360591+0.1358446689j)
(3829000000+0j),(0.7946327925-0.09039969993j),(0.001738679362+0.001412810641j),(0.001766718342+0.001484420034j),(0.1467937976+0.1295486404j)
