Frequency,S33,S32,S23,S22
(3800000000+0j),(-0.1533293426+0.6933047123j),(0.0006415960379+0.002916602883j),(0.0004880764463+0.003025942482j),(-0.01314675529+0.1028638357j)
(3801000000+0j),(-0.09682727605+0.7108169576j),(0.0007903193473+0.002826028969j),(0.0006885143812+0.002979587996j),(-0.01072232053+0.1051946223j)
(3802000000+0j),(-0.04060258344+0.7231892453j),(0.001060664305+0.0026482502j),(0.0008827739512+0.002845761133j),(-0.00795459561+0.1076610276j)
(3803000000+0j),(0.01578749903+0.7306492654j),(0.001252337359+0.002604449634j),(0.001180203632+0.002802545903j),(-0.004833060782+0.1102831081j)
(3804000000+0j),(0.07154862583+0.7334520814j),(0.001435712329+0.002456575399j),(0.001411728328+0.002537078457j),(-0.00106216385+0.1128098974j)
(3805000000+0j),(0.1260196865+0.7321193101j),(0.001647763653+0.002326899441j),(0.001543698832+0.002447250765j),(0.003164370311+0.1152407665j)
(3806000000+0j),(0.1804554015+0.7259608663j),(0.001775436918+0.002139369957j),(0.001716227969+0.002271679929j),(0.007510590833+0.1173136673j)
(3807000000+0j),(0.2330972999+0.715983029j),(0.001933376305+0.001972259488j),(0.001857849653+0.002057269448j),(0.01221031789+0.1190824324j)
(3808000000+0j),(0.2844924927+0.7018774037j),(0.002074039308+0.001836776384j),(0.002029950032+0.001873486559j),(0.01735990867+0.1203681088j)
(3809000000+0j),(0.3328802586+0.6847247326j),(0.002216370311+0.001583480625j),(0.00223036902+0.001773027238j),(0.02225673757+0.1215648611j)
(3810000000+0j),(0.3806709349+0.6636410537j),(0.002287777606+0.001442324603j),(0.002295447048+0.001559149474j),(0.02743565105+0.1226888266j)
(3811000000+0j),(0.4258145988+0.639815809j),(0.002366759581+0.00127941533j),(0.002425441984+0.001369155128j),(0.03248058632+0.1238410575j)
(3812000000+0j),(0.4696320891+0.6124749263j),(0.002458883217+0.0009836890968j),(0.002482070122+0.001212698058j),(0.03784349561+0.1249786827j)
(3813000000+0j),(0.5104609132+0.5823567909j),(0.002558943117+0.000861679262j),(0.00265807542+0.001018869109j),(0.04398550466+0.1259050035j)
(3814000000+0j),(0.5491921306+0.5494865873j),(0.00260333647+0.0006614872254j),(0.002743383171+0.0007771957316j),(0.05021778122+0.1263032866j)
(3815000000+0j),(0.5849558711+0.5141206006j),(0.002642323961+0.0003790460178j),(0.002725679427+0.0005074717919j),(0.05678705126+0.1263572885j)
(3816000000+0j),(0.6188598275+0.4756479981j),(0.002723474056+0.0002455767244j),(0.002790881321+0.0003524312342j),(0.06333228946+0.1261034783j)
(3817000000+0j),(0.6492575407+0.434821506j),(0.002689436078-4.605984941e-05j),(0.002809891012+4.038216503e-05j),(0.07035204023+0.1254175715j)
(3818000000+0j),(0.676568687+0.3919850794j),(0.002739082323-0.0002470700711j),(0.002793145133-0.0001275753893j),(0.07747711241+0.124292957j)
(3819000000+0j),(0.7008956075+0.3471770168j),(0.002648182213-0.0004279388231j),(0.002783239353-0.0004146419524j),(0.08491043001+0.1225224956j)
(3820000000+0j),(0.7218281627+0.3005109722j),(0.002645455534-0.0006624772795j),(0.002716141287-0.0006391271017j),(0.09257822484+0.1202101916j)
(3821000000+0j),(0.7392353415+0.252115556j),(0.002621529857-0.0008604653412j),(0.002722227713-0.0009015178657j),(0.09995280206+0.1172142362j)
(3822000000+0j),(0.753369391+0.2022973095j),(0.002429944929-0.001070591388j),(0.002624043031-0.001053346903j),(0.1073461771+0.1137831137j)
(3823000000+0j),(0.7636352181+0.150915804j),(0.002460102085-0.001302610966j),(0.002515394473-0.001231608447j),(0.1148107052+0.1096731957j)
(3824000000+0j),(0.7702876329+0.09877226675j),(0.002257809509-0.001523387269j),(0.002434570575-0.001508160494j),(0.1225059852+0.1047700252j)
(3825000000+0j),(0.7728686929+0.0450742662j),(0.002209754428-0.001705048024j),(0.002255052328-0.001698954264j),(0.129892081+0.09908656855j)
(3826000000+0j),(0.7709859014-0.009411601046j),(0.002045239555-0.001866339822j),(0.00215464225-0.001895212801j),(0.1367075741+0.09264479634j)
(3827000000+0j),(0.7654441595-0.0641675047j),(0.001942191506-0.001949485042j),(0.001989841927-0.00200811727j),(0.1431234032+0.08557681073j)
(3828000000+0j),(0.7551555037-0.1181678438j),(0.001756061451-0.002168272855j),(0.001794606214-0.002192658605j),(0.1490058601+0.07794396608j)
(3829000000+0j),(0.740275085-0.1726237324j),(0.001610331004-0.002332304837j),(0.001623660093-0.00238596648j),(0.1541784406+0.06974467965j)
(3830000000+0j),(0.7208346128-0.2262332788j),(0.001441238448-0.002480324125j),(0.001449433505-0.002502373653j),(0.1588977575+0.06099511653j)
(3831000000+0j),(0.6963774562-0.2795129523j),(0.001271650312-0.002594396705j),(0.001288131694-0.002663313877j),(0.1625576019+0.0518594484j)
(3832000000+0j),(0.6673889756-0.3309598332j),(0.001050525461-0.002732734196j),(0.001107317046-0.002700834768j),(0.1655506194+0.04225008075j)
(3833000000+0j),(0.6334154606-0.3801787061j),(0.000756206573-0.002842104761j),(0.0008425964043-0.002782816533j),(0.1676564217+0.03255379985j)
(3834000000+0j),(0.5944512486-0.4271078642j),(0.000593814184-0.002871491481j),(0.0005774382153-0.002941889223j),(0.1688234061+0.02304339597j)
(3835000000+0j),(0.5508248806-0.4713889301j),(0.0002470346517-0.00295943534j),(0.0002905641159-0.002987876069j),(0.1693558991+0.01343569798j)
(3836000000+0j),(0.5023974776-0.5122788206j),(7.921562792e-05-0.003107842989j),(0.000113414113-0.003000891535j),(0.1691853553+0.003746023116j)
(3837000000+0j),(0.4493733048-0.549177303j),(-0.0003017662093-0.003072335385j),(-0.0002248148958-0.003143756185j),(0.1681045741-0.005864568524j)
(3838000000+0j),(0.3923838437-0.5814432687j),(-0.0005969026242-0.003093771171j),(-0.00047911398-0.003081413917j),(0.1662291139-0.01524241293j)
(3839000000+0j),(0.3316991031-0.6081288558j),(-0.0008266090881-0.003068234539j),(-0.000855272403-0.003087239806j),(0.1636451781-0.02443914489j)
(3840000000+0j),(0.2670761347-0.6298483462j),(-0.001061531832-0.002947285073j),(-0.001111200312-0.003012931207j),(0.1602358222-0.03308293469j)
