Frequency,S33,S32,S23,S22
(3800000000+0j),(-0.2903271019+0.6775049287j),(-0.001035387046+0.001353563508j),(-0.001090126811+0.001364327967j),(0.0336708501+0.06087392526j)
(3801000000+0j),(-0.2317811698+0.7067734351j),(-0.0009367754683+0.001393284532j),(-0.0009904511971+0.001375799067j),(0.03017953411+0.05750457459j)
(3802000000+0j),(-0.1724180579+0.7303949749j),(-0.000805289601+0.001450136537j),(-0.0008928669267+0.001411678502j),(0.02635109983+0.05514717688j)
(3803000000+0j),(-0.1124203056+0.74810399j),(-0.0007475395105+0.001478776336j),(-0.0007449581171+0.001522345701j),(0.02226665057+0.0536856065j)
(3804000000+0j),(-0.05212339386+0.7605696002j),(-0.0006045912742+0.001562864869j),(-0.0007073907764+0.001491970499j),(0.01800160855+0.05334519035j)
(3805000000+0j),(0.00770762004+0.7680025945j),(-0.0005793040036+0.001553669688j),(-0.0005803687964+0.001614900306j),(0.0137620233+0.05389791714j)
(3806000000+0j),(0.06753169+0.7702091155j),(-0.0004726850893+0.00162601599j),(-0.0005156199331+0.001650575898j),(0.009722730145+0.05538834863j)
(3807000000+0j),(0.1262095869+0.7676394591j),(-0.0003672267485+0.001668735291j),(-0.0004912563018+0.001635747147j),(0.005789664108+0.05795808281j)
(3808000000+0j),(0.1829198003+0.7607336761j),(-0.0002716636809+0.001656442182j),(-0.0002591539233+0.00168484624j),(0.002336709062+0.06138549872j)
(3809000000+0j),(0.2392500639+0.7491922394j),(-0.0001250424684+0.001645552111j),(-0.000210225+0.001705379225j),(-0.0006360035622+0.06595857732j)
(3810000000+0j),(0.2932559252+0.7339712945j),(2.616961638e-06+0.001710139215j),(-0.000107144333+0.001769040595j),(-0.002784830285+0.07133656494j)
(3811000000+0j),(0.3456750214+0.7149790064j),(8.103565779e-05+0.00173899252j),(1.54028512e-05+0.001737800427j),(-0.003906363621+0.07758487563j)
(3812000000+0j),(0.3965036571+0.6919752997j),(0.0001780583407+0.001645173295j),(0.0001379291207+0.001766625792j),(-0.004005980678+0.08447667503j)
(3813000000+0j),(0.4444295168+0.6658323374j),(0.0003051010135+0.001699241693j),(0.0001767356298+0.00179269712j),(-0.002996117575+0.09161574957j)
(3814000000+0j),(0.4904318452+0.6362466009j),(0.0005309741828+0.001739411382j),(0.000375835225+0.001795145217j),(-0.0007308860659+0.09908923371j)
(3815000000+0j),(0.5339419842+0.6033528647j),(0.0005328531843+0.001690178295j),(0.0004969889414+0.001763813081j),(0.002660621889+0.1066138413j)
(3816000000+0j),(0.5744421482+0.5672297313j),(0.00072809431+0.001670792699j),(0.0006539261085+0.001726053422j),(0.007391365245+0.1140057774j)
(3817000000+0j),(0.6124920845+0.5287559881j),(0.0008762711077+0.001707105432j),(0.0007865250809+0.001747183851j),(0.01351715811+0.1211347315j)
(3818000000+0j),(0.6472115517+0.487288062j),(0.001016137539+0.001620066352j),(0.0008487803861+0.001659919508j),(0.02071064897+0.1279501441j)
(3819000000+0j),(0.6788542271+0.4437782505j),(0.00104774558+0.001517302124j),(0.001058266731+0.001699161367j),(0.0291742608+0.1340330393j)
(3820000000+0j),(0.7074353099+0.3977266297j),(0.001190614421+0.001533567091j),(0.001201113453+0.001561422832j),(0.03883518651+0.1391364467j)
(3821000000+0j),(0.7326404452+0.3491423866j),(0.001323566539+0.001459953375j),(0.00130005891+0.001547194552j),(0.04946150631+0.1431830542j)
(3822000000+0j),(0.754181385+0.2989229612j),(0.001425527153+0.00134181336j),(0.001441086759+0.001405540155j),(0.06097303703+0.1459659262j)
(3823000000+0j),(0.7721773386+0.246792662j),(0.001500380924+0.001278405078j),(0.001591022825+0.001358811045j),(0.07293345779+0.1474447534j)
(3824000000+0j),(0.7863755226+0.1929713129j),(0.001651994418+0.001153705176j),(0.001650133869+0.001236500102j),(0.08521857113+0.1476803705j)
(3825000000+0j),(0.7961137295+0.1390809375j),(0.001722653746+0.0009990982944j),(0.001786839915+0.001154405298j),(0.09789794683+0.1465424335j)
(3826000000+0j),(0.8022571802+0.08290222707j),(0.001893998124+0.0009399970877j),(0.001914071385+0.001028227736j),(0.1105965152+0.1441795445j)
(3827000000+0j),(0.8040192127+0.02607017499j),(0.001958921086+0.0007644844009j),(0.001952246879+0.0008114522789j),(0.1231734902+0.1405235497j)
(3828000000+0j),(0.8016683459-0.03180571132j),(0.002031183569+0.00060377107j),(0.002097937278+0.0007570096059j),(0.1357960254+0.1354892246j)
(3829000000+0j),(0.794588387-0.09005033284j),(0.002117133699+0.0004603544076j),(0.002113235882+0.0005562438746j),(0.1479912251+0.1291435857j)
(3830000000+0j),(0.7825008631-0.1480459304j),(0.002183380304+0.000285504153j),(0.002231313847+0.0003704154515j),(0.1597653776+0.121450631j)
(3831000000+0j),(0.7657533288-0.2058170675j),(0.002240665024+0.0002076848177j),(0.002277508844+0.0001894534071j),(0.1708970964+0.1122873363j)
(3832000000+0j),(0.7439392805-0.2626296014j),(0.002273482736-1.737516504e-05j),(0.002341387095-1.034487696e-06j),(0.1809938997+0.1021311609j)
(3833000000+0j),(0.7170528769-0.3178024088j),(0.002289147349-0.000148891515j),(0.002289697062-0.0001111606398j),(0.1901589483+0.09102000614j)
(3834000000+0j),(0.6848967075-0.3723584034j),(0.002312365687-0.0003792822536j),(0.002362547442-0.0002921779815j),(0.1984233856+0.07899124842j)
(3835000000+0j),(0.647713244-0.4245006356j),(0.002286617877-0.0005173055106j),(0.002340012696-0.0005646756617j),(0.2053670287+0.06611599937j)
(3836000000+0j),(0.6051999927-0.4740712893j),(0.00232709921-0.0007081088843j),(0.002320356667-0.0007277411642j),(0.2115994096+0.05215132829j)
(3837000000+0j),(0.5577276349-0.5199416938j),(0.002341392916-0.0009833707009j),(0.002284499817-0.0008370691212j),(0.2162711918+0.03788452978j)
(3838000000+0j),(0.505336225-0.5627322401j),(0.002278399887-0.0010900856j),(0.002308623865-0.001018010546j),(0.2194506377+0.02310081089j)
(3839000000+0j),(0.4479918182-0.6010231021j),(0.002151896479-0.001352853491j),(0.002243459923-0.001322503434j),(0.2214570194+0.007949115422j)
(3840000000+0j),(0.3869075477-0.6337654294j),(0.002069723094-0.001536468742j),(0.002210822422-0.001435573446j),(0.2218541652-0.007492441099j)
