Frequency,Complex S33,Complex S32,Complex S23,Complex S22
(3800000000+0j),(-0.179108128+0.6835643275j),(0.001042225631-0.0009189554257j),(0.001064006006-0.0008490481414j),(0.02994253486+0.06732149915j)
(3801000000+0j),(-0.1261660308+0.7023778234j),(0.0009725221898-0.0009794111829j),(0.0009951909306-0.0008694410208j),(0.02751450613+0.0630281016j)
(3802000000+0j),(-0.07247826457+0.7162450003j),(0.000871416647-0.00101255253j),(0.0008867377765-0.0009720519301j),(0.02461386099+0.05963801453j)
(3803000000+0j),(-0.01955890097+0.7260880954j),(0.0008151449147-0.00112096325j),(0.0008155006799-0.001058820169j),(0.02128813602+0.05715768925j)
(3804000000+0j),(0.03304087371+0.7313157824j),(0.0007275855751-0.001148459502j),(0.0007731147343-0.001109076664j),(0.01783989184+0.05539152783j)
(3805000000+0j),(0.08549369127+0.7322716596j),(0.0006278590299-0.001215330092j),(0.0006778968382-0.001065649092j),(0.01403389499+0.05465750234j)
(3806000000+0j),(0.1371449083+0.7294298556j),(0.0005185847986-0.001249446301j),(0.0005887903972-0.001238807687j),(0.01029702835+0.05480723167j)
(3807000000+0j),(0.1877768189+0.7229259034j),(0.0004352292162-0.001275666757j),(0.0004384259519-0.001266431995j),(0.006641981192+0.05589466328j)
(3808000000+0j),(0.2365598977+0.7127159969j),(0.0003228161077-0.001326748636j),(0.0004174190108-0.001307055587j),(0.003294066293+0.05801667144j)
(3809000000+0j),(0.2851279378+0.6985449639j),(0.0001962768001-0.001382687362j),(0.0002249261597-0.00137191033j),(0.000545341114+0.06083789076j)
(3810000000+0j),(0.3313899934+0.6815308972j),(6.466965715e-05-0.001391992671j),(0.0001353345579-0.001427061274j),(-0.001707127201+0.06438097287j)
(3811000000+0j),(0.3763132691+0.6614136232j),(-5.818411591e-05-0.001438830164j),(4.56616981e-05-0.001381359762j),(-0.003534480231+0.06866000854j)
(3812000000+0j),(0.4197536111+0.6382868458j),(-0.0001916399342-0.001464880886j),(-7.940742216e-05-0.001352753956j),(-0.004521129187+0.07355761373j)
(3813000000+0j),(0.4607996643+0.6121697853j),(-0.0002348034614-0.001386103802j),(-0.0001954717736-0.001393275452j),(-0.004739204887+0.07891914162j)
(3814000000+0j),(0.4998525977+0.5832157225j),(-0.000427232153-0.00136234262j),(-0.000328387483-0.0014000847j),(-0.004324908368+0.08460102067j)
(3815000000+0j),(0.5369737148+0.5513568371j),(-0.0004686985048-0.001394665567j),(-0.0004748055653-0.001331851119j),(-0.002958684927+0.09065075955j)
(3816000000+0j),(0.571392417+0.5172157482j),(-0.0006534043932-0.001336853253j),(-0.0005185459158-0.001317535178j),(-0.0006398945116+0.09693367537j)
(3817000000+0j),(0.6033328772+0.4807378235j),(-0.0006961635081-0.001248843619j),(-0.0006663491949-0.001224534586j),(0.002905356931+0.1031825323j)
(3818000000+0j),(0.6327914596+0.4414031235j),(-0.0007955848123-0.001184451277j),(-0.0007446860545-0.001195481862j),(0.007303331979+0.1092999857j)
(3819000000+0j),(0.659506619+0.4004783833j),(-0.0009347973391-0.00105900038j),(-0.0008888962911-0.001065441291j),(0.01281894557+0.1151451325j)
(3820000000+0j),(0.6833950281+0.356812748j),(-0.000959428784-0.0009883190505j),(-0.0009816908278-0.001066620112j),(0.01903880015+0.1207680546j)
(3821000000+0j),(0.7038584352+0.3116878991j),(-0.001045849756-0.0008831090527j),(-0.001051962376-0.00100249052j),(0.02659880929+0.1257070139j)
(3822000000+0j),(0.7214659452+0.2646043938j),(-0.001148204436-0.0008219934534j),(-0.001127538504-0.0008809845895j),(0.03481527045+0.1298920984j)
