Frequency,S33,S32,S23,S22
(3800000000+0j),(-0.2124033719+0.7196153959j),(-1.63340319e-05-0.001656105625j),(3.87213986e-05-0.001648820937j),(-0.07571262866+0.007757826656j)
(3801000000+0j),(-0.1549807042+0.7413549256j),(-0.0002171988162-0.001582690631j),(-0.0001268958877-0.001659890288j),(-0.08640491217+0.018436112j)
(3802000000+0j),(-0.09721074998+0.7575387145j),(-0.0002973706287-0.001579154632j),(-0.0002909360919-0.001631200779j),(-0.09543695301+0.03092706174j)
(3803000000+0j),(-0.04013855383+0.7688196172j),(-0.0004687586334-0.001517077209j),(-0.0004110173322-0.001623809687j),(-0.1026927084+0.04512666552j)
(3804000000+0j),(0.01728980429+0.7757609233j),(-0.0005767262774-0.001455987571j),(-0.0005338274059-0.001544551342j),(-0.1080540046+0.0604018317j)
(3805000000+0j),(0.07383915037+0.7777204911j),(-0.0006934353733-0.001478605904j),(-0.0005908706225-0.001579630654j),(-0.1116293445+0.07668213562j)
(3806000000+0j),(0.1298972964+0.7753566003j),(-0.0007949376595-0.001402631169j),(-0.0006966881338-0.001482812106j),(-0.1129116118+0.09370195958j)
(3807000000+0j),(0.1844369322+0.7689595781j),(-0.0008421980892-0.001365671284j),(-0.0008412845782-0.001522706007j),(-0.1121109426+0.1114193047j)
(3808000000+0j),(0.2375629693+0.7586314115j),(-0.0009951763786-0.001301469514j),(-0.0009363267454-0.001406186726j),(-0.1087075993+0.1293640535j)
(3809000000+0j),(0.2902885377+0.7442567931j),(-0.001001501339-0.001220804988j),(-0.001003669342-0.001340260846j),(-0.1030860692+0.1472696454j)
(3810000000+0j),(0.3411013186+0.7261997512j),(-0.001135939965-0.001125177601j),(-0.001160155516-0.001285522943j),(-0.09502548724+0.1648298711j)
(3811000000+0j),(0.3890424371+0.7055616059j),(-0.001159629202-0.001056809677j),(-0.001163631561-0.00117384654j),(-0.08461530507+0.1818437103j)
(3812000000+0j),(0.4361173213+0.6810966612j),(-0.001259510755-0.001065407996j),(-0.001234600204-0.001108418452j),(-0.07194203883+0.1978706694j)
(3813000000+0j),(0.4807683229+0.6538532674j),(-0.001289483393-0.0009629775886j),(-0.001344316057-0.001026983373j),(-0.05714556575+0.2124832411j)
(3814000000+0j),(0.522593677+0.623713573j),(-0.001337777823-0.0008459129604j),(-0.001383954892-0.0009085971978j),(-0.04046793655+0.2256943098j)
(3815000000+0j),(0.563352704+0.5899332284j),(-0.001399577945-0.0008114707889j),(-0.001442917739-0.0008313207654j),(-0.02161777765+0.2370828033j)
(3816000000+0j),(0.6010338664+0.553682495j),(-0.001548608416-0.0006621851353j),(-0.001508913236-0.0007297532284j),(-0.001647416269+0.2465110325j)
(3817000000+0j),(0.6362535357+0.5144557291j),(-0.001526909531-0.0005856844946j),(-0.001674343599-0.0006786300801j),(0.0198420044+0.2538326571j)
(3818000000+0j),(0.6685590148+0.4731015973j),(-0.001619812916-0.0004965534899j),(-0.001623726101-0.0005497197853j),(0.04259747267+0.2587398422j)
(3819000000+0j),(0.6979614496+0.4294005962j),(-0.001620805822-0.0003543087223j),(-0.001689125551-0.0004353649565j),(0.06636441499+0.2611765719j)
(3820000000+0j),(0.7243855+0.3830718196j),(-0.001711337129-0.0002273465943j),(-0.00175882515-0.0003651864245j),(0.09024706483+0.2610100946j)
(3821000000+0j),(0.7471693158+0.3348312009j),(-0.001814612304-0.0001580972894j),(-0.001789854839-0.0001855917799j),(0.1146924049+0.2578809701j)
(3822000000+0j),(0.7668053508+0.2848276186j),(-0.001732591074+1.197439906e-05j),(-0.001873637899-5.693427738e-05j),(0.1388846934+0.2519780265j)
(3823000000+0j),(0.7828266025+0.2324877639j),(-0.001804553438+0.0001213615542j),(-0.001894204994+8.055561921e-05j),(0.1623218954+0.2432291642j)
(3824000000+0j),(0.7952097058+0.1782905204j),(-0.001833988237+0.0002506871242j),(-0.001881865435+0.0001978683431j),(0.1847633719+0.2320448566j)
(3825000000+0j),(0.8035591841+0.1228542324j),(-0.001805655193+0.0003348976024j),(-0.001909910585+0.0002908389433j),(0.2061453462+0.2182696005j)
(3826000000+0j),(0.8073560596+0.06625984344j),(-0.001845904975+0.0005162581801j),(-0.001904096687+0.0005094952649j),(0.2258288711+0.202495011j)
(3827000000+0j),(0.8071570992+0.008541451447j),(-0.001849769382+0.0006769954925j),(-0.001877342467+0.0006358271348j),(0.2437314093+0.1849540224j)
(3828000000+0j),(0.8024297953-0.04995338587j),(-0.001784129883+0.0008001409005j),(-0.001811858499+0.0007806605427j),(0.2603183985+0.1652595j)
(3829000000+0j),(0.792675674-0.1093301794j),(-0.001778089791+0.0009927677456j),(-0.00182478514+0.0009169532568j),(0.2746727169+0.1439506508j)
(3830000000+0j),(0.7779804468-0.1678367972j),(-0.001667347155+0.001134259743j),(-0.001766459784+0.001104913652j),(0.2864672244+0.1213204928j)
(3831000000+0j),(0.7579748034-0.2261119851j),(-0.001731592347+0.001269098488j),(-0.001664035372+0.001260597026j),(0.2959211171+0.09733376147j)
(3832000000+0j),(0.7326760292-0.2839903679j),(-0.001546659158+0.001484428183j),(-0.001655807253+0.001492957119j),(0.3029347062+0.07256639881j)
(3833000000+0j),(0.7015179396-0.3403838236j),(-0.001463323249+0.001660893671j),(-0.001465065405+0.001575199538j),(0.3070575595+0.04701072861j)
(3834000000+0j),(0.6651032567-0.3952234906j),(-0.001385652693+0.001686682925j),(-0.00134606706+0.001761063933j),(0.3083773553+0.02115644596j)
(3835000000+0j),(0.6226898432-0.4471084117j),(-0.001282882295+0.001852627145j),(-0.001278807176+0.001864696853j),(0.3068417311-0.004188930283j)
