Frequency,S33,S32,S23,S22
(3800000000+0j),(-0.5092859268+0.3427745878j),(6.813028904e-06+0.002493043896j),(-8.224455087e-05+0.002547536045j),(-0.03031383827+0.05275371805j)
(3801000000+0j),(-0.4825998843+0.3931094539j),(0.0002373681345+0.002606807509j),(6.402377039e-05+0.002613244578j),(-0.03454459086+0.0555940019j)
(3802000000+0j),(-0.4511497617+0.4414249023j),(0.0003409854835+0.002569257049j),(0.000227466604+0.002598767402j),(-0.03837397322+0.05946726376j)
(3803000000+0j),(-0.4160087407+0.4866504675j),(0.0004725796462+0.002534579718j),(0.0003104680509+0.002620564075j),(-0.04181266576+0.0643919469j)
(3804000000+0j),(-0.3770008385+0.5291060298j),(0.0006808548351+0.002576564206j),(0.0006233309978+0.002587896539j),(-0.04475047067+0.0702018951j)
(3805000000+0j),(-0.3344218731+0.5679723664j),(0.0009341882542+0.002467967104j),(0.0008053408819+0.002560456516j),(-0.04691865668+0.0770924699j)
(3806000000+0j),(-0.2883673608+0.6033257754j),(0.001097367145+0.0023441636j),(0.001012489898+0.002482739044j),(-0.04808686301+0.08463752198j)
(3807000000+0j),(-0.2384040952+0.6346320039j),(0.001243276754+0.002312954748j),(0.001130775898+0.002496592468j),(-0.04797391221+0.09283077558j)
(3808000000+0j),(-0.1860354394+0.6620402857j),(0.001361122238+0.002346413443j),(0.001329802675+0.00240269606j),(-0.0466061458+0.1013696201j)
(3809000000+0j),(-0.1313223243+0.684369995j),(0.001653453801+0.002181312302j),(0.001625551726+0.002296826569j),(-0.0440951921+0.1101810423j)
(3810000000+0j),(-0.07439216226+0.7022621244j),(0.00177621725+0.002117837314j),(0.001706812182+0.002198450267j),(-0.04021687061+0.1189052604j)
(3811000000+0j),(-0.01551071182+0.7150296223j),(0.001911500236+0.001911458327j),(0.001847766223+0.002062125131j),(-0.03521776199+0.127541831j)
(3812000000+0j),(0.04512429982+0.7228567895j),(0.00198199763+0.001882217824j),(0.00206255354+0.001984124538j),(-0.02891249023+0.1356321459j)
(3813000000+0j),(0.1063427553+0.7250045147j),(0.002274805214+0.001718429499j),(0.002194419038+0.001749911811j),(-0.02173860371+0.1432638555j)
(3814000000+0j),(0.1682382971+0.7216999696j),(0.002276672516+0.001537869452j),(0.00232614181+0.001680066576j),(-0.01348362491+0.1503673805j)
(3815000000+0j),(0.229545325+0.7124792236j),(0.002591703087+0.001349566737j),(0.002454366768+0.001489412505j),(-0.004465194885+0.1568823582j)
(3816000000+0j),(0.2909474075+0.6971956402j),(0.002607773757+0.00124183204j),(0.00259730895+0.001323334989j),(0.00588905951+0.1626758508j)
(3817000000+0j),(0.350738138+0.6763870419j),(0.002722906182+0.001068374375j),(0.002774611115+0.00113084435j),(0.01684655435+0.1673443691j)
(3818000000+0j),(0.4092812836+0.6494913968j),(0.00282020797+0.0007943078526j),(0.00290034432+0.001006742124j),(0.02847937867+0.1711064583j)
(3819000000+0j),(0.4648305476+0.6173284054j),(0.002937001409+0.0006813858054j),(0.003048684215+0.0007204919239j),(0.040851105+0.1738165771j)
(3820000000+0j),(0.5171854496+0.5798868007j),(0.002973061753+0.0003134833532j),(0.003088133642+0.0005218412844j),(0.05375429243+0.1751875017j)
(3821000000+0j),(0.5663463473+0.536982411j),(0.0030934799+0.0001431543787j),(0.003205022542+0.0001598411036j),(0.06715880334+0.1754004759j)
(3822000000+0j),(0.6112188697+0.4894198776j),(0.003158982843-5.56800951e-05j),(0.003183631459+2.194349008e-06j),(0.08072545379+0.1740890989j)
(3823000000+0j),(0.6514532566+0.4373714821j),(0.0031607782-0.0002898236562j),(0.003220116254-0.0003650518192j),(0.09430611879+0.1716588466j)
