Frequency,S33,S32,S23,S22
(3800000000+0j),(-0.558080554+0.293144855j),(3.73726507e-05+0.0007881345227j),(7.998534784e-06+0.0007574402844j),(-0.02311186679+0.05990584171j)
(3801000000+0j),(-0.5327708721+0.3492616797j),(9.202271031e-05+0.0007558158832j),(3.757487866e-05+0.0007831674302j),(-0.02663399465+0.06189367701j)
(3802000000+0j),(-0.5025553703+0.4026007978j),(9.008710913e-05+0.0007479939959j),(5.998896449e-05+0.0007057449548j),(-0.029919561+0.06482328308j)
(3803000000+0j),(-0.4674452245+0.4534831419j),(0.0001158797459+0.0007290365174j),(7.823071792e-05+0.0007862526109j),(-0.03285649791+0.06874190666j)
(3804000000+0j),(-0.4281177223+0.5011054922j),(0.0002211972314+0.0007593029877j),(0.0001582879777+0.0007911683642j),(-0.03513160348+0.0734564556j)
(3805000000+0j),(-0.3848203421+0.5448589937j),(0.0003079876187+0.0006861461443j),(0.0002094926895+0.0007715049433j),(-0.0367802754+0.07871058923j)
(3806000000+0j),(-0.3373284936+0.584810357j),(0.0002882425324+0.0007040848141j),(0.0002572800149+0.0007094117464j),(-0.03777952865+0.08475622163j)
(3807000000+0j),(-0.2858816385+0.6207365642j),(0.0003153290891+0.0006583963986j),(0.0003099575988+0.0007252845098j),(-0.03762662411+0.09111770164j)
(3808000000+0j),(-0.2311300784+0.6517582815j),(0.0003477263963+0.0006596028688j),(0.0003266396816+0.0006674358156j),(-0.03690871596+0.09770597236j)
(3809000000+0j),(-0.1738183796+0.6777782332j),(0.0003578362812+0.0006219707429j),(0.0004135200579+0.0006873110542j),(-0.03531065956+0.1046658932j)
(3810000000+0j),(-0.1139805764+0.6986051853j),(0.0004188554303+0.0006757997908j),(0.0003728660813+0.0006356074009j),(-0.0328807421+0.1119390205j)
(3811000000+0j),(-0.05262318999+0.7141233412j),(0.0004601911933+0.0006305451971j),(0.0004818997404+0.0006694732001j),(-0.02953471802+0.1194382097j)
(3812000000+0j),(0.01017729286+0.724123074j),(0.0005375733017+0.0005486390437j),(0.0004832516715+0.0006388828042j),(-0.02509735711+0.1269540518j)
(3813000000+0j),(0.07472454011+0.7281849257j),(0.0005674918066+0.0005534021766j),(0.0005518656108+0.0005488418974j),(-0.01972898841+0.1343707116j)
(3814000000+0j),(0.1396219879+0.7262074328j),(0.0006593914004+0.0005181660526j),(0.0006191027351+0.0005568215274j),(-0.01304088254+0.141665643j)
(3815000000+0j),(0.2035475373+0.7183231786j),(0.0006635289756+0.0005101033021j),(0.0006480657612+0.000547065807j),(-0.005107728299+0.1483520773j)
(3816000000+0j),(0.2674896121+0.7041302722j),(0.0008013741462+0.000460115145j),(0.0006912953104+0.0004484294914j),(0.003515284276+0.1544299524j)
(3817000000+0j),(0.3301039636+0.6838428254j),(0.0007685226155+0.0003527785593j),(0.0007177863736+0.0003400800342j),(0.0134110637+0.1596138773j)
(3818000000+0j),(0.3904134333+0.657922932j),(0.0007622351404+0.0003703944967j),(0.0008212635876+0.0004427278764j),(0.02395521663+0.1637710287j)
(3819000000+0j),(0.4481652081+0.6262705057j),(0.0008162582526+0.0003104529751j),(0.0008170336951+0.0003734466154j),(0.03511335328+0.1669698492j)
(3820000000+0j),(0.5027537942+0.5891825767j),(0.0008767999825+0.0002210027596j),(0.0008842057432+0.0002709341352j),(0.04691379145+0.1691926413j)
(3821000000+0j),(0.554072082+0.5462760793j),(0.000928955269+0.0001196436642j),(0.0009184063529+0.0002048235765j),(0.05923178047+0.170221744j)
(3822000000+0j),(0.6010116339+0.4988853204j),(0.0008878348162+7.127202844e-05j),(0.0009786763694+0.00012237583j),(0.07148700207+0.1700811388j)
(3823000000+0j),(0.643229723+0.4473740209j),(0.0009624233935+3.656499393e-05j),(0.0009776818333+4.547970093e-05j),(0.08406989276+0.1688745098j)
(3824000000+0j),(0.6802205443+0.3920874022j),(0.0009445964824-8.358010382e-05j),(0.001027567312-1.878771945e-05j),(0.0968837142+0.1664310851j)
(3825000000+0j),(0.7120159864+0.3329710744j),(0.0009024575702-0.0001751806412j),(0.000961279904-0.0001489910792j),(0.1095807776+0.1626466623j)
(3826000000+0j),(0.7380654812+0.2710649529j),(0.0008122809231-0.0002404845j),(0.001039584167-0.0001817102311j),(0.1219016761+0.1577885921j)
(3827000000+0j),(0.7579150796+0.2072690482j),(0.0009147460223-0.0003347233578j),(0.0009094667039-0.000352180854j),(0.1341343224+0.1520018466j)
(3828000000+0j),(0.7717366815+0.1415953397j),(0.000870441203-0.0004551226448j),(0.0009584996733-0.0004154783965j),(0.146184355+0.1451544356j)
(3829000000+0j),(0.7789515257+0.07593237193j),(0.0008516072412-0.0005492392229j),(0.0008958965773-0.0004653098295j),(0.1577416062+0.1367223195j)
(3830000000+0j),(0.779868722+0.009710028967j),(0.0007529354771-0.00055144832j),(0.0008515030495-0.0005569870118j),(0.16854164+0.1269940439j)
(3831000000+0j),(0.7744298577-0.05625735503j),(0.0006939948071-0.0006754845963j),(0.0007307113265-0.0006245955592j),(0.1784650236+0.1162118477j)
(3832000000+0j),(0.7630010247-0.1216423244j),(0.0007186995354-0.0006926148199j),(0.0007473503938-0.0006700770464j),(0.1873130351+0.1041934579j)
(3833000000+0j),(0.745115757-0.1849317142j),(0.0006429261412-0.0006935910787j),(0.0006314269267-0.0007898185868j),(0.1946186125+0.09153511946j)
(3834000000+0j),(0.7217108607-0.2463362245j),(0.0005932067288-0.0007373039844j),(0.000623703585-0.0008268673555j),(0.2007638216+0.07823550061j)
(3835000000+0j),(0.6926829219-0.3045520338j),(0.0004890431301-0.0008391485317j),(0.0005407399731-0.0008163386374j),(0.2057798207+0.06449156068j)
(3836000000+0j),(0.6585134268-0.3597661388j),(0.0004613690835-0.0008663327317j),(0.0004062125518-0.0008421847015j),(0.2094262391+0.0499788863j)
(3837000000+0j),(0.6193338633-0.4111633079j),(0.0003742307017-0.0009598083561j),(0.0003039092117-0.0008817283087j),(0.2115761191+0.03551052889j)
(3838000000+0j),(0.5758509636-0.4583367775j),(0.0003078819427-0.0009934646077j),(0.0002913455828-0.0009184766095j),(0.2123315781+0.02080323959j)
(3839000000+0j),(0.5284887552-0.5011830331j),(0.0002136116818-0.0009367795428j),(0.0002118464326-0.0009926535422j),(0.2116634548+0.006351201743j)
(3840000000+0j),(0.4779157341-0.5395878052j),(0.0001701891306-0.00103622512j),(0.0001383337221-0.001001955941j),(0.2094592005-0.007807283771j)
(3841000000+0j),(0.4245096147-0.5722027126j),(-1.383018116e-05-0.000905086461j),(0.000121025143-0.0009799152613j),(0.2060949653-0.02154806665j)
(3842000000+0j),(0.3685888648-0.599931307j),(-3.166253737e-05-0.0009762007976j),(-4.64970035e-05-0.0009815810481j),(0.2015094459-0.03483448j)
(3843000000+0j),(0.3105025589-0.6228045956j),(-0.0001226246095-0.001008362626j),(-9.478956781e-05-0.0009748549783j),(0.1955697387-0.04755826689j)
(3844000000+0j),(0.2510505915-0.6401083474j),(-0.0002455683425-0.0009792682249j),(-0.0001190605835-0.000969055749j),(0.1881623119-0.05930265583j)
(3845000000+0j),(0.1907953322-0.6517567115j),(-0.0002307661198-0.00101049291j),(-0.000289031479-0.001020501368j),(0.1798134893-0.0698478467j)
(3846000000+0j),(0.1297517121-0.6582297392j),(-0.0003957210283-0.0009555775323j),(-0.0003448824282-0.0009248402785j),(0.1707268506-0.07932496782j)
(3847000000+0j),(0.06943958998-0.6592033475j),(-0.0005159471766-0.000914047705j),(-0.0004332116514-0.0008766289684j),(0.1609260291-0.08764841604j)
(3848000000+0j),(0.008946745656-0.6547992776j),(-0.0006079745945-0.0008598500863j),(-0.0005443150294-0.0009202611982j),(0.1504274756-0.09473655954j)
(3849000000+0j),(-0.04993344843-0.6452746271j),(-0.0005789495772-0.0007402495248j),(-0.0006096556899-0.0007895134622j),(0.1394950449-0.1002740773j)
(3850000000+0j),(-0.1078500077-0.6306383931j),(-0.0006970943068-0.0006583397044j),(-0.0006713680341-0.0007341779419j),(0.1284058839-0.1045889557j)
(3851000000+0j),(-0.1639064401-0.6113849396j),(-0.0006736974465-0.0006279913359j),(-0.0007064488018-0.0007212498458j),(0.1171090826-0.1071422212j)
(3852000000+0j),(-0.2176986486-0.5872519735j),(-0.0007976764464-0.0006216025795j),(-0.0008132552612-0.0006856452092j),(0.1061734706-0.1082472106j)
(3853000000+0j),(-0.2690098584-0.5592021615j),(-0.000909801689-0.0005564466119j),(-0.0008357316838-0.0005910485634j),(0.09574285895-0.1083464172j)
(3854000000+0j),(-0.3179867566-0.5265456196j),(-0.00090179994-0.0004088391142j),(-0.0009454867686-0.000468032551j),(0.08560494334-0.1071188j)
(3855000000+0j),(-0.3634971976-0.490396601j),(-0.000998623902-0.0004150271707j),(-0.0009262892418-0.0004243115254j),(0.07611036301-0.1045866396j)
(3856000000+0j),(-0.4059594572-0.4502519484j),(-0.000973749382-0.0002746124228j),(-0.0009414947708-0.0003274904157j),(0.0674976036-0.1010185874j)
(3857000000+0j),(-0.4446760416-0.4067486202j),(-0.0009919151198-0.0002062017302j),(-0.0009356894298-0.0002532788203j),(0.05983100459-0.09658125388j)
(3858000000+0j),(-0.4792768955-0.3608535835j),(-0.0009932047687-0.0001049561688j),(-0.0009945424972-0.0001258110424j),(0.0531770736-0.09124537751j)
(3859000000+0j),(-0.5100297332-0.3116524308j),(-0.0009792032652-3.145504888e-05j),(-0.0009903012542-7.013518189e-05j),(0.04775005579-0.08526640767j)
(3860000000+0j),(-0.5368025303-0.2597897637j),(-0.001022189739+8.170072397e-05j),(-0.0009999488248+4.028712647e-05j),(0.04357748479-0.07912610908j)
(3861000000+0j),(-0.5588741899-0.2065410786j),(-0.0009817865212+0.0001924538665j),(-0.0009231254808+5.776996477e-05j),(0.04042962193-0.07264643465j)
(3862000000+0j),(-0.5764448047-0.1513248668j),(-0.0009528379887+0.0002180961601j),(-0.0009027722408+0.000184465287j),(0.03840944171-0.06591116117j)
(3863000000+0j),(-0.5893323421-0.09515380609j),(-0.0008952057688+0.0003486551868j),(-0.000880422187+0.0002740645141j),(0.03781356663-0.059319464j)
(3864000000+0j),(-0.5974910855-0.03758259465j),(-0.0008381763473+0.0003899970034j),(-0.0008939584368+0.0003340014955j),(0.0381700322-0.05290693404j)
(3865000000+0j),(-0.6007627845+0.02039961831j),(-0.000858731044+0.0004937606282j),(-0.0008791622822+0.0004607236187j),(0.0395539403-0.04670026903j)
