Frequency,S33,S32,S23,S22
(3800000000+0j),(-0.5270197392+0.3232369096j),(-8.615063416e-05+0.002582848771j),(-0.0001734546095+0.002581329085j),(-0.02167621441+0.04717801016j)
(3801000000+0j),(-0.5003101826+0.3762562994j),(0.0001459543273+0.002584224334j),(2.981520629e-05+0.00257153064j),(-0.02659891732+0.04913830749j)
(3802000000+0j),(-0.4698165357+0.4260771153j),(0.0002964268497+0.002588190837j),(0.0002031732874+0.002545011928j),(-0.0316734314+0.05204917359j)
(3803000000+0j),(-0.434471637+0.4736529111j),(0.0005117495894+0.002558332402j),(0.0003849936766+0.002574727638j),(-0.03630640358+0.05631093287j)
(3804000000+0j),(-0.394990921+0.5180456458j),(0.0007636176306+0.002500978066j),(0.0005227298243+0.0025642619j),(-0.04038069025+0.06174942352j)
(3805000000+0j),(-0.3511244655+0.5589952657j),(0.0008817010093+0.002453909488j),(0.0007385875797+0.002476695227j),(-0.04392595962+0.068009215j)
(3806000000+0j),(-0.3043522239+0.5960566679j),(0.00109524827+0.002436510753j),(0.0009291204624+0.002504793927j),(-0.04648629948+0.07541772206j)
(3807000000+0j),(-0.2541565299+0.6290516396j),(0.001234466908+0.00238517439j),(0.001155834878+0.002452627989j),(-0.04808561504+0.08365865852j)
(3808000000+0j),(-0.2003305703+0.6575724136j),(0.001419539913+0.002267401898j),(0.001345754252+0.002355700126j),(-0.04820576683+0.09254640816j)
(3809000000+0j),(-0.1446403265+0.6812877027j),(0.001547616674+0.002241028473j),(0.001520396676+0.002219745191j),(-0.04704560339+0.1016449265j)
(3810000000+0j),(-0.08630182594+0.7000088446j),(0.001731752185+0.002020456595j),(0.001725633978+0.002192840213j),(-0.04448282346+0.1111771273j)
(3811000000+0j),(-0.02621368878+0.7138002943j),(0.001842642552+0.002000423381j),(0.001864913153+0.002060648985j),(-0.04051006958+0.1207507747j)
(3812000000+0j),(0.03537497297+0.7221603652j),(0.001980351284+0.001800210332j),(0.001980063505+0.001930441009j),(-0.03548242897+0.1299559638j)
(3813000000+0j),(0.09823359549+0.7246183468j),(0.002237360692+0.001620105701j),(0.002192877466+0.001807618653j),(-0.02913862281+0.1387628765j)
(3814000000+0j),(0.160916239+0.7214453552j),(0.002351699863+0.001470287913j),(0.002330374438+0.001688615652j),(-0.02172616869+0.1472468987j)
(3815000000+0j),(0.2237046659+0.7124482672j),(0.002452311106+0.001379721798j),(0.002485694829+0.001506726141j),(-0.01298726071+0.1551812137j)
(3816000000+0j),(0.2856179476+0.6974559418j),(0.002556850202+0.001228718553j),(0.00256609288+0.001415670966j),(-0.003192829201+0.1623526777j)
(3817000000+0j),(0.3468508422+0.6763368597j),(0.002659250051+0.001012246707j),(0.002736560768+0.001227365457j),(0.007868112996+0.1685993022j)
(3818000000+0j),(0.4059304297+0.6495893416j),(0.00284167449+0.0008327214164j),(0.002854112769+0.00091835903j),(0.02003844641+0.1736736726j)
(3819000000+0j),(0.4621542692+0.6170277433j),(0.002963256091+0.0005748074036j),(0.003023818834+0.0006563807256j),(0.03271171823+0.1776253411j)
(3820000000+0j),(0.5153125525+0.5792943384j),(0.002918808488+0.0003005199542j),(0.00307609234+0.0004729971988j),(0.04610407725+0.1803755877j)
(3821000000+0j),(0.5648701787+0.5362264606j),(0.003009886947+0.0001317814313j),(0.003121063812+0.0002730709966j),(0.05991715565+0.1818259855j)
(3822000000+0j),(0.6103847623+0.4884630195j),(0.003070086706-0.00013847019j),(0.003198542865-5.064388461e-05j),(0.0741943419+0.1817976589j)
(3823000000+0j),(0.6512602568+0.4362922499j),(0.003056948073-0.0004541791859j),(0.003129442921-0.0003096102155j),(0.08901967853+0.1801921422j)
(3824000000+0j),(0.6866622567+0.3803800571j),(0.002994152252-0.0006796530215j),(0.003140793415-0.0005421928945j),(0.1034557894+0.1771471009j)
(3825000000+0j),(0.7167402506+0.3206841454j),(0.002990572248-0.0008935976075j),(0.003122997703-0.00082840299j),(0.1180041358+0.1725811955j)
(3826000000+0j),(0.7406670451+0.2590023555j),(0.002976560034-0.00111445901j),(0.003000508761-0.001123351511j),(0.1321425736+0.1665400543j)
(3827000000+0j),(0.7587524056+0.1948443338j),(0.002893790836-0.001355406712j),(0.002992447466-0.001430026721j),(0.1457281262+0.1590686813j)
(3828000000+0j),(0.7705342174+0.1290897757j),(0.002751497552-0.001640611677j),(0.002867996693-0.001663177158j),(0.1586309522+0.150442084j)
(3829000000+0j),(0.7757425904+0.06304568176j),(0.00261583738-0.001933999592j),(0.002696811687-0.001892811619j),(0.17073901+0.1404833375j)
(3830000000+0j),(0.7746516466-0.003883052931j),(0.002471448388-0.00212604343j),(0.0025214958-0.00216662325j),(0.1820851266+0.1290706419j)
(3831000000+0j),(0.7667884231-0.06986463115j),(0.002275440842-0.002430183114j),(0.002337609185-0.002362639178j),(0.1919648945+0.11700127j)
(3832000000+0j),(0.7528303266-0.1342028606j),(0.002056504367-0.00254373136j),(0.002187414793-0.002543787006j),(0.2011272162+0.1037123498j)
(3833000000+0j),(0.7324850559-0.1970593834j),(0.001842755708-0.002686315449j),(0.001952690072-0.002723026089j),(0.2087003738+0.08953681782j)
(3834000000+0j),(0.706458807-0.2575585416j),(0.001611724379-0.002913930919j),(0.001708905911-0.002936802572j),(0.2150505483+0.07459971357j)
(3835000000+0j),(0.6749102473-0.3148507023j),(0.001357506728-0.002991783665j),(0.001467407681-0.003040801734j),(0.2199127674+0.05929047166j)
(3836000000+0j),(0.6381402016-0.3680149597j),(0.001145348302-0.00315611437j),(0.001198521117-0.003141822526j),(0.2234465927+0.04346171643j)
(3837000000+0j),(0.596914947-0.4169789057j),(0.0008040407556-0.003145704279j),(0.0009388361359-0.003180682892j),(0.2253132612+0.02721041406j)
(3838000000+0j),(0.5511726737-0.4621871301j),(0.0005519617698-0.003256942378j),(0.0006577732274-0.003337016096j),(0.2256296724+0.0105822615j)
(3839000000+0j),(0.5018174052-0.5024626872j),(0.0004064569657-0.003367286175j),(0.00037107768-0.00335492217j),(0.2240096331-0.00564199728j)
(3840000000+0j),(0.4496348202-0.5373514177j),(2.579205284e-05-0.003354218788j),(0.0001596501097-0.003331400687j),(0.220677644-0.02166803432j)
(3841000000+0j),(0.3948672116-0.5670198308j),(-0.0002354352182-0.003297587624j),(-0.0001931746228-0.003422298003j),(0.215635702-0.03702457243j)
(3842000000+0j),(0.3380124271-0.5914129614j),(-0.0004229136393-0.003342850134j),(-0.0004221118288-0.003332947148j),(0.2091278881-0.05117985013j)
(3843000000+0j),(0.279104054-0.6107760097j),(-0.0006844268646-0.003317632014j),(-0.0006920009619-0.003387442324j),(0.2015712559-0.06474656953j)
(3844000000+0j),(0.2196517885-0.624431673j),(-0.0009459478315-0.003288735403j),(-0.0008539568516-0.003243237734j),(0.1926650405-0.07735907944j)
(3845000000+0j),(0.1594990045-0.6325322328j),(-0.001230699709-0.00318831834j),(-0.00112703105-0.003303168807j),(0.1825506091-0.08863796187j)
(3846000000+0j),(0.09963606298-0.6352055676j),(-0.001541154692-0.003136326326j),(-0.001466466929-0.003129559103j),(0.1713837385-0.09860638787j)
(3847000000+0j),(0.0397236757-0.6326409058j),(-0.001747107366-0.003089422593j),(-0.001708031748-0.003111530794j),(0.1595776677-0.107090709j)
(3848000000+0j),(-0.01906140149-0.6248389375j),(-0.002051250543-0.002895471174j),(-0.00197178009-0.002951950766j),(0.1469079107-0.1140939563j)
(3849000000+0j),(-0.07601831108-0.6120927317j),(-0.002297831932-0.002734084148j),(-0.002232125029-0.00277805631j),(0.1339605302-0.1193656347j)
(3850000000+0j),(-0.1318755001-0.5944468748j),(-0.002518626861-0.002608995652j),(-0.002494131681-0.002611713018j),(0.1206042543-0.1228964069j)
(3851000000+0j),(-0.1854106784-0.5723486781j),(-0.002873960417-0.002327746479j),(-0.002739677671-0.002414033283j),(0.1074338183-0.1245123745j)
(3852000000+0j),(-0.2366747707-0.5458420806j),(-0.00303992792-0.002124677878j),(-0.002927449299-0.002249153797j),(0.09457334131-0.1245082257j)
