Frequency,S33,S32,S23,S22
(3800000000+0j),(-0.215445444+0.7199292373j),(-0.003148265881-0.001682642731j),(-0.003145643743-0.001892457716j),(-0.08945513517+0.004236800554j)
(3801000000+0j),(-0.158237353+0.7414399952j),(-0.003231446724-0.001390391844j),(-0.003209355986-0.001562726684j),(-0.100369148+0.01664790435j)
(3802000000+0j),(-0.1008076221+0.7578509954j),(-0.003252631519-0.00106131169j),(-0.00327359885-0.001298591495j),(-0.1096486896+0.03075108143j)
(3803000000+0j),(-0.04325235263+0.7695289831j),(-0.003254268784-0.0008912371704j),(-0.003319369396-0.00099966384j),(-0.1171267107+0.04633210521j)
(3804000000+0j),(0.01387420949+0.776368217j),(-0.003238911973-0.0005602280144j),(-0.003373597981-0.0006928777439j),(-0.12246719+0.06322396215j)
(3805000000+0j),(0.07050356269+0.7784571055j),(-0.003329829313-0.0002560803259j),(-0.003391858889-0.0004208400787j),(-0.125629738+0.08127409885j)
(3806000000+0j),(0.1260158271+0.7765981509j),(-0.003256460885-2.347719828e-06j),(-0.003324054647-0.0001460440981j),(-0.1262040734+0.09986025841j)
(3807000000+0j),(0.1807958484+0.7701372058j),(-0.003251703456+0.0002073834476j),(-0.00332007627+3.502359323e-05j),(-0.1243906319+0.1187832059j)
(3808000000+0j),(0.2342245877+0.7599927318j),(-0.003160311375+0.0004117099161j),(-0.003267499385+0.0003007382329j),(-0.1200206056+0.1378764463j)
(3809000000+0j),(0.2857505679+0.746151547j),(-0.003068741178+0.0006641297368j),(-0.003209010465+0.0005130493664j),(-0.1136036217+0.1566112203j)
(3810000000+0j),(0.3361148536+0.72860483j),(-0.003027601168+0.0008892968181j),(-0.003135092091+0.0007478433545j),(-0.1047257707+0.1750196804j)
(3811000000+0j),(0.3848119974+0.7079051939j),(-0.002930541057+0.001078926609j),(-0.003000686411+0.0009559119353j),(-0.09339927137+0.1927114915j)
(3812000000+0j),(0.431630075+0.684143622j),(-0.002832009457+0.00127974886j),(-0.002959996229+0.001193447388j),(-0.08004061133+0.2094689594j)
(3813000000+0j),(0.4766614437+0.6564534433j),(-0.002655284712+0.001444632653j),(-0.002900035586+0.001326680067j),(-0.06431031972+0.2249917595j)
(3814000000+0j),(0.5191821456+0.6262455279j),(-0.002555544255+0.001669155667j),(-0.002766032238+0.001519893063j),(-0.04665985331+0.2390293379j)
(3815000000+0j),(0.559561193+0.5931546491j),(-0.002470172243+0.001817683107j),(-0.002630139701+0.001751210075j),(-0.02683212608+0.2512351468j)
(3816000000+0j),(0.5973690748+0.5570810308j),(-0.002330674091+0.002052819123j),(-0.002534222323+0.001987142023j),(-0.005400047172+0.2611160258j)
(3817000000+0j),(0.6330462694+0.5181682503j),(-0.002260831418+0.002165920334j),(-0.002396651544+0.002141778124j),(0.01748687774+0.2688705108j)
(3818000000+0j),(0.6652984619+0.4766900073j),(-0.002108543413+0.002262946451j),(-0.002210149076+0.002261687536j),(0.04171179608+0.2739516378j)
(3819000000+0j),(0.6952449083+0.4327476409j),(-0.001940801507+0.002498063724j),(-0.002026586793+0.002476004418j),(0.06628168374+0.276506373j)
(3820000000+0j),(0.7213819027+0.3866568646j),(-0.001739548403+0.002593838377j),(-0.001908826875+0.00259639509j),(0.09174265712+0.2762493216j)
(3821000000+0j),(0.7446887493+0.3383903964j),(-0.001530402224+0.002725210972j),(-0.001639509457+0.002799713053j),(0.1171863824+0.2731128364j)
(3822000000+0j),(0.7644283175+0.288290764j),(-0.001393203973+0.002898276085j),(-0.001514785807+0.002963003237j),(0.1425819844+0.2672596133j)
(3823000000+0j),(0.7808166146+0.2356336189j),(-0.001199939055+0.00304740062j),(-0.001290931017+0.003082631389j),(0.1673544496+0.2586736208j)
(3824000000+0j),(0.7934880853+0.1815827816j),(-0.0009977638256+0.003206784138j),(-0.001073771273+0.003200466279j),(0.1914564818+0.2473271239j)
(3825000000+0j),(0.8017755747+0.1263724329j),(-0.0007185870199+0.003257632721j),(-0.0008089902112+0.003322714241j),(0.2145251483+0.2333180627j)
(3826000000+0j),(0.806009829+0.06936363709j),(-0.0004794406705+0.003340596333j),(-0.000556406856+0.003409606405j),(0.2361246794+0.216588606j)
(3827000000+0j),(0.8060054183+0.01158796025j),(-0.0002140254655+0.003384919139j),(-0.0003302783298+0.003496506019j),(0.2557398379+0.1978576857j)
(3828000000+0j),(0.8010886312-0.04674880009j),(7.147644646e-05+0.00350217917j),(-8.561758295e-05+0.003546073334j),(0.2734086812+0.1771731313j)
(3829000000+0j),(0.7916253209-0.1058443621j),(0.0002725068771+0.003483183216j),(0.0002589459182+0.003584439401j),(0.288926512+0.1544560402j)
(3830000000+0j),(0.7770411372-0.1652501926j),(0.0006026876508+0.003482066561j),(0.0005502175773+0.003670084057j),(0.301972717+0.1299327468j)
(3831000000+0j),(0.7568672299-0.2242612622j),(0.0009742199909+0.003508612514j),(0.000902934582+0.003603869351j),(0.3123602867+0.1042618034j)
(3832000000+0j),(0.7316254973-0.2820114241j),(0.001259384677+0.003493190743j),(0.001173798926+0.003559113713j),(0.3199569285+0.07741911183j)
(3833000000+0j),(0.700653553-0.3387499443j),(0.001563090831+0.003462149762j),(0.001490812632+0.00354359718j),(0.3242877722+0.04995320947j)
(3834000000+0j),(0.6641281247-0.3931149618j),(0.001932548825+0.003350560553j),(0.001813139883+0.003410732606j),(0.3258386254+0.02221867713j)
(3835000000+0j),(0.6218047142-0.4453550291j),(0.002176613314+0.003271375783j),(0.002104718704+0.003349867649j),(0.3242338598-0.005398090816j)
(3836000000+0j),(0.5739195943-0.4946223353j),(0.00252404972+0.003044338897j),(0.002520293929+0.00315924501j),(0.3196385205-0.03261508893j)
(3837000000+0j),(0.5202860832-0.5398595464j),(0.002799414098+0.002881315537j),(0.002759262687+0.002874031896j),(0.3120732903-0.05902825549j)
(3838000000+0j),(0.4618408978-0.5804318145j),(0.003121130867+0.002656104043j),(0.0030317856+0.002742529381j),(0.3016643524-0.08421939485j)
(3839000000+0j),(0.3982612491-0.6156222659j),(0.003458116669+0.002329231007j),(0.003359381808+0.002402681625j),(0.2885420024-0.1077255432j)
(3840000000+0j),(0.3300909996-0.6450115345j),(0.00376732857+0.002105665393j),(0.003641050309+0.002242548624j),(0.2729644179-0.1296098787j)
(3841000000+0j),(0.2578088641-0.6677399555j),(0.003850189736+0.001722950488j),(0.003875452327+0.001819997095j),(0.2551187873-0.1488683197j)
(3842000000+0j),(0.1829738766-0.6827537366j),(0.004173824564+0.001350140432j),(0.004092960153+0.001556490664j),(0.235544309-0.1660266069j)
(3843000000+0j),(0.1052247286-0.6903085689j),(0.004311435856+0.0009909175569j),(0.004282183014+0.001143126865j),(0.2145546377-0.1806405772j)
(3844000000+0j),(0.02604667284-0.6893206743j),(0.004480127245+0.0005918499664j),(0.004370947834+0.0006547583616j),(0.1924842298-0.1920313423j)
(3845000000+0j),(-0.05383930728-0.6797438831j),(0.004591360223+0.0001044204691j),(0.004526918754+0.0002385526022j),(0.1694601029-0.2011121836j)
(3846000000+0j),(-0.1321289539-0.6610966643j),(0.00458552409-0.0004048261908j),(0.004559395835-0.0001406409137j),(0.1461144239-0.2071237444j)
(3847000000+0j),(-0.2092501223-0.6335869174j),(0.004584394395-0.000825828407j),(0.004565359093-0.0006285109557j),(0.1225892305-0.2102317503j)
(3848000000+0j),(-0.2827965021-0.5977270662j),(0.004515985958-0.001375612221j),(0.00447933469-0.001113275066j),(0.09927112609-0.2104841079j)
(3849000000+0j),(-0.3521324992-0.5535236886j),(0.004350414965-0.001722268178j),(0.00437418744-0.001532619237j),(0.07656680793-0.2079875775j)
(3850000000+0j),(-0.4165202975-0.5013508536j),(0.004170595203-0.002202644944j),(0.004251228645-0.001990830526j),(0.05466934294-0.2027245796j)
(3851000000+0j),(-0.4744755626-0.4424330125j),(0.003960972652-0.002648127964j),(0.004045969341-0.002481894335j),(0.03409511223-0.194824901j)
(3852000000+0j),(-0.5252862573-0.3774553269j),(0.003633731976-0.003097218694j),(0.003730765311-0.002822233364j),(0.01502151974-0.1843724826j)
(3853000000+0j),(-0.5678964257-0.3079428461j),(0.003171643242-0.003409187775j),(0.003403988667-0.003195222933j),(-0.002007118892-0.17189847j)
(3854000000+0j),(-0.6025764346-0.2346595467j),(0.002884179354-0.003728999058j),(0.00310570281-0.003476018552j),(-0.01674099453-0.1574679798j)
(3855000000+0j),(-0.6285405159-0.1585503485j),(0.00242948439-0.003958737012j),(0.002682382939-0.00381798204j),(-0.02909634076-0.1416104183j)
