Frequency,S33,S32,S23,S22
(3800000000+0j),(-0.6685495377+0.3046393374j),(5.209967185e-06-0.0008538591792j),(-2.455503272e-05-0.0009037142736j),(-0.03266501427+0.06365139062j)
(3801000000+0j),(-0.6370817423+0.3669196462j),(-0.0001150105527-0.0008805280086j),(-0.0001544387051-0.0008510475745j),(-0.03590170667+0.06747700215j)
(3802000000+0j),(-0.6011703014+0.4249738015j),(-0.0002063555876-0.0009182761423j),(-0.0001859113399-0.0008806086844j),(-0.0385786593+0.07233993044j)
(3803000000+0j),(-0.5602273941+0.4796272413j),(-0.0002528101613-0.0009180080378j),(-0.0002136775292-0.0008285537479j),(-0.04078033566+0.07795795691j)
(3804000000+0j),(-0.5136152506+0.5306286464j),(-0.000369602727-0.0007847351371j),(-0.0002838957007-0.0008021155954j),(-0.04211900383+0.08444561056j)
(3805000000+0j),(-0.4634373784+0.576693348j),(-0.0004369081871-0.0007848758833j),(-0.0004054912715-0.0007053312147j),(-0.04268017411+0.09141740131j)
(3806000000+0j),(-0.4095909297+0.6177119959j),(-0.0004402273044-0.000735615904j),(-0.0004432497662-0.0006663799286j),(-0.04215475172+0.09898176164j)
(3807000000+0j),(-0.3517182469+0.6540190788j),(-0.0005613442627-0.0007471462595j),(-0.0004679974809-0.0007268063491j),(-0.04069044441+0.1068470756j)
(3808000000+0j),(-0.2916991413+0.6848305366j),(-0.0005555553362-0.000683473947j),(-0.0005715207662-0.0006408845657j),(-0.03801590577+0.1150830544j)
(3809000000+0j),(-0.2287525237+0.7101515266j),(-0.0006744543207-0.0006202602526j),(-0.0006205617683-0.0005949944025j),(-0.03423886374+0.1231978883j)
(3810000000+0j),(-0.1642986834+0.7295375825j),(-0.0007175830542-0.000591998687j),(-0.0006413861993-0.0005349729327j),(-0.02939993888+0.1311926688j)
(3811000000+0j),(-0.09803150594+0.7435104091j),(-0.0008308503311-0.0005102172727j),(-0.0007198766107-0.0004407016677j),(-0.02355159074+0.1393107104j)
(3812000000+0j),(-0.0317469202+0.7515567577j),(-0.0007678463007-0.0003742910048j),(-0.0007152208127-0.0003951929393j),(-0.01654365472+0.1470814359j)
(3813000000+0j),(0.03590152413+0.7536585751j),(-0.0007931233267-0.0003380205308j),(-0.0007704292657-0.0003584585502j),(-0.008146612905+0.154538231j)
(3814000000+0j),(0.1034091637+0.7495533382j),(-0.0008147070184-0.0002579641005j),(-0.0008188232896-0.0003692553437j),(0.001301962649+0.1611684027j)
(3815000000+0j),(0.1699755788+0.7397017906j),(-0.0008403412648-0.0002191449603j),(-0.000831010926-0.0002835596097j),(0.01192070823+0.1668998596j)
(3816000000+0j),(0.235988766+0.7238384402j),(-0.0008507526363-0.0001211955023j),(-0.0008611165104-0.000169202307j),(0.02350195497+0.171440991j)
(3817000000+0j),(0.3002617359+0.7019389244j),(-0.0008921203553-6.40082435e-05j),(-0.0008251208928-7.198682579e-05j),(0.03560289368+0.1748347304j)
(3818000000+0j),(0.3620951772+0.6745003305j),(-0.0008381868247+8.387787238e-05j),(-0.0008853956824-5.403474643e-05j),(0.04844835773+0.1771075011j)
(3819000000+0j),(0.421220541+0.6419110664j),(-0.0008881722461+0.0001014284207j),(-0.0008232764085+2.574629616e-05j),(0.06179282069+0.1780293636j)
(3820000000+0j),(0.4774828553+0.6037612445j),(-0.0008309612749+0.0001384450297j),(-0.0008685716311+0.0001204876316j),(0.07531853765+0.1777615794j)
(3821000000+0j),(0.5299757123+0.5607686967j),(-0.0008131507202+0.0002302482753j),(-0.000812437851+0.0001853479334j),(0.08926288038+0.17605253j)
(3822000000+0j),(0.5788479447+0.5132007892j),(-0.0007560586091+0.0002676740987j),(-0.0007945729303+0.000206950368j),(0.1029619128+0.1729271951j)
(3823000000+0j),(0.6232855916+0.4612515074j),(-0.000819330744+0.0003003524034j),(-0.0008379240753+0.0003217335034j),(0.1164756566+0.1683753951j)
(3824000000+0j),(0.6628841162+0.4054623613j),(-0.000772850588+0.0003766163136j),(-0.0007896084571+0.0004255539388j),(0.1297257245+0.1624923612j)
(3825000000+0j),(0.6970586181+0.3461889212j),(-0.0007955639157+0.0004865660449j),(-0.0007869068068+0.0004906122922j),(0.1426647753+0.155218201j)
(3826000000+0j),(0.7258371711+0.2845319527j),(-0.0007273818483+0.0005273692077j),(-0.0006787725142+0.0004842828203j),(0.1547508538+0.14668094j)
(3827000000+0j),(0.74927634+0.2199281147j),(-0.0006812336505+0.0005449997843j),(-0.0006014959072+0.0005748810363j),(0.1662706584+0.1373113361j)
(3828000000+0j),(0.7669671774+0.1532526661j),(-0.0005383706302+0.0006094483542j),(-0.0005566914915+0.000688339991j),(0.1766088754+0.1268210922j)
(3829000000+0j),(0.7785148621+0.08515009869j),(-0.0005043534911+0.0006676556659j),(-0.0005849095178+0.0007311479421j),(0.1861492693+0.1151275608j)
(3830000000+0j),(0.7839214206+0.01630216845j),(-0.0004888449912+0.0007802239852j),(-0.0004848604731+0.0007600813406j),(0.194465667+0.1028026494j)
(3831000000+0j),(0.7829387188-0.05245798526j),(-0.0004687069741+0.0008113105432j),(-0.0004290399665+0.0007780179731j),(0.2017115355+0.08992556487j)
(3832000000+0j),(0.7755230665-0.121739105j),(-0.0003304327547+0.0008041416295j),(-0.0003546104126+0.0008314502775j),(0.2081002742+0.07607928148j)
