Frequency,S33,S32,S23,S22
(3800000000+0j),(-0.1422994137+0.6912266517j),(0.002650737064+0.003625048092j),(0.002448013984+0.003725063754j),(0.05697946623+0.08397713186j)
(3801000000+0j),(-0.0861428529+0.7077676914j),(0.002871047938+0.003335233778j),(0.002777866088+0.003479607869j),(0.05540730804+0.07739645177j)
(3802000000+0j),(-0.03043515235+0.7194948465j),(0.003115058411+0.003134143539j),(0.002945876913+0.003236118471j),(0.05290996656+0.07187551834j)
(3803000000+0j),(0.02559963055+0.7260364118j),(0.003363520605+0.002734168433j),(0.003175119869+0.002945477376j),(0.04983205721+0.06737665097j)
(3804000000+0j),(0.08075901121+0.7282749906j),(0.003535421798+0.002468558727j),(0.003495635698+0.002668825211j),(0.04662889615+0.06388384982j)
(3805000000+0j),(0.1346936077+0.7261789444j),(0.003728132462+0.002137633739j),(0.003655582666+0.002355021425j),(0.04302359745+0.06125892901j)
(3806000000+0j),(0.1881228089+0.7196966718j),(0.00385778863+0.001798709854j),(0.003828949295+0.002028961433j),(0.03933849931+0.0594378201j)
(3807000000+0j),(0.2396256924+0.7094400209j),(0.003878037212+0.001575867296j),(0.003922917414+0.001632023719j),(0.03569262847+0.05859832226j)
(3808000000+0j),(0.2900802195+0.6952655942j),(0.004074662924+0.001040686388j),(0.004065793008+0.001411760692j),(0.03193199262+0.05841872636j)
(3809000000+0j),(0.3391083777+0.6772413384j),(0.004118932877+0.0007532272139j),(0.004161278717+0.001032797154j),(0.02810120583+0.05943580781j)
(3810000000+0j),(0.3858811259+0.6559650216j),(0.004173380323+0.0003710341407j),(0.004169189371+0.000657237717j),(0.02459537424+0.0616459912j)
(3811000000+0j),(0.4309907556+0.6319222871j),(0.004100254737+0.0002476624213j),(0.004168687854+0.0003022067249j),(0.02164653316+0.06480745269j)
(3812000000+0j),(0.4733966291+0.6043604626j),(0.004126491956-0.0001124828705j),(0.004269421101+3.302364348e-05j),(0.01934374869+0.06901068481j)
(3813000000+0j),(0.5134949684+0.5744279627j),(0.004122052342-0.0004538976937j),(0.004190395586-0.0003284534905j),(0.01827238873+0.07416750687j)
(3814000000+0j),(0.5516837835+0.5413193494j),(0.004053649493-0.0007319169235j),(0.00412434293-0.0006731864996j),(0.01832867041+0.07970830008j)
(3815000000+0j),(0.5872589946+0.5053833529j),(0.004025473725-0.001093255822j),(0.004091421608-0.001033083885j),(0.01953720301+0.0851421233j)
(3816000000+0j),(0.6199780703+0.4670095919j),(0.003952363972-0.001385097159j),(0.003937253263-0.001307528582j),(0.02180686034+0.09069252777j)
(3817000000+0j),(0.6499814391+0.4262120293j),(0.003733258229-0.001690368634j),(0.003954355139-0.001578804455j),(0.02501028217+0.09644844787j)
(3818000000+0j),(0.6770390868+0.3834437626j),(0.003659411101-0.002004593145j),(0.003794276388-0.001985979499j),(0.02933332697+0.1017729082j)
(3819000000+0j),(0.7002999783+0.338941034j),(0.003461683867-0.002289133845j),(0.00361800869-0.002205667784j),(0.03474444523+0.1068093759j)
(3820000000+0j),(0.7206330299+0.2923322443j),(0.003281230107-0.002563520102j),(0.003454344347-0.0025785584j),(0.04106160253+0.1112763265j)
(3821000000+0j),(0.7377792597+0.2438179612j),(0.003080087015-0.002835925901j),(0.003210259369-0.002879990265j),(0.04784573615+0.1152276545j)
(3822000000+0j),(0.7511863112+0.1940612182j),(0.002821371425-0.0030492472j),(0.003050255589-0.003104417585j),(0.0554487519+0.1185616337j)
(3823000000+0j),(0.7609254718+0.143075099j),(0.002602781868-0.003298594849j),(0.002733582398-0.003303556237j),(0.06382471323+0.1214126592j)
(3824000000+0j),(0.7666848898+0.09063015388j),(0.002337357961-0.003535950324j),(0.002401503501-0.003569121938j),(0.07310243696+0.1235756486j)
(3825000000+0j),(0.7688905597+0.03776550797j),(0.002036875347-0.003748416435j),(0.002103566425-0.003737191204j),(0.08326020837+0.124526105j)
(3826000000+0j),(0.7666888833-0.01649830152j),(0.001725622336-0.003901915159j),(0.001837094431-0.003988156561j),(0.09377855808+0.1243717719j)
(3827000000+0j),(0.7602241039-0.07059455433j),(0.001385769458-0.004052914213j),(0.001482313499-0.004139773082j),(0.1045556664+0.1233416799j)
(3828000000+0j),(0.7496820688-0.1248773818j),(0.001013067551-0.004174139351j),(0.001070116879-0.004262190778j),(0.1157948226+0.1209266426j)
(3829000000+0j),(0.7342415452-0.1790797093j),(0.0007396740257-0.004268509801j),(0.0007665075827-0.004332341719j),(0.1269916892+0.1171383188j)
(3830000000+0j),(0.7142829299-0.2325918588j),(0.0004109122092-0.004432592075j),(0.0004833682906-0.004437918309j),(0.1381194144+0.1119598227j)
(3831000000+0j),(0.6895842552-0.2842429565j),(4.319101936e-05-0.004455676768j),(0.0001033909211-0.004447906744j),(0.1489489973+0.1053285232j)
(3832000000+0j),(0.6598274708-0.3354254674j),(-0.0003784036962-0.004401005805j),(-0.0002431083703-0.004466060549j),(0.1589112282+0.09731864447j)
(3833000000+0j),(0.6253342628-0.3841425566j),(-0.0007584497798-0.004491037689j),(-0.0006806139718-0.004482998513j),(0.167751044+0.08854992511j)
