Frequency,Complex S33,Complex S32,Complex S23,Complex S22
(3800000000+0j),(-0.1867651343+0.6700486005j),(-9.05493107e-06-0.0002509483311j),(-7.334703696e-05-0.0004779062001j),(0.03295522556+0.07303154079j)
(3801000000+0j),(-0.1349641085+0.6895968075j),(-2.502701136e-06-0.0002878479718j),(-0.0001238894911-0.0004123501421j),(0.03151777014+0.06790948913j)
(3802000000+0j),(-0.08257745951+0.7046462024j),(4.8093857e-06-0.0003189302515j),(-9.978628805e-05-0.0004541662638j),(0.02926603891+0.06360171831j)
(3803000000+0j),(-0.03003565036+0.7154426866j),(-2.039195351e-05-0.0003347072343j),(-0.0001395446598-0.0003879413707j),(0.02640804648+0.06022060456j)
(3804000000+0j),(0.02190186456+0.7215685211j),(2.981578064e-06-0.000328238064j),(-0.0001515399053-0.0003762107517j),(0.02320511639+0.05792085959j)
(3805000000+0j),(0.07416169345+0.7240920527j),(-8.815988258e-05-0.0003149435215j),(-0.000179902665-0.000380818703j),(0.01998416707+0.0565366566j)
(3806000000+0j),(0.125026837+0.7219260426j),(-9.081376629e-05-0.0002783107338j),(-0.0002477106464-0.000396928488j),(0.01670991443+0.05599059357j)
(3807000000+0j),(0.1757014692+0.7161056068j),(-0.0001181092885-0.0003515812568j),(-0.0002394188341-0.0003871093795j),(0.01347000618+0.0563754746j)
(3808000000+0j),(0.2245111465+0.7071262842j),(-0.0001591329055-0.0003112734703j),(-0.0003152802237-0.0003588128893j),(0.01051135361+0.05755643188j)
(3809000000+0j),(0.2724735439+0.6941770342j),(-0.0001674986415-0.0003148730611j),(-0.0003201562795-0.0004172391491j),(0.00795005355+0.05939598623j)
(3810000000+0j),(0.3186537921+0.6780564041j),(-0.0001956879278-0.0003302575788j),(-0.0003582520585-0.0002859355882j),(0.005808012094+0.06190555329j)
(3811000000+0j),(0.3634621203+0.6590000454j),(-0.0003026046325-0.0002420461096j),(-0.0003379919508-0.0002761751239j),(0.003870054148+0.06507523411j)
(3812000000+0j),(0.4066637456+0.6367426961j),(-0.00028624275-0.0002920700936j),(-0.0003739300882-0.0002325622918j),(0.00258562644+0.06896803471j)
(3813000000+0j),(0.4477499723+0.6118047551j),(-0.0003035635455-0.0003314541245j),(-0.0004044682137-0.0002634792181j),(0.001892010681+0.07329794976j)
(3814000000+0j),(0.4871339202+0.5840012474j),(-0.0003473640827-0.0002487873426j),(-0.0004254940432-0.000203677293j),(0.002116987249+0.07802409577j)
(3815000000+0j),(0.523933351+0.5536270132j),(-0.0003297216608-0.0001452461729j),(-0.0004850834666-0.000145697195j),(0.002803202486+0.08316282224j)
(3816000000+0j),(0.5590140224+0.5198213128j),(-0.0003774132638-0.0002076609235j),(-0.0004917712649-0.0001400848269j),(0.004559065215+0.08854735951j)
(3817000000+0j),(0.5913850665+0.4838850202j),(-0.0003586350649-0.0001446349779j),(-0.000532467966-4.546946002e-05j),(0.007073467132+0.09411304454j)
(3818000000+0j),(0.6209662557+0.4460488381j),(-0.0003738804953-0.0001466920367j),(-0.0005288407556-4.506311961e-05j),(0.01056318916+0.09974349226j)
(3819000000+0j),(0.6481893063+0.40543441j),(-0.0004366889189-7.890205598e-05j),(-0.0005356664187+9.061732999e-05j),(0.01507368498+0.1051525913j)
(3820000000+0j),(0.6721186042+0.3632850839j),(-0.000456458336-7.299759454e-05j),(-0.0005008192966+8.598106797e-05j),(0.02054916136+0.1103475266j)
(3821000000+0j),(0.6933727264+0.3187349009j),(-0.0004147202999-1.860001612e-05j),(-0.0005574183888+0.000152363762j),(0.02689196356+0.1151312173j)
(3822000000+0j),(0.7110590339+0.2731808425j),(-0.0004832521954+5.941361087e-05j),(-0.0005530228373+0.0001740123407j),(0.03431073949+0.1193849797j)
(3823000000+0j),(0.725648582+0.225426134j),(-0.0004378414887+0.0001256264804j),(-0.0005044139689+0.0002423428523j),(0.04249151796+0.122832411j)
(3824000000+0j),(0.7366762757+0.1762499052j),(-0.0004172680492+0.0001812327828j),(-0.0004610627948+0.0002404742554j),(0.05147883296+0.1255670193j)
(3825000000+0j),(0.744145155+0.1257835931j),(-0.0004306235351+0.0001265184983j),(-0.0004867626703+0.0003247780842j),(0.06115908921+0.1273494537j)
(3826000000+0j),(0.747705996+0.07426717623j),(-0.0004692958901+0.0002388032881j),(-0.0004617717641+0.0003678088251j),(0.07135415822+0.127879108j)
(3827000000+0j),(0.7475463152+0.02220766855j),(-0.0003941756149+0.0003174048616j),(-0.0003926547943+0.0003836247488j),(0.08169722557+0.1273885387j)
(3828000000+0j),(0.7431172729-0.03059454133j),(-0.0003703746188+0.000330053881j),(-0.0003937573929+0.000516052125j),(0.09223051369+0.1256764468j)
(3829000000+0j),(0.7344055176-0.08352523902j),(-0.0003159180051+0.000448825187j),(-0.0002883695997+0.0004825886863j),(0.1025432274+0.1229270598j)
(3830000000+0j),(0.7214047909-0.136578651j),(-0.0003477631835+0.0004755402624j),(-0.000231801474+0.000466931524j),(0.1127112284+0.1191208353j)
(3831000000+0j),(0.7036486268-0.1890051741j),(-0.0001587268926+0.000486640638j),(-0.0001744690962+0.0005694969441j),(0.122773461+0.1143731899j)
(3832000000+0j),(0.6812303066-0.2405449504j),(-0.0001979355729+0.000447254366j),(-8.456812066e-05+0.0005968757323j),(0.1324788928+0.1086278776j)
(3833000000+0j),(0.6539834142-0.2907451871j),(-0.0001510197762+0.0005253367708j),(-2.474212488e-05+0.0005913505447j),(0.1418618262+0.1017892811j)
(3834000000+0j),(0.6219651103-0.3395427188j),(-2.503629548e-05+0.0005573639646j),(5.340894495e-05+0.0006252298481j),(0.1506831795+0.09399816668j)
(3835000000+0j),(0.5851068497-0.3861778513j),(4.75158522e-05+0.0005697477609j),(4.518582136e-05+0.0005864458508j),(0.1586444378+0.08518639251j)
(3836000000+0j),(0.5437965989-0.4293072921j),(8.499043906e-05+0.0004903507652j),(0.0001030677668+0.0005758340121j),(0.1659205109+0.07575948893j)
(3837000000+0j),(0.4976593256-0.4695648346j),(0.0001223355503+0.0004835069703j),(0.0001612966007+0.0005607517087j),(0.1723572016+0.06543850833j)
(3838000000+0j),(0.4468104243-0.506652898j),(0.0002070502524+0.000524488627j),(0.0002699642209+0.0005008630105j),(0.1779207587+0.05460273173j)
(3839000000+0j),(0.392221272-0.5386001786j),(0.000244902767+0.000414406124j),(0.0002969782217+0.0005092872889j),(0.1824787706+0.04317978626j)
(3840000000+0j),(0.3335531056-0.5659124834j),(0.0003519395832+0.0004778056755j),(0.0003937016882+0.0004470774147j),(0.186130181+0.03111002839j)
(3841000000+0j),(0.2716033161-0.5875091593j),(0.0003549433895+0.000374400639j),(0.0003719293745+0.0004732588714j),(0.1885924935+0.01861383805j)
(3842000000+0j),(0.2070830017-0.603015693j),(0.0005027758889+0.0003659023205j),(0.0004702835577+0.000432776782j),(0.189790979+0.005838767735j)
(3843000000+0j),(0.1400859505-0.6123451057j),(0.0004411179398+0.000267858064j),(0.0005292494316+0.0003175973834j),(0.1896956563-0.006954922941j)
(3844000000+0j),(0.071955733-0.614763191j),(0.0004264436429+0.000185779194j),(0.0005973320804+0.0002714570146j),(0.1882847995-0.01965933809j)
(3845000000+0j),(0.002947616391-0.6100571226j),(0.0005164601025+0.0001449868869j),(0.0005555948592+0.0002050139155j),(0.1855656952-0.032276712j)
(3846000000+0j),(-0.06586021185-0.5979779097j),(0.000496408029+6.814939115e-05j),(0.0005939718103+8.167032502e-05j),(0.1816314757-0.04444337594j)
(3847000000+0j),(-0.1335494965-0.578638445j),(0.0004870495468-2.964533633e-05j),(0.0005946357269+2.123844934e-05j),(0.1764925569-0.05591448027j)
(3848000000+0j),(-0.1992188543-0.5521459276j),(0.0004330037336-6.893680256e-05j),(0.0006165212253-3.808656038e-05j),(0.170234412-0.06701705184j)
(3849000000+0j),(-0.2622642815-0.5180511224j),(0.0005388467107-0.000112327747j),(0.0006067387294-6.9051639e-05j),(0.1628594846-0.07722273539j)
(3850000000+0j),(-0.3212047219-0.4777443339j),(0.0004092404561-0.0001467036927j),(0.0005285432562-0.0001505336986j),(0.1544029713-0.08648535329j)
(3851000000+0j),(-0.3755280972-0.431185727j),(0.0004046949616-0.0002033095079j),(0.0005424680421-0.0001941419177j),(0.1449726969-0.09439056926j)
(3852000000+0j),(-0.4246971607-0.3786613078j),(0.0003409919445-0.0002695358999j),(0.0004810504033-0.0002612720127j),(0.1350146532-0.1011538977j)
(3853000000+0j),(-0.4676264822-0.3218302176j),(0.0002786265686-0.0002653534175j),(0.0003585441154-0.0003041250166j),(0.1244983748-0.1065124663j)
(3854000000+0j),(-0.5040961504-0.2610711526j),(0.0001271054498-0.0002844139817j),(0.0003910043451-0.0002889049938j),(0.1138242707-0.1106515586j)
(3855000000+0j),(-0.5338586569-0.1970766675j),(0.0001692969527-0.0002861417306j),(0.0002872147306-0.0003332957276j),(0.102843523-0.1132513651j)
