Frequency,S33,S32,S23,S22
(3842000000+0j),(0.2518231869-0.6832886686j),(-0.004043361638-0.0037013744j),(-0.003920389339-0.003843469778j),(0.2372093499-0.05799823515j)
(3843000000+0j),(0.1794140935-0.6984875956j),(-0.004348999821-0.003315059468j),(-0.004199215677-0.003477058373j),(0.2298116982-0.07436203301j)
(3844000000+0j),(0.105078049-0.705878821j),(-0.004715854768-0.003029678017j),(-0.004587490577-0.003077392699j),(0.2209091038-0.08949482063j)
(3845000000+0j),(0.02946436033-0.7058080419j),(-0.005092933308-0.002458300209j),(-0.004895736929-0.002698354656j),(0.2106899321-0.1035476393j)
(3846000000+0j),(-0.04671117663-0.6975922985j),(-0.005334557034-0.002083548112j),(-0.005177036393-0.00219763699j),(0.1991770267-0.1165296198j)
(3847000000+0j),(-0.1225531027-0.6814282228j),(-0.005482306238-0.001556438976j),(-0.005423051305-0.001734600053j),(0.1864537746-0.1278690466j)
(3848000000+0j),(-0.1973543912-0.6567896623j),(-0.005796758924-0.001019732212j),(-0.005619986914-0.001277810312j),(0.1728079766-0.1377846414j)
(3849000000+0j),(-0.269682616-0.6242007821j),(-0.005899207201-0.0004601324035j),(-0.005733386148-0.0007381524192j),(0.1583672762-0.1460817774j)
(3850000000+0j),(-0.338337481-0.5836688302j),(-0.005994176958+8.427696594e-05j),(-0.005868260283-0.0001877258619j),(0.1432594359-0.1525357827j)
(3851000000+0j),(-0.4024916589-0.5356686334j),(-0.005961453542+0.0007366556674j),(-0.005944080651+0.0003865679319j),(0.1277181208-0.1570935018j)
(3852000000+0j),(-0.4613383412-0.4806556688j),(-0.005927588325+0.001359145506j),(-0.005940265954+0.0009988790844j),(0.1122312844-0.1596503187j)
(3853000000+0j),(-0.5137746334-0.4196346762j),(-0.005795324221+0.00191417546j),(-0.00576599082+0.001552286092j),(0.09686275572-0.1605811977j)
(3854000000+0j),(-0.5590843558-0.3533336999j),(-0.005555430427+0.002506421646j),(-0.005641532131+0.002114422387j),(0.08174856007-0.1596376676j)
(3855000000+0j),(-0.5969842672-0.2823082512j),(-0.005245570559+0.003020768752j),(-0.00545961922+0.002710452303j),(0.06722610444-0.1567225934j)
(3856000000+0j),(-0.6266117692-0.2083303208j),(-0.004977462348+0.003517764388j),(-0.005129948258+0.003236320335j),(0.05348173901-0.1522802507j)
(3857000000+0j),(-0.6480457783-0.1318163644j),(-0.004581450485+0.004040075466j),(-0.004768630024+0.003709269222j),(0.04081166536-0.1461056582j)
(3858000000+0j),(-0.6609813571-0.05394693195j),(-0.004192625172+0.004416837357j),(-0.004387843423+0.004127873573j),(0.02942264266-0.1383768882j)
(3859000000+0j),(-0.6655336022+0.02414783508j),(-0.00363491918+0.004820561502j),(-0.004042230081+0.004527436569j),(0.01964193955-0.129556j)
(3860000000+0j),(-0.6617693901+0.1016964093j),(-0.003128311131+0.005137332249j),(-0.00351636298+0.004872435704j),(0.0113667557-0.1199043908j)
(3861000000+0j),(-0.6498699784+0.1770258795j),(-0.002667190041+0.005347163416j),(-0.003055456094+0.005172873382j),(0.004726053216-0.1094128675j)
(3862000000+0j),(-0.630803287+0.2501443244j),(-0.002123455517+0.005565376952j),(-0.002506583231+0.005367483478j),(-0.0001619738614-0.09837646639j)
(3863000000+0j),(-0.6049630046+0.3192074838j),(-0.001544330386+0.005706575233j),(-0.001943294192+0.005611857865j),(-0.003226988018-0.0869422025j)
(3864000000+0j),(-0.5722825527+0.3850527546j),(-0.001038434217+0.005721949041j),(-0.001444155117+0.005686561111j),(-0.004473546054-0.07558091535j)
(3865000000+0j),(-0.5340911746+0.4462759189j),(-0.00047559425+0.005780181848j),(-0.0009474524995+0.005744320806j),(-0.00385572901-0.0642810404j)
(3866000000+0j),(-0.4914934039+0.5020481007j),(0.000135981667+0.005773846526j),(-0.0003905807389+0.005798672792j),(-0.001519569079-0.05332982484j)
(3867000000+0j),(-0.4434169233+0.5534367336j),(0.0006194733432+0.005756623112j),(0.0001703320013+0.005821104627j),(0.002656991128-0.0430424159j)
(3868000000+0j),(-0.3924161792+0.5985930588j),(0.001032634755+0.005575393327j),(0.0006708651781+0.005755418446j),(0.008485739119-0.03345244464j)
(3869000000+0j),(-0.3381502926+0.6384448705j),(0.001502340543+0.00546121411j),(0.001145828632+0.005691606086j),(0.01619796269-0.02510158524j)
(3870000000+0j),(-0.2819122374+0.6725311489j),(0.001955076121+0.005218270235j),(0.001635324443+0.005494149402j),(0.02534174547-0.01827430804j)
(3871000000+0j),(-0.2231948972+0.7010332164j),(0.002379243961+0.004997340497j),(0.002104538959+0.005322359502j),(0.03572799265-0.01316625815j)
(3872000000+0j),(-0.163589403+0.7239399426j),(0.002723958576+0.004861353897j),(0.00254187244+0.005120853428j),(0.04714069515-0.01015893279j)
(3873000000+0j),(-0.1032670215+0.7413033808j),(0.003205089131+0.004511394538j),(0.002890784061+0.004812838044j),(0.05883215368-0.009080317578j)
(3874000000+0j),(-0.04227054864+0.7533545136j),(0.003444791771+0.004254838452j),(0.003333976958+0.004576800857j),(0.07063777-0.01014865267j)
(3875000000+0j),(0.018472597+0.7601044016j),(0.003749561962+0.003941921052j),(0.003646282479+0.004265196621j),(0.08250710368-0.01314145931j)
(3876000000+0j),(0.07816746831+0.7617501722j),(0.004043727182+0.003595222486j),(0.003988890443+0.003922641277j),(0.09402900189-0.01795577362j)
(3877000000+0j),(0.1375462562+0.7587150994j),(0.004355392884+0.003254501382j),(0.004273531027+0.003569853259j),(0.104998298-0.02473417966j)
(3878000000+0j),(0.1957653612+0.7510781678j),(0.004604215268+0.002886045026j),(0.004604047164+0.003200624138j),(0.1150874421-0.03334825931j)
(3879000000+0j),(0.2529148757+0.7386128635j),(0.004784511402+0.002529263962j),(0.004780960735+0.002788943471j),(0.1241051704-0.04357327171j)
(3880000000+0j),(0.3078756928+0.7222778307j),(0.004981341306+0.002111350419j),(0.00507191103+0.002353444695j),(0.1318919361-0.05520461527j)
(3881000000+0j),(0.3608688414+0.7016698073j),(0.005112796556+0.001712535508j),(0.005258981138+0.001944317948j),(0.138319999-0.06835734269j)
