Frequency,S33,S32,S23,S22
(3800000000+0j),(-0.2906704247+0.6712571852j),(-0.002076725708-0.003451349447j),(-0.0019748942-0.003520518309j),(0.08428672701+0.05647428431j)
(3801000000+0j),(-0.232610181+0.701029711j),(-0.002389654284-0.003178869141j),(-0.00225680857-0.003223124193j),(0.07817357033+0.05050009242j)
(3802000000+0j),(-0.1733427644+0.7247324109j),(-0.002575504128-0.002903626766j),(-0.002550899517-0.003050219268j),(0.07178381085+0.04575810068j)
(3803000000+0j),(-0.1134310365+0.7429849692j),(-0.002827926306-0.002718988806j),(-0.002712228103-0.002732018242j),(0.0647470057+0.04245100407j)
(3804000000+0j),(-0.05359072611+0.7557523957j),(-0.003031009808-0.002376995981j),(-0.002888406627-0.002542310394j),(0.05761573836+0.0404754393j)
(3805000000+0j),(0.005794166122+0.7633632582j),(-0.00311847101-0.002121229656j),(-0.002997786971-0.002273723949j),(0.05041291937+0.04001990817j)
(3806000000+0j),(0.06470571458+0.7661085299j),(-0.003264546162-0.00184344186j),(-0.003192136995-0.002000361448j),(0.04329836369+0.04094332885j)
(3807000000+0j),(0.1229300871+0.7639903138j),(-0.003336801659-0.001518429723j),(-0.003345584031-0.001772442483j),(0.03671135008+0.04338897176j)
(3808000000+0j),(0.1801135093+0.757316873j),(-0.003446075134-0.001270108856j),(-0.00339254085-0.00142740109j),(0.03078081273+0.04711716994j)
(3809000000+0j),(0.2361924648+0.7460901322j),(-0.003531549824-0.000920849503j),(-0.00348981237-0.001062559197j),(0.02560377121+0.05207239821j)
(3810000000+0j),(0.29053846+0.7309775449j),(-0.003514751559-0.0005940279807j),(-0.003559270874-0.0007956702611j),(0.02143552527+0.05810406618j)
(3811000000+0j),(0.3428086638+0.7124839558j),(-0.003566783387-0.0004241457791j),(-0.003556203796-0.0004809121892j),(0.01836439222+0.06529901649j)
(3812000000+0j),(0.3925327063+0.6902574621j),(-0.003557217307-0.0001773259428j),(-0.003630443476-0.000277545274j),(0.01669546589+0.07320451454j)
(3813000000+0j),(0.441038996+0.6644608503j),(-0.003461737651+9.395882807e-05j),(-0.00362165249+7.327987987e-06j),(0.01626387797+0.08175424778j)
(3814000000+0j),(0.4864679873+0.6349786761j),(-0.003448519623+0.0003954667191j),(-0.003624646924+0.0002436564682j),(0.01766617969+0.09078138327j)
(3815000000+0j),(0.5297065973+0.6029645764j),(-0.003384251148+0.0007060794742j),(-0.00356226298+0.0004990051966j),(0.02066081204+0.09988263363j)
(3816000000+0j),(0.5703288913+0.5676260727j),(-0.003287891624+0.0009167278185j),(-0.003452993697+0.0008522333228j),(0.02519342117+0.1088655051j)
(3817000000+0j),(0.6080505848+0.5294893502j),(-0.003237435594+0.001102272654j),(-0.003428119235+0.001060398645j),(0.03126740083+0.1174555122j)
(3818000000+0j),(0.6429947019+0.4886138719j),(-0.003146590665+0.001426177798j),(-0.003320751246+0.001316116424j),(0.03921231627+0.1255469707j)
(3819000000+0j),(0.674923718+0.4451972186j),(-0.003030712018+0.001623387565j),(-0.003244564403+0.001593426918j),(0.04862079024+0.1327080937j)
(3820000000+0j),(0.7035849094+0.3996005974j),(-0.002926447662+0.001868492109j),(-0.003082208568+0.001827244996j),(0.05900156125+0.1386930184j)
(3821000000+0j),(0.7285615206+0.3522617077j),(-0.002769003157+0.002141864039j),(-0.002967962297+0.002014550846j),(0.07093145698+0.1435615714j)
(3822000000+0j),(0.7504373193+0.3026274399j),(-0.002688349457+0.002309110248j),(-0.002799381269+0.002312100725j),(0.08373700827+0.1469671903j)
(3823000000+0j),(0.7687821984+0.2510023366j),(-0.002473044442+0.002435918432j),(-0.002601151122+0.002501651179j),(0.09705398977+0.149062096j)
(3824000000+0j),(0.7830174565+0.198069523j),(-0.002314326353+0.002654906362j),(-0.002351515461+0.002720535034j),(0.1109444946+0.1497484492j)
(3825000000+0j),(0.7934032083+0.1435957156j),(-0.002116942778+0.002967241453j),(-0.002205047291+0.002941309707j),(0.1255068481+0.148841908j)
(3826000000+0j),(0.799849093+0.08810475462j),(-0.001866322476+0.003059754847j),(-0.001953422092+0.003127991455j),(0.1405765712+0.1460677925j)
(3827000000+0j),(0.80219841+0.03118395648j),(-0.001713835867+0.003277735552j),(-0.001772180898+0.003286254127j),(0.1556781232+0.1417109626j)
(3828000000+0j),(0.8002251387-0.02616202015j),(-0.001431636629+0.00342474482j),(-0.001535581425+0.003399044741j),(0.1704481095+0.1356795277j)
(3829000000+0j),(0.7934073806-0.08348433849j),(-0.001143006259+0.003586088773j),(-0.001162426779+0.00360499532j),(0.1850134581+0.1279909909j)
(3830000000+0j),(0.7822114229-0.1409637486j),(-0.0008138159756+0.003670959966j),(-0.0009201538633+0.003671671962j),(0.1992922723+0.1183333776j)
(3831000000+0j),(0.7660635114-0.1980793867j),(-0.0005850482266+0.003813010175j),(-0.0006442020531+0.003745160066j),(0.2127079517+0.1068545512j)
(3832000000+0j),(0.7448064089-0.2550397969j),(-0.0002881765831+0.00385019742j),(-0.0003584510414+0.003890282242j),(0.224818334+0.09416462261j)
(3833000000+0j),(0.7187242508-0.3106051703j),(0.0001201088671+0.003910290077j),(-4.59407056e-05+0.003958133981j),(0.2361846119+0.0794513491j)
(3834000000+0j),(0.6875373721-0.364495925j),(0.0003767733579+0.003962805029j),(0.0003144872608+0.003959580325j),(0.2457368374+0.06373395629j)
(3835000000+0j),(0.6508649588-0.4168910926j),(0.000713784073+0.003947938327j),(0.0006268425495+0.004021230154j),(0.2537609041+0.04669197698j)
(3836000000+0j),(0.6090452671-0.4667531283j),(0.0009834668599+0.003966849763j),(0.001078439294+0.00390048651j),(0.259973526+0.02838533959j)
(3837000000+0j),(0.5626907945-0.5127144125j),(0.001366637065+0.003965306096j),(0.001383431954+0.003877933603j),(0.2643159628+0.009378951046j)
(3838000000+0j),(0.5107879639-0.5561942731j),(0.001805212698+0.003855424235j),(0.001800869242+0.003795525758j),(0.2665576339-0.01005274545j)
(3839000000+0j),(0.4547145963-0.5942334598j),(0.002172331559+0.003684440395j),(0.002117337193+0.003645899706j),(0.2666299939-0.02948097099j)
(3840000000+0j),(0.3939317763-0.628090643j),(0.002483725548+0.003522835672j),(0.002448927611+0.003486602101j),(0.2645736337-0.04879494395j)
(3841000000+0j),(0.3288145065-0.6564174022j),(0.00288513652+0.003360443981j),(0.00280758366+0.003367702477j),(0.2605933249-0.0675331092j)
(3842000000+0j),(0.2603281438-0.6784727753j),(0.003235332435+0.003038255265j),(0.003139335429+0.003098814515j),(0.2548692822-0.0861091354j)
(3843000000+0j),(0.1893843114-0.6938715953j),(0.003525392851+0.002831151942j),(0.003437130479+0.002783746691j),(0.2473337054-0.1037458286j)
(3844000000+0j),(0.1148572192-0.7026268886j),(0.003815087955+0.002433981048j),(0.003719575703+0.002439925913j),(0.2382403761-0.1202934485j)
(3845000000+0j),(0.03901654109-0.7035301274j),(0.004092805553+0.001993580488j),(0.004006389529+0.002139510121j),(0.2276751697-0.1358855761j)
(3846000000+0j),(-0.03723360598-0.6965316088j),(0.004293439444+0.001668340643j),(0.004186376464+0.001783166314j),(0.2155393213-0.1501886138j)
(3847000000+0j),(-0.1133205891-0.6812952723j),(0.004462549463+0.001233657822j),(0.004368268419+0.001353478408j),(0.2022101432-0.1630233097j)
(3848000000+0j),(-0.187859118-0.6580408785j),(0.004635419697+0.0007840787875j),(0.004510855768+0.0009261256782j),(0.1877625585-0.1743763556j)
(3849000000+0j),(-0.2601978183-0.6263897464j),(0.004761521704+0.000336597237j),(0.00454579154+0.0004734406248j),(0.1725423336-0.1839386765j)
(3850000000+0j),(-0.3292514682-0.586855861j),(0.004754339345-0.0001011645727j),(0.004700475838-8.820926496e-07j),(0.1566929072-0.1917255179j)
(3851000000+0j),(-0.3939396143-0.5398119886j),(0.00471865898-0.0005538555561j),(0.004681156017-0.0003991051053j),(0.1406091303-0.1979857698j)
(3852000000+0j),(-0.4532963336-0.4857849116j),(0.004640634637-0.001089363359j),(0.004641536158-0.0008299474139j),(0.123892799-0.2025972519j)
(3853000000+0j),(-0.5065194964-0.425687508j),(0.004572287202-0.001544407452j),(0.004529485945-0.001334349858j),(0.1071263775-0.205160577j)
(3854000000+0j),(-0.5526473522-0.3601128371j),(0.004423512146-0.001969933743j),(0.004402334336-0.001762935426j),(0.09055672586-0.2059354192j)
(3855000000+0j),(-0.5915751457-0.290027364j),(0.004218762275-0.002354411874j),(0.004239302594-0.00215587602j),(0.0742874518-0.2049064134j)
(3856000000+0j),(-0.6222972274-0.2161189067j),(0.003921211231-0.002796242246j),(0.003949712031-0.002590565477j),(0.05863918364-0.2019125963j)
(3857000000+0j),(-0.6448813677-0.1398320415j),(0.003540890291-0.003188542789j),(0.003703862894-0.002987235785j),(0.04407825321-0.1973120679j)
(3858000000+0j),(-0.6588570476-0.06230287285j),(0.003218123689-0.003516426077j),(0.003343141172-0.003348411061j),(0.03059563041-0.191461375j)
(3859000000+0j),(-0.6644047499+0.01569379793j),(0.002883705311-0.003780632513j),(0.002989971312-0.003586301347j),(0.01808689162-0.1845894136j)
(3860000000+0j),(-0.6615492702+0.09318221518j),(0.002431978239-0.00401040772j),(0.0026690464-0.003831236856j),(0.006865112111-0.1764275845j)
(3861000000+0j),(-0.650968194+0.168862344j),(0.002031847835-0.004240499344j),(0.002287398325-0.004056842532j),(-0.003121080808-0.1673365231j)
(3862000000+0j),(-0.6324284077+0.2422391519j),(0.001605465077-0.004359585233j),(0.001883366145-0.004315473139j),(-0.01180982776-0.157289091j)
(3863000000+0j),(-0.6073445082+0.3120852939j),(0.001164577785-0.004432909191j),(0.001387134776-0.004408689681j),(-0.01871062815-0.1464277297j)
