Frequency,Complex S33,Complex S32,Complex S23,Complex S22
(3800000000+0j),(-0.165760532+0.6175612248j),(-0.0004885008093+0.000349865848j),(-0.0005545797176+0.0002999153512j),(-0.0003167635296+0.05361334743j)
(3801000000+0j),(-0.1199685708+0.6355445029j),(-0.0004966441775+0.0003604604572j),(-0.0005043866695+0.0003643576347j),(-0.004139573313+0.052966121j)
(3802000000+0j),(-0.07417590171+0.649580157j),(-0.0004490795545+0.0004123921972j),(-0.0005100988201+0.0003670240403j),(-0.007962642238+0.05338914179j)
(3803000000+0j),(-0.02804877423+0.6599876635j),(-0.0003299347009+0.0004419408506j),(-0.0004219399998+0.0004307015333j),(-0.01181645785+0.05483975429j)
(3804000000+0j),(0.01732016914+0.6666238645j),(-0.0003514645505+0.0004308397474j),(-0.0003395979002+0.0004535489425j),(-0.01510091219+0.05709570081j)
(3805000000+0j),(0.06312001497+0.669744j),(-0.0002699893957+0.000422428071j),(-0.0003245018306+0.0005388202844j),(-0.01821882091+0.0601610573j)
(3806000000+0j),(0.1084760725+0.6693190677j),(-0.0002747578546+0.0005386378616j),(-0.0002983848972+0.0005098562106j),(-0.02065861225+0.06400506845j)
(3807000000+0j),(0.1532875001+0.6657633738j),(-0.0001663098374+0.0005481499829j),(-0.0001834629511+0.0005175720435j),(-0.02256740257+0.06851003228j)
(3808000000+0j),(0.1967432499+0.6589573656j),(-0.0001128595104+0.0005066713784j),(-0.0001417566673+0.0005815658369j),(-0.02371221036+0.07364893807j)
(3809000000+0j),(0.2399784029+0.6488205303j),(-6.202243821e-05+0.0005261228071j),(-0.0001305217593+0.000559752807j),(-0.02395157143+0.07925747053j)
(3810000000+0j),(0.2817135453+0.6360652119j),(-2.636398676e-06+0.0005242842017j),(-6.464152102e-05+0.0005961093702j),(-0.02346174605+0.08508420648j)
(3811000000+0j),(0.3222585022+0.6203666334j),(8.568920748e-05+0.0004991425667j),(3.452612145e-05+0.0005037056399j),(-0.0222153049+0.09115810925j)
(3812000000+0j),(0.3616349697+0.6021486465j),(2.414461778e-05+0.0005021001562j),(5.440435416e-05+0.0005053391797j),(-0.02021178231+0.09741181414j)
(3813000000+0j),(0.3992440403+0.5812712948j),(0.0001440398046+0.0004745708429j),(0.0001552662143+0.0005155894905j),(-0.017272681+0.1035866907j)
(3814000000+0j),(0.4354636967+0.5577028901j),(0.0002073704818+0.0004362712789j),(0.000131096167+0.0004491287109j),(-0.01370791066+0.1098536851j)
(3815000000+0j),(0.4697138667+0.531663169j),(0.0002198472066+0.0003631458094j),(0.0002445205755+0.0005242495099j),(-0.00928154774+0.1160099285j)
(3816000000+0j),(0.5020817518+0.5033702298j),(0.000268521806+0.0004119153891j),(0.0002846316202+0.0004645183799j),(-0.003839170095+0.1219675708j)
(3817000000+0j),(0.5326646566+0.4723480044j),(0.0002978449338+0.0003790804185j),(0.0003057388822+0.000430112239j),(0.002266049618+0.1276968694j)
(3818000000+0j),(0.5607871413+0.4395390228j),(0.0003288880398+0.0002892040648j),(0.0003740853863+0.0003813951625j),(0.009329386987+0.1329786393j)
(3819000000+0j),(0.5868539214+0.4043990512j),(0.0003861818986+0.0002709609107j),(0.0003878620046+0.000314886478j),(0.01723051816+0.138007291j)
(3820000000+0j),(0.6102476716+0.3674666672j),(0.0004145260609+0.000260580302j),(0.0004310005461+0.0003106205841j),(0.0259610042+0.1424217837j)
(3821000000+0j),(0.6313842535+0.328190447j),(0.0003416466643+0.0002556357649j),(0.0003915082489+0.0002366561821j),(0.03555310518+0.1460518927j)
(3822000000+0j),(0.6494241357+0.2875857791j),(0.0003948530066+0.0002062749991j),(0.0004498873895+0.0001444691152j),(0.04602491111+0.1487205643j)
