Frequency,S33,S32,S23,S22
(3800000000+0j),(-0.5019686222+0.3503872989j),(7.794796693e-05+0.00258276891j),(-0.0001247281471+0.002538593719j),(-0.02693973482+0.05181459254j)
(3801000000+0j),(-0.4748767614+0.4000506886j),(0.0002436007635+0.002509413287j),(8.956679085e-05+0.002505976241j),(-0.03136137128+0.05435405884j)
(3802000000+0j),(-0.4436662793+0.4472431731j),(0.0003414350213+0.002559273969j),(0.0002324021916+0.002538660076j),(-0.03560521454+0.05803456579j)
(3803000000+0j),(-0.4083674848+0.4919784806j),(0.0006080599851+0.002556024352j),(0.0003947801888+0.002458896022j),(-0.03934409469+0.06273493052j)
(3804000000+0j),(-0.3694470525+0.5334619483j),(0.0006986027583+0.002463900251j),(0.0005663899356+0.002435238566j),(-0.04261288792+0.06830115788j)
(3805000000+0j),(-0.3273518384+0.5715633535j),(0.0009456517873+0.002389514353j),(0.0007307775668+0.002511938335j),(-0.04526413605+0.07492077927j)
(3806000000+0j),(-0.2813663185+0.6062250162j),(0.001125662122+0.002369987546j),(0.0009061109158+0.002356873127j),(-0.0468123816+0.08245467259j)
(3807000000+0j),(-0.2320100218+0.6368603654j),(0.001264432562+0.00227669673j),(0.00116990204+0.002311030636j),(-0.04740189388+0.09074668883j)
(3808000000+0j),(-0.1802843809+0.6636062636j),(0.001385937212+0.002186866011j),(0.001300339238+0.002318863291j),(-0.04655073583+0.09939569639j)
(3809000000+0j),(-0.1257092357+0.6855857019j),(0.001597096911+0.00209580292j),(0.001439884072+0.002236286411j),(-0.04446000233+0.1083831375j)
(3810000000+0j),(-0.06868909299+0.70286014j),(0.001749444287+0.002008929616j),(0.001601975877+0.002067041816j),(-0.04084964842+0.1174586281j)
(3811000000+0j),(-0.01090893894+0.7154660603j),(0.001910335035+0.001875986345j),(0.001857926603+0.002078216989j),(-0.03622388467+0.1264240475j)
(3812000000+0j),(0.04862013087+0.7230525109j),(0.0020545593+0.001771017443j),(0.001930790138+0.001952020219j),(-0.03036100976+0.1350368891j)
(3813000000+0j),(0.1096703559+0.7249845126j),(0.002121442929+0.001623803633j),(0.002094650175+0.001811838709j),(-0.02322326973+0.1429941127j)
(3814000000+0j),(0.1709066778+0.7215746253j),(0.002291202545+0.001526483684j),(0.002279551234+0.001678766566j),(-0.01511704363+0.1505954761j)
(3815000000+0j),(0.2319676727+0.7123233947j),(0.002409180161+0.001355310087j),(0.002437297022+0.001526087406j),(-0.00603419356+0.1576021877j)
(3816000000+0j),(0.2932099402+0.697424795j),(0.002517773071+0.001228552894j),(0.002614399651+0.001353423111j),(0.004112181254+0.1638673451j)
(3817000000+0j),(0.3525233865+0.6762977393j),(0.002720708959+0.001107057091j),(0.002707808046+0.001190958777j),(0.01537930779+0.1690954005j)
(3818000000+0j),(0.4099214673+0.6498110862j),(0.002705802675+0.0008351821452j),(0.002807014855+0.0009989308892j),(0.02725463174+0.1731694574j)
(3819000000+0j),(0.4651470184+0.6179530278j),(0.002831580117+0.0005960002891j),(0.002928769914+0.0008109373739j),(0.03975573555+0.1763379499j)
(3820000000+0j),(0.5180749297+0.5800336115j),(0.002980347257+0.0003454325197j),(0.003040288109+0.0005070928019j),(0.05301405117+0.1781384642j)
(3821000000+0j),(0.566499114+0.5376229577j),(0.003040802665+0.000150535634j),(0.003087663092+0.0002620112791j),(0.06679919362+0.1785741528j)
(3822000000+0j),(0.6115085483+0.4900557033j),(0.003059246577-8.225983765e-05j),(0.003170528915-2.0931775e-05j),(0.080862239+0.1775437778j)
