Frequency,S33,S32,S23,S22
(3800000000+0j),(-0.552570045+0.2994473234j),(0.001290187123+0.000733895693j),(0.001257450902+0.0008675657446j),(-0.02117840387+0.07881200769j)
(3801000000+0j),(-0.5270494819+0.3548624195j),(0.001277455012+0.0006190254353j),(0.00138009619+0.000655221229j),(-0.02276224457+0.08036593637j)
(3802000000+0j),(-0.4970131814+0.4076084341j),(0.001368888421+0.0004877925676j),(0.001324412413+0.0006145625957j),(-0.02431461774+0.08243739859j)
(3803000000+0j),(-0.4626686573+0.4573596801j),(0.001263734302+0.0003223888052j),(0.001341594616+0.0003937878646j),(-0.02572493628+0.08520570157j)
(3804000000+0j),(-0.4236822724+0.5041892626j),(0.001260500867+0.0002603931644j),(0.001314994064+0.0003109596437j),(-0.02667725831+0.08878497153j)
(3805000000+0j),(-0.3806366026+0.5475910422j),(0.001241514459+0.0001519996877j),(0.001261643716+0.0001356545254j),(-0.0272217188+0.09274504542j)
(3806000000+0j),(-0.3331441879+0.5872817029j),(0.001145449933-3.562669372e-05j),(0.001272441703+3.073057451e-05j),(-0.02717174403+0.09725461585j)
(3807000000+0j),(-0.2825495899+0.6225789372j),(0.001039218856-7.735232793e-05j),(0.00119980867-7.188629388e-05j),(-0.02674579434+0.1021813185j)
(3808000000+0j),(-0.2288204134+0.6530879235j),(0.0009978172602-0.0001481929357j),(0.00111388776-0.0001494003081j),(-0.02550128475+0.107406163j)
(3809000000+0j),(-0.1723047048+0.6787406024j),(0.0009651192231-0.0002044904249j),(0.001034637797-0.0002330694988j),(-0.02386428416+0.1130199829j)
(3810000000+0j),(-0.1125351489+0.6995687831j),(0.0008315762389-0.0002244490461j),(0.0009365911246-0.0002452422632j),(-0.0213591177+0.1189390243j)
(3811000000+0j),(-0.0513423495+0.7151806583j),(0.0008771532448-0.0002737035975j),(0.0008389024879-0.0003336169757j),(-0.01821964793+0.12538396j)
(3812000000+0j),(0.01098464336+0.7250689204j),(0.0007654115907-0.0002701535996j),(0.000723523437-0.0002866769792j),(-0.01400325447+0.1317104489j)
(3813000000+0j),(0.07430447638+0.7294811654j),(0.0006851183134-0.0002985888859j),(0.0007253874792-0.0003546997614j),(-0.008996574208+0.138077902j)
(3814000000+0j),(0.1387669295+0.7275017613j),(0.0006159752957-0.0003822187427j),(0.0006368054892-0.000333399279j),(-0.002909916919+0.1442881084j)
(3815000000+0j),(0.2026091218+0.7198848219j),(0.0005565840984-0.0003170523851j),(0.0006014037062-0.0003239031066j),(0.004254228901+0.1501886153j)
(3816000000+0j),(0.2657571137+0.7060578192j),(0.0005410488229-0.0003345071746j),(0.0005574673996-0.0003309468448j),(0.0124105271+0.1557334778j)
(3817000000+0j),(0.3284362555+0.686125553j),(0.0004331513774-0.0002839692752j),(0.0005160483415-0.0003338389215j),(0.02133911662+0.1605454763j)
(3818000000+0j),(0.38891837+0.6604505933j),(0.0004099167127-0.0003489148803j),(0.0004560024245-0.0002917387465j),(0.03129647672+0.1646452946j)
(3819000000+0j),(0.4462593794+0.6287874716j),(0.000317507307-0.0003051690583j),(0.0004384196945-0.0002956189564j),(0.04185530171+0.1678263263j)
(3820000000+0j),(0.5010301471+0.5918908882j),(0.0003043003089-0.0002481258707j),(0.0003729569726-0.0002572157828j),(0.0532958284+0.169823646j)
(3821000000+0j),(0.5521771908+0.5494845465j),(0.0003452431411-0.0002769049315j),(0.0003466040362-0.0002242606715j),(0.06480796635+0.1709580474j)
(3822000000+0j),(0.598834157+0.5025688999j),(0.0003878475691-0.0001857707539j),(0.0004092761374-0.0002385484258j),(0.07709749788+0.1708725544j)
(3823000000+0j),(0.6414321065+0.451029503j),(0.0004257253022-0.000196758192j),(0.0003953530104-0.0001989158045j),(0.08935424685+0.1697643671j)
(3824000000+0j),(0.6787000299+0.3953967572j),(0.0004315627739-0.0002179483854j),(0.0004508278216-0.0001989097218j),(0.1016988754+0.1675067707j)
(3825000000+0j),(0.7103318572+0.3366215087j),(0.0004892974393-0.0001874901063j),(0.0004083595122-0.0002475148649j),(0.1144228652+0.1640736853j)
(3826000000+0j),(0.7362347841+0.2748080348j),(0.000411770452-0.0001720909786j),(0.0004771799431-0.0002329363924j),(0.1270202845+0.1593025409j)
(3827000000+0j),(0.7562819123+0.2113114863j),(0.0004162486293-0.0001747500646j),(0.0005223135231-0.0002032001066j),(0.1392544508+0.1531881281j)
(3828000000+0j),(0.7701736093+0.145712548j),(0.0005286301021-0.0002180842566j),(0.0004904916859-0.0001600554824j),(0.1508506387+0.1460718361j)
(3829000000+0j),(0.7775427103+0.07910632356j),(0.0005680680042-0.0002909368777j),(0.0005233905977-0.000285952643j),(0.1617452502+0.1378496437j)
(3830000000+0j),(0.7784662247+0.01244094065j),(0.0004697641125-0.0003320302349j),(0.0005767703406-0.0002532841754j),(0.1722901314+0.1283758647j)
(3831000000+0j),(0.7729359865-0.05423051672j),(0.0005554663367-0.0003747019218j),(0.0005978584522-0.000324567518j),(0.1818419993+0.1180564876j)
(3832000000+0j),(0.760951817-0.1194594811j),(0.0005863669212-0.0003755221551j),(0.0006270773592-0.0004099215439j),(0.1904275566+0.1067312464j)
(3833000000+0j),(0.7430342436-0.1826966981j),(0.0005716473679-0.0004830661928j),(0.0005913769128-0.0003781823616j),(0.198089987+0.09460081319j)
(3834000000+0j),(0.7189586759-0.2443220937j),(0.0005711441627-0.0004515335604j),(0.0006360641564-0.0005299767945j),(0.2046408951+0.08172459597j)
(3835000000+0j),(0.6897782087-0.3021017687j),(0.0005853211624-0.0005435328931j),(0.0006153284339-0.0005623200559j),(0.2100346535+0.06819885676j)
(3836000000+0j),(0.6549074054-0.3573311143j),(0.0005432499456-0.0007106069243j),(0.0006090433453-0.0006852649967j),(0.2140333205+0.05416648161j)
