Frequency,S33,S32,S23,S22
(3800000000+0j),(-0.2031220347+0.7151444724j),(-0.004962623585-0.0002240787289j),(-0.004968952853-0.0003504314809j),(-0.06824391335+0.0264779612j)
(3801000000+0j),(-0.1463540345+0.7360838242j),(-0.004897714593+0.0002784163808j),(-0.004958096426+0.0001018719122j),(-0.0780787617+0.03690224833j)
(3802000000+0j),(-0.08889511228+0.7516652154j),(-0.004857914988+0.0007095385226j),(-0.004853101447+0.0004737321869j),(-0.086518839+0.04905540171j)
(3803000000+0j),(-0.03217355534+0.7625107144j),(-0.004692154005+0.001019970281j),(-0.004809960257+0.0008923433488j),(-0.09334896505+0.06285551138j)
(3804000000+0j),(0.02385391481+0.7687240147j),(-0.004478416406+0.001424204325j),(-0.004720405675+0.00117941387j),(-0.09804727137+0.07797885263j)
(3805000000+0j),(0.08015111089+0.7704462148j),(-0.004367215559+0.001675276551j),(-0.004548739642+0.001523972023j),(-0.1009964943+0.09382472008j)
(3806000000+0j),(0.1351146102+0.7680177483j),(-0.004206409212+0.002005339833j),(-0.004309685435+0.001934414264j),(-0.1018131673+0.1104988856j)
(3807000000+0j),(0.1887595803+0.7615432979j),(-0.00396613311+0.002356683603j),(-0.004112516996+0.002263406059j),(-0.1000062749+0.1277919907j)
(3808000000+0j),(0.2420589477+0.7507050391j),(-0.003730293596+0.002620263258j),(-0.003939396702+0.002507515717j),(-0.09616835415+0.1452570067j)
(3809000000+0j),(0.2935055792+0.7363627619j),(-0.003516485915+0.002783332486j),(-0.003612308297+0.002817675238j),(-0.08993687481+0.1625219969j)
(3810000000+0j),(0.3432551324+0.7184622128j),(-0.003220519982+0.003064561402j),(-0.003346519079+0.003070197068j),(-0.08132232726+0.1795806002j)
(3811000000+0j),(0.3915016651+0.6973882911j),(-0.002955703996+0.003234135685j),(-0.003144276096+0.003295199713j),(-0.07046764344+0.1960732637j)
(3812000000+0j),(0.4374481738+0.6730501364j),(-0.002703846432+0.003456962993j),(-0.002821015427+0.003443363123j),(-0.0576387234+0.21142002j)
(3813000000+0j),(0.4816453755+0.6457592446j),(-0.002442796016+0.003612661734j),(-0.002586240415+0.003657437628j),(-0.0424907878+0.2255659681j)
(3814000000+0j),(0.5232179165+0.6155799185j),(-0.002159960568+0.003715742379j),(-0.002308530966+0.003787807189j),(-0.02564433217+0.238236911j)
(3815000000+0j),(0.5628314018+0.5818524435j),(-0.001944132615+0.003974863328j),(-0.001984394388+0.004006515723j),(-0.006802331656+0.2492564523j)
(3816000000+0j),(0.5999648571+0.5458070821j),(-0.001594317611+0.004021416418j),(-0.001726684975+0.0041009509j),(0.01360156108+0.2582839462j)
(3817000000+0j),(0.6347224712+0.5067828426j),(-0.001356004854+0.004115559626j),(-0.001413340447+0.004203211516j),(0.03545101732+0.2653100931j)
