Frequency,S33,S32,S23,S22
(3800000000+0j),(-0.2120877355+0.719531986j),(0.0001515766926-0.001707333606j),(0.0002416893694-0.001569346059j),(-0.07437608391+0.01301391578j)
(3801000000+0j),(-0.1548025608+0.7409748373j),(0.0001042848744-0.001689936849j),(0.00022384763-0.001726124319j),(-0.08402294666+0.0238479137j)
(3802000000+0j),(-0.09738407284+0.7572004285j),(5.7277407e-06-0.001672604238j),(9.040317673e-05-0.001675418927j),(-0.09219531715+0.03620542064j)
(3803000000+0j),(-0.0395796001+0.7686142142j),(-0.0001338075963-0.001625659876j),(-6.021598438e-06-0.001688581426j),(-0.09889603406+0.04998996833j)
(3804000000+0j),(0.01727922633+0.7753204638j),(-0.0002339705388-0.001651627477j),(-0.0001507044653-0.001663554809j),(-0.103424266+0.06502142853j)
(3805000000+0j),(0.0741763413+0.7772161012j),(-0.0003246089036-0.001669958699j),(-0.0002482954878-0.001718701911j),(-0.106316112+0.08089983965j)
(3806000000+0j),(0.1303190142+0.7747967547j),(-0.0004678941041-0.00164004066j),(-0.0003667329729-0.001772515592j),(-0.1071104631+0.09745781804j)
(3807000000+0j),(0.1849678606+0.7684506084j),(-0.0005522602587-0.001558969263j),(-0.0004620668187-0.001671323553j),(-0.1056765914+0.1146024179j)
(3808000000+0j),(0.237776503+0.7580496981j),(-0.0007304996834-0.001583068515j),(-0.0006612197612-0.001599927084j),(-0.1020563394+0.1319330623j)
(3809000000+0j),(0.2897341847+0.7441037801j),(-0.0008065687725-0.001481725951j),(-0.0007405738579-0.001564210863j),(-0.09597213566+0.1492765949j)
(3810000000+0j),(0.3404262662+0.7260057701j),(-0.0009049126529-0.001478641527j),(-0.0007818518789-0.00153797213j),(-0.08756773919+0.1662445605j)
(3811000000+0j),(0.3886763752+0.7051975565j),(-0.0009741910035-0.001449380303j),(-0.0009787849849-0.00141402788j),(-0.07694824785+0.1826121686j)
(3812000000+0j),(0.435312897+0.6811046519j),(-0.001075298409-0.001272519468j),(-0.001064923359-0.001419123029j),(-0.0642132163+0.1978573485j)
(3813000000+0j),(0.4801386595+0.6537824216j),(-0.001093821367-0.00124162389j),(-0.001166107832-0.001406648429j),(-0.04908938333+0.2118343291j)
(3814000000+0j),(0.5226933956+0.6233311222j),(-0.001306757214-0.001127651194j),(-0.001238222118-0.001316763577j),(-0.03229131177+0.2241171235j)
(3815000000+0j),(0.5628945231+0.5898382056j),(-0.001393199316-0.001123815775j),(-0.001376369619-0.001229620189j),(-0.01403440069+0.2348043003j)
(3816000000+0j),(0.6004618406+0.5534991577j),(-0.001382994698-0.001049830345j),(-0.00145295437-0.001167156734j),(0.005763099995+0.2435600422j)
