Frequency,S33,S32,S23,S22
(3800000000+0j),(-0.5002788901+0.3529751894j),(-1.783245239e-06+0.002539269626j),(-0.0001171127587+0.002525361488j),(-0.02680301294+0.05413551277j)
(3801000000+0j),(-0.4728963375+0.4024520319j),(0.0002281368506+0.002526281402j),(0.0001071600273+0.002473983448j),(-0.03106472641+0.05673233836j)
(3802000000+0j),(-0.4415256679+0.4497598692j),(0.0004402037594+0.002512467327j),(0.0002628782531+0.002515391679j),(-0.03530295193+0.06040157273j)
(3803000000+0j),(-0.4064904451+0.4938567055j),(0.0005679231836+0.002494895365j),(0.0004378537124+0.002553449944j),(-0.03894141316+0.06526116965j)
(3804000000+0j),(-0.3673571944+0.5352212996j),(0.000746214937+0.002483230317j),(0.000649489637+0.002445081715j),(-0.0420386754+0.07092329799j)
(3805000000+0j),(-0.3247364461+0.5733374153j),(0.0008696500445+0.002432941226j),(0.0007285018801+0.002431356348j),(-0.04455814511+0.07758191455j)
(3806000000+0j),(-0.2795170248+0.6074800738j),(0.001089260797+0.002408775967j),(0.0009573897696+0.00236888323j),(-0.04592810199+0.08518518576j)
(3807000000+0j),(-0.2302211076+0.6380055696j),(0.001246457803+0.002347656991j),(0.001129337936+0.002377308439j),(-0.04636925086+0.09331035267j)
(3808000000+0j),(-0.1783921272+0.6644157967j),(0.001390948077+0.002168441191j),(0.001313688816+0.002246879274j),(-0.04529541358+0.102044174j)
(3809000000+0j),(-0.1239491776+0.6862944736j),(0.001588457264+0.002113745548j),(0.001451000455+0.002236686647j),(-0.04311304539+0.1110351997j)
(3810000000+0j),(-0.06765706092+0.7036190796j),(0.001696713385+0.002041430213j),(0.001613373403+0.002102454891j),(-0.03946693614+0.120122164j)
(3811000000+0j),(-0.009490273893+0.7161902627j),(0.00184624712+0.001921735588j),(0.001765310415+0.00205056672j),(-0.03447632119+0.1290491429j)
(3812000000+0j),(0.05028677732+0.7236526193j),(0.002035179874+0.001804440166j),(0.001918933704+0.001869388623j),(-0.02843267284+0.1374350395j)
(3813000000+0j),(0.1108970717+0.7255197437j),(0.002137333388+0.001609184663j),(0.002117311582+0.001796546392j),(-0.02127095126+0.1452803095j)
(3814000000+0j),(0.171643123+0.7219987537j),(0.002294604434+0.0015473573j),(0.002268396085+0.001672878629j),(-0.01318185031+0.1526969878j)
(3815000000+0j),(0.2326504141+0.7127733668j),(0.002429689048+0.001319484902j),(0.002407225315+0.001551721245j),(-0.003820298705+0.1595542098j)
(3816000000+0j),(0.2935069799+0.6976547573j),(0.002536682878+0.001153542078j),(0.002593667712+0.001332164858j),(0.006296867039+0.1656486154j)
(3817000000+0j),(0.352836132+0.676969017j),(0.00269471528+0.00100590114j),(0.002647471847+0.001222720486j),(0.01758087613+0.1707906616j)
