Frequency,Complex S33,Complex S32,Complex S23,Complex S22
(3800000000+0j),(-0.1789934337+0.6841371364j),(-0.0007936382899+0.0009831963107j),(-0.0008551531937+0.0009314421914j),(0.05701545998+0.0983847832j)
(3801000000+0j),(-0.1258967966+0.7029005915j),(-0.0007151402533+0.001027813996j),(-0.0007796513964+0.0009887735359j),(0.05573757365+0.09286863936j)
(3802000000+0j),(-0.07259187102+0.7168851031j),(-0.0006739252713+0.001060810057j),(-0.0006421391154+0.001008328516j),(0.05340299383+0.08826087724j)
(3803000000+0j),(-0.01905617863+0.7265491679j),(-0.00049561786+0.001136234729j),(-0.0005370658473+0.001058498048j),(0.05070185289+0.08466438363j)
(3804000000+0j),(0.03337059915+0.7317603231j),(-0.0003962201299+0.001168695162j),(-0.0004362734908+0.001072435174j),(0.04769852757+0.08213362503j)
(3805000000+0j),(0.08579599112+0.7331179047j),(-0.0002931074705+0.001092032413j),(-0.0004040628264+0.001008803491j),(0.04451730102+0.08061493917j)
(3806000000+0j),(0.1377575994+0.729907641j),(-0.0002104441519+0.001155024162j),(-0.0002988744818+0.001148483134j),(0.04151343554+0.0799404679j)
(3807000000+0j),(0.1886385679+0.7229356405j),(-0.0001446219248+0.001038170187j),(-0.0001274576498+0.001114535145j),(0.03862929344+0.08046554776j)
(3808000000+0j),(0.2375187725+0.712708095j),(-4.131812602e-05+0.001091006328j),(-0.0001312712557+0.00112886494j),(0.03616861254+0.08173795541j)
(3809000000+0j),(0.2860566378+0.6988808194j),(1.441931818e-05+0.001031064428j),(-9.696506459e-05+0.001158584491j),(0.03410516307+0.08378582731j)
(3810000000+0j),(0.3322987854+0.6816788146j),(8.442262333e-05+0.001057756948j),(8.154735406e-05+0.001090954058j),(0.032806281+0.08667742673j)
(3811000000+0j),(0.3771075308+0.6615370303j),(0.0002233692212+0.001049496932j),(0.0001198459649+0.001155607402j),(0.03210267425+0.09022737136j)
(3812000000+0j),(0.4204531908+0.6383953737j),(0.0002911142947+0.001056347741j),(0.0001964245166+0.001074809814j),(0.03200534359+0.09427378285j)
(3813000000+0j),(0.4612828195+0.6123703494j),(0.0003214752651+0.001082118833j),(0.0002857113723+0.001105854055j),(0.03281006962+0.09860109005j)
(3814000000+0j),(0.5006488562+0.5833333612j),(0.0004095731128+0.0009809167823j),(0.000336697296+0.001003434998j),(0.03447465599+0.1033254716j)
(3815000000+0j),(0.5376115441+0.5516282938j),(0.0005009818706+0.0009246046538j),(0.0004699780839+0.00094505999j),(0.03703870624+0.108211081j)
