Frequency,Complex S33,Complex S32,Complex S23,Complex S22
(3800000000+0j),(-0.1793929636+0.683160754j),(0.001063396805+0.0004679751582j),(0.0009846898029+0.0004956868361j),(0.04162850231+0.07544376264j)
(3801000000+0j),(-0.1264999956+0.7017850782j),(0.001030901098+0.0002988589986j),(0.001065826626+0.0003774250217j),(0.04021024704+0.06967569916j)
(3802000000+0j),(-0.0735174343+0.7159477235j),(0.001091287704+0.0002354025783j),(0.001057979651+0.0002273955761j),(0.03778410703+0.06461848954j)
(3803000000+0j),(-0.02007735707+0.7255487286j),(0.001063844888+9.619624325e-05j),(0.00106172706+0.0002181255695j),(0.03486967087+0.06031124548j)
(3804000000+0j),(0.03240466118+0.7309615789j),(0.001051126863+1.271143083e-05j),(0.001093156869+9.797747771e-05j),(0.0312673822+0.05692955441j)
(3805000000+0j),(0.08530679345+0.7319693536j),(0.001007531537-9.481051529e-05j),(0.001062396797-3.165931048e-05j),(0.02719965763+0.0545710269j)
(3806000000+0j),(0.1368711591+0.7291260512j),(0.0009991356637-0.0001836018491j),(0.001021820004-0.0001118535656j),(0.02293697745+0.05326950761j)
(3807000000+0j),(0.1872927547+0.7226477371j),(0.001007033745-0.0002737125324j),(0.001087538549-0.0002259076718j),(0.01876419596+0.05299762257j)
(3808000000+0j),(0.236912176+0.7121089314j),(0.0009192505968-0.0003655160544j),(0.001023093122-0.0002829618752j),(0.01473206654+0.05373637499j)
(3809000000+0j),(0.2850466371+0.6982726172j),(0.0008558094269-0.0004024655209j),(0.0009794279467-0.0004293653474j),(0.01092129108+0.05548102592j)
(3810000000+0j),(0.3318396807+0.6810181j),(0.000799311325-0.0006054566475j),(0.0008617037092-0.0005056720693j),(0.00762984762+0.05795155906j)
(3811000000+0j),(0.3765576482+0.6607969127j),(0.0007213914068-0.0006068936782j),(0.0008237057482-0.0005738848122j),(0.004697969183+0.06129585089j)
(3812000000+0j),(0.4192099869+0.638058497j),(0.0006649654824-0.0006436821423j),(0.0007601294201-0.0006507515209j),(0.002277596621+0.06538440893j)
(3813000000+0j),(0.4604271352+0.6121505277j),(0.0006110531976-0.000701658777j),(0.0007245452143-0.0006692159805j),(0.0005916101509+0.07000267908j)
(3814000000+0j),(0.4992494285+0.5832154057j),(0.0005497024977-0.0007124976837j),(0.0006056854036-0.0007606394938j),(-0.0006806472666+0.07542857424j)
(3815000000+0j),(0.5363542438+0.551673959j),(0.0004938298953-0.0007636715309j),(0.0005302379723-0.0007795522106j),(-0.0008689565584+0.08140687079j)
(3816000000+0j),(0.5710542798+0.517335675j),(0.0004640319385-0.0007731541409j),(0.0004366339999-0.0007353230612j),(-0.000198289039+0.08793759531j)
(3817000000+0j),(0.6032847166+0.4804547791j),(0.0004286769836-0.0007780485903j),(0.000441590877-0.0008608790231j),(0.001573729096+0.09481436707j)
(3818000000+0j),(0.6324688196+0.4415472712j),(0.0002260528126-0.0008416894707j),(0.0002931461495-0.0008205892518j),(0.004635218531+0.1018858101j)
(3819000000+0j),(0.659250021+0.4002287621j),(0.0001986081334-0.0008247189107j),(0.0002296737948-0.0008564920863j),(0.008898212574+0.1090865113j)
(3820000000+0j),(0.6829314828+0.35715577j),(0.000152060602-0.0009647795232j),(0.0001871112036-0.000901007792j),(0.01446643099+0.1157384816j)
(3821000000+0j),(0.7036731839+0.3121275211j),(0.0001003717989-0.0008964043809j),(0.0001206008383-0.0009317636723j),(0.02131759375+0.1220679242j)
(3822000000+0j),(0.7207650542+0.2651078441j),(-2.597987987e-05-0.0008381609805j),(1.53732326e-05-0.0008775029564j),(0.02935977094+0.1276990482j)
(3823000000+0j),(0.7348630428+0.2167685156j),(-0.0001270311186-0.0008566939505j),(-1.067074572e-05-0.0008680066676j),(0.03832191229+0.132579355j)
(3824000000+0j),(0.7454721928+0.1668847364j),(-0.0001364210038-0.0008068866446j),(-8.952470671e-05-0.0008548112819j),(0.04813065752+0.1364615468j)
(3825000000+0j),(0.7521566153+0.11537381j),(-0.0002113913797-0.0008023182745j),(-0.0002214377746-0.0008887427975j),(0.05878078192+0.1393166235j)
