Frequency,S33,S32,S23,S22
(3800000000+0j),(-0.2901929915+0.6744612795j),(-0.002364071552-0.00362398359j),(-0.002180936048-0.003678544424j),(0.08065007627+0.05493030243j)
(3801000000+0j),(-0.2317824215+0.7038382151j),(-0.002666614251-0.003299964825j),(-0.002485332545-0.00348086888j),(0.07459620386+0.04899089502j)
(3802000000+0j),(-0.1723585874+0.7275604701j),(-0.002907284768-0.003051518695j),(-0.002742602257-0.003217119258j),(0.06806828082+0.04422340152j)
(3803000000+0j),(-0.1124554798+0.7456575537j),(-0.00307889306-0.002745511243j),(-0.003023355966-0.002950277179j),(0.06116629392+0.04093853489j)
(3804000000+0j),(-0.05208718777+0.7583303804j),(-0.003281214973-0.002469618339j),(-0.003164074617-0.002614053665j),(0.05367491394+0.03914592538j)
(3805000000+0j),(0.007320457604+0.7657705175j),(-0.003331784159-0.002142634708j),(-0.003356987378-0.002333664335j),(0.04642207175+0.03863793798j)
(3806000000+0j),(0.0665166527+0.768389289j),(-0.003488047747-0.001879844465j),(-0.003554281546-0.002008902607j),(0.03923296556+0.03962366883j)
(3807000000+0j),(0.1244230419+0.7662123939j),(-0.003591921646-0.001525675296j),(-0.003706363728-0.001694980776j),(0.03239805996+0.04221616674j)
(3808000000+0j),(0.1819353998+0.7592490012j),(-0.003738980973-0.001162578352j),(-0.003711048979-0.001378417248j),(0.02643408999+0.04608236602j)
(3809000000+0j),(0.2380085438+0.7483142214j),(-0.003731149947-0.0009778793901j),(-0.003900316311-0.001030247309j),(0.02120180242+0.05119616667j)
(3810000000+0j),(0.2915977538+0.733058464j),(-0.003848193912-0.0006141250487j),(-0.003805824788-0.0007165538846j),(0.01690304466+0.05740516423j)
(3811000000+0j),(0.3439314663+0.7144231002j),(-0.003823050298-0.0003423379676j),(-0.003829634981-0.0004238517722j),(0.01385861449+0.06472921767j)
(3812000000+0j),(0.3940392137+0.6923739864j),(-0.003720968496+3.128126264e-05j),(-0.003834212665-0.0001480253413j),(0.01196261961+0.07278079215j)
(3813000000+0j),(0.4425282478+0.666133016j),(-0.003705624258+0.0002786949044j),(-0.003827230074+0.0001652124338j),(0.01145344414+0.08150271218j)
(3814000000+0j),(0.4883211553+0.6370205017j),(-0.003620793112+0.0005705489893j),(-0.003792985575+0.0005219272571j),(0.01260265242+0.09083050593j)
(3815000000+0j),(0.5313156843+0.604823482j),(-0.003607756691+0.0008130923961j),(-0.003734287107+0.0007417979068j),(0.01545851305+0.1001977512j)
(3816000000+0j),(0.5720436573+0.5693730032j),(-0.003540253034+0.001113941194j),(-0.003656052984+0.001019383897j),(0.02004780993+0.1094012026j)
(3817000000+0j),(0.6102116108+0.5310174672j),(-0.003367620287+0.001311803469j),(-0.003584784921+0.001252030255j),(0.0261921417+0.1182960755j)
(3818000000+0j),(0.64541924+0.4900536164j),(-0.003323888406+0.001619955176j),(-0.003456253558+0.001569130924j),(0.03398610651+0.1267578777j)
(3819000000+0j),(0.6770336032+0.4465303828j),(-0.003158460604+0.00180213165j),(-0.003340016119+0.001822712016j),(0.04338518903+0.1342103407j)
(3820000000+0j),(0.7055242062+0.4012348209j),(-0.003066929756+0.002093845513j),(-0.003194739111+0.002114966745j),(0.05406082422+0.1404934413j)
(3821000000+0j),(0.730861187+0.3536315278j),(-0.002844025148+0.002333780052j),(-0.002991149668+0.002315656282j),(0.06591618061+0.1455978815j)
(3822000000+0j),(0.7527187467+0.3038507879j),(-0.002723839832+0.00255810353j),(-0.002857784275+0.002532597631j),(0.0786523968+0.1494173101j)
(3823000000+0j),(0.7712748647+0.2520844158j),(-0.002537670312+0.002771967091j),(-0.002663319698+0.002826708136j),(0.09214805812+0.1518801895j)
(3824000000+0j),(0.7855795622+0.1988906347j),(-0.00233447738+0.0028870448j),(-0.002428919775+0.003006185405j),(0.1064321026+0.1528675829j)
(3825000000+0j),(0.7961670756+0.1441404357j),(-0.002098551486+0.003174410202j),(-0.002248515608+0.003173008328j),(0.1215491816+0.1521581669j)
(3826000000+0j),(0.8023855686+0.08894564777j),(-0.001914246473+0.003369770711j),(-0.001985216048+0.003393525956j),(0.1365331411+0.1498661669j)
(3827000000+0j),(0.8046160936+0.03231484477j),(-0.001646980993+0.003458344378j),(-0.001698568929+0.003533256706j),(0.1519489884+0.1458270631j)
(3828000000+0j),(0.8028753996-0.02573188463j),(-0.001362869283+0.003666735953j),(-0.00142184447+0.003704052186j),(0.1673275232+0.1398487365j)
(3829000000+0j),(0.7963197231-0.08339830217j),(-0.001119333901+0.003739662701j),(-0.001092100865+0.003844009247j),(0.1825088859+0.1320385367j)
(3830000000+0j),(0.7850083709-0.1411301014j),(-0.0008056525839+0.003898801515j),(-0.0007736685802+0.004011594225j),(0.1968950629+0.1222176681j)
(3831000000+0j),(0.7687399983-0.1980544443j),(-0.0004598425294+0.004001297522j),(-0.0005170159275+0.00407208968j),(0.2103381753+0.1110743497j)
(3832000000+0j),(0.7476512194-0.2553642501j),(-0.0001660356793+0.004116276279j),(-0.0001298972638+0.004139119294j),(0.2228035331+0.09818007517j)
(3833000000+0j),(0.7215186954-0.3109872824j),(0.0002047404414+0.004182368983j),(0.0002364191168+0.004144134466j),(0.2340088785+0.0836857413j)
(3834000000+0j),(0.6899783611-0.365498317j),(0.0006454068352+0.00414934475j),(0.0005033917259+0.004137545824j),(0.2438701093+0.06792406911j)
(3835000000+0j),(0.6536123753-0.4175898048j),(0.000921057188+0.004167578183j),(0.0008999572019+0.004162385128j),(0.2522569895+0.05086572177j)
(3836000000+0j),(0.611805141-0.4674229432j),(0.001330448198+0.004127550405j),(0.001274493756+0.004104705993j),(0.2588666677+0.03281177376j)
(3837000000+0j),(0.5649074912-0.5141066983j),(0.00168549642+0.004050679505j),(0.001599660493+0.004053490702j),(0.2635943294+0.01396012789j)
(3838000000+0j),(0.5129445195-0.5572758382j),(0.002019445412+0.003966174554j),(0.002039127285+0.003840879537j),(0.2662417293-0.005424385922j)
(3839000000+0j),(0.4565820396-0.5956490184j),(0.002462934703+0.003679489251j),(0.002367949579+0.003683768678j),(0.2668173313-0.02526705046j)
(3840000000+0j),(0.3956780136-0.629477777j),(0.002837622305+0.003546633292j),(0.002745273523+0.003512500087j),(0.2651584148-0.04483934339j)
(3841000000+0j),(0.3304810524-0.6578187218j),(0.003175942227+0.00332505093j),(0.003060489427+0.003313772148j),(0.2614411116-0.06467861376j)
(3842000000+0j),(0.2621277869-0.6799616353j),(0.003502057632+0.003084791359j),(0.00340768462+0.003098066663j),(0.2556262016-0.08328461603j)
(3843000000+0j),(0.1898176372-0.6959278714j),(0.003856108291+0.002722106408j),(0.003678323235+0.00279866741j),(0.2480979711-0.1012330432j)
