Frequency,Complex S33,Complex S32,Complex S23,Complex S22
(3800000000+0j),(-0.1770685166+0.6849737739j),(-0.0009737937362+0.0007290226058j),(-0.001034931745+0.0005815416807j),(0.03354064748+0.09668148332j)
(3801000000+0j),(-0.1238934919+0.7034186741j),(-0.001006066217+0.0007159666857j),(-0.0009551367839+0.0007270604256j),(0.03281957656+0.09233073619j)
(3802000000+0j),(-0.07065031677+0.7172676475j),(-0.0008930916665+0.0008288616082j),(-0.0008951656055+0.0007455336163j),(0.03152510524+0.08895602079j)
(3803000000+0j),(-0.01727720164+0.7266549658j),(-0.0007306857733+0.0009126684745j),(-0.000796695298+0.0008417342906j),(0.03002313524+0.08618760941j)
(3804000000+0j),(0.03557643667+0.7317765599j),(-0.0006619452033+0.0009686265257j),(-0.0007263202569+0.0009409977938j),(0.02809411287+0.08440733096j)
(3805000000+0j),(0.0880824402+0.7328084632j),(-0.0005553523661+0.001018670388j),(-0.0006212513545+0.001041022711j),(0.02633080818+0.08316561492j)
(3806000000+0j),(0.1394069642+0.72980261j),(-0.0004851566919+0.001071604784j),(-0.0004972718889+0.0009809649782j),(0.02436301112+0.08265519698j)
(3807000000+0j),(0.1904921383+0.722669801j),(-0.0003735053469+0.001116396044j),(-0.000346438901+0.001089790952j),(0.02241300419+0.08290898508j)
(3808000000+0j),(0.2397840917+0.712290662j),(-0.0002804576652+0.00108934904j),(-0.0003885666083+0.0011277718j),(0.02076532505+0.08386773213j)
(3809000000+0j),(0.2872794569+0.6984562529j),(-0.0001987892174+0.001116723986j),(-0.0002680592297+0.001119358698j),(0.01958226971+0.08542981122j)
(3810000000+0j),(0.3340627849+0.680859907j),(-0.0001534072362+0.001082345378j),(-0.0001743291359+0.001135795261j),(0.01851055026+0.08751674161j)
(3811000000+0j),(0.3792541921+0.6606199894j),(-0.0001197797246+0.001111525577j),(-8.294139116e-05+0.001140744542j),(0.01757344231+0.09046275307j)
(3812000000+0j),(0.421818912+0.6374424345j),(1.916402471e-05+0.001096088556j),(-1.204773707e-05+0.001090829493j),(0.01732589118+0.0941210786j)
(3813000000+0j),(0.4628670216+0.6113169794j),(0.0001775813726+0.001101665897j),(0.0001471983123+0.001089317491j),(0.0179181993+0.09823574635j)
(3814000000+0j),(0.5017331839+0.5823646115j),(0.0002220520691+0.001071481034j),(0.0002297378378+0.001163704204j),(0.0192567762+0.1027190511j)
(3815000000+0j),(0.5386570692+0.5505720342j),(0.0003559504112+0.001082894625j),(0.0002585074981+0.001123383292j),(0.02145912871+0.1074185604j)
(3816000000+0j),(0.5730930567+0.5162379614j),(0.0003392721992+0.001101923524j),(0.0003576429735+0.001065786229j),(0.02463437244+0.1122418335j)
(3817000000+0j),(0.6052827835+0.4791634895j),(0.0005181541783+0.001044946956j),(0.000460559706+0.001044892124j),(0.02850706875+0.1170698731j)
(3818000000+0j),(0.634801507+0.4398188195j),(0.0006137409946+0.0009916845011j),(0.0005965920282+0.001022018143j),(0.03333698586+0.1217038177j)
(3819000000+0j),(0.6613112092+0.3984355656j),(0.0006709009176+0.0008712517447j),(0.0006542193587+0.0009561707848j),(0.03916390985+0.1260786988j)
(3820000000+0j),(0.6849652529+0.3549480553j),(0.0007481398061+0.0008898312226j),(0.0007220252301+0.0008388117421j),(0.04576317593+0.1300613083j)
(3821000000+0j),(0.7052789927+0.3098139604j),(0.000763815362+0.0007391290274j),(0.0008137678378+0.0008576948894j),(0.05313508958+0.1335825505j)
(3822000000+0j),(0.7228540182+0.2625300528j),(0.00088536978+0.0007338189753j),(0.000896920159+0.0008499145042j),(0.06140856445+0.1363989717j)
(3823000000+0j),(0.7364860177+0.214215589j),(0.0009020183934+0.0006636226899j),(0.0009522855398+0.0007166184369j),(0.07031473517+0.1384735758j)
(3824000000+0j),(0.7467392087+0.1641717191j),(0.0009729873855+0.0006314778584j),(0.0009616595344+0.0006277997745j),(0.07985351235+0.1398258752j)
(3825000000+0j),(0.7532815337+0.1125604664j),(0.001022941084+0.0005428882432j),(0.001023513614+0.0004970303271j),(0.08977530152+0.1401568773j)
(3826000000+0j),(0.7557610869+0.0608090165j),(0.001093141269+0.0004471673747j),(0.001119433553+0.0004886319512j),(0.1001406461+0.1395937407j)
(3827000000+0j),(0.7543870211+0.007790331419j),(0.001152961282+0.0003456821723j),(0.001172200777+0.0003466052003j),(0.1108727977+0.1381742722j)
(3828000000+0j),(0.7489314079-0.04551635579j),(0.001176986261+0.0002612588578j),(0.001207259251+0.0002930527553j),(0.1218256429+0.1355681457j)
(3829000000+0j),(0.738989234-0.09928508093j),(0.001172941993+0.000168459519j),(0.001202894491+0.0001915480243j),(0.132729128+0.1319093986j)
(3830000000+0j),(0.7244827747-0.1529203667j),(0.00122690422+4.56484413e-05j),(0.001164278947+1.658446126e-05j),(0.1435697526+0.1271381954j)
(3831000000+0j),(0.7054502368-0.2062444466j),(0.001268443651-4.0619223e-05j),(0.001224696869-7.00894816e-05j),(0.1542386711+0.1209941508j)
(3832000000+0j),(0.6816236377-0.2579862919j),(0.001298842835-0.0001757404243j),(0.001224679407-0.0001804196509j),(0.1646698862+0.1137563441j)
(3833000000+0j),(0.6528953314-0.3084095259j),(0.001270839944-0.0003270343586j),(0.00123324024-0.0003232345334j),(0.1743371338+0.105278354j)
(3834000000+0j),(0.6191452146-0.3571666575j),(0.001226211782-0.0003825958993j),(0.001188864931-0.0004400718899j),(0.1833607107+0.09556824606j)
(3835000000+0j),(0.5806733966-0.4037269214j),(0.001186376205-0.0004742500605j),(0.001170487609-0.000528523j),(0.1914326549+0.0850774765j)
(3836000000+0j),(0.5373960137-0.4470876195j),(0.001109786681-0.0007263392326j),(0.001194586745-0.0005701255286j),(0.1986220777+0.07374170909j)
(3837000000+0j),(0.4893744588-0.4873693245j),(0.001097345375-0.0007803613553j),(0.001086671604-0.0006938029546j),(0.2047186643+0.06183788443j)
(3838000000+0j),(0.436922282-0.5232612314j),(0.0009943449404-0.0008875923813j),(0.001045018784-0.0008444180712j),(0.2097676992+0.04919184431j)
(3839000000+0j),(0.3805144727-0.5546765496j),(0.0009590550908-0.001010801643j),(0.0009424681775-0.0009450400248j),(0.2136851698+0.03609987747j)
(3840000000+0j),(0.3205455244-0.5804944134j),(0.0008219007286-0.001081056776j),(0.0008756860625-0.001011278364j),(0.216305539+0.02253733319j)
(3841000000+0j),(0.2569455504-0.6009051729j),(0.0007169208257-0.001111585181j),(0.0007900981-0.001093320199j),(0.2177334875+0.008787944239j)
(3842000000+0j),(0.1908708215-0.6152050865j),(0.0006461518351-0.001218090532j),(0.0005951648345-0.001207618276j),(0.2179095-0.005141941621j)
(3843000000+0j),(0.1222783402-0.6229377276j),(0.0005168542848-0.001325755613j),(0.0004861883644-0.001235585543j),(0.2166519463-0.01879511685j)
(3844000000+0j),(0.05297145993-0.6235765869j),(0.0003727173898-0.001370699378j),(0.0003686835116-0.001332050306j),(0.2141138613-0.03253313367j)
(3845000000+0j),(-0.01696719974-0.6168394246j),(0.0002379053767-0.001402696129j),(0.0002965114254-0.00133404613j),(0.2102022469-0.04566553216j)
(3846000000+0j),(-0.08662538975-0.6026176948j),(0.0001089676152-0.001390459831j),(0.0001435413142-0.001407650299j),(0.2049793154-0.05830193634j)
(3847000000+0j),(-0.1551394612-0.5809341434j),(-3.498401566e-05-0.001394984778j),(8.290087862e-06-0.001360129332j),(0.1986639202-0.06993554264j)
(3848000000+0j),(-0.2208335549-0.5520157226j),(-0.0002293240977-0.001380833797j),(-0.0001224230509-0.001394206192j),(0.1913345605-0.08076185766j)
