Frequency,S33,S32,S23,S22
(3800000000+0j),(-0.2897213101+0.6769260809j),(-0.0001025623424+0.004650757648j),(-0.0003532386036+0.004572763108j),(0.03146795183+0.03597027195j)
(3801000000+0j),(-0.2313854247+0.7059906335j),(0.0002372866729+0.004548100289j),(-2.072828465e-05+0.004581274465j),(0.0250499621+0.03448785356j)
(3802000000+0j),(-0.1716118157+0.7297175329j),(0.000625449291+0.004418866709j),(0.0003723449481+0.00450032251j),(0.01837005652+0.03447665727j)
(3803000000+0j),(-0.1117828116+0.747397479j),(0.001012961031+0.004212894011j),(0.0007089983555+0.004297262058j),(0.01186228916+0.03564092534j)
(3804000000+0j),(-0.05186133459+0.7599532257j),(0.001284678001+0.004062179942j),(0.001112608123+0.004256563261j),(0.005802983418+0.03811279186j)
(3805000000+0j),(0.007942685857+0.7673369412j),(0.001663668896+0.003901186166j),(0.001474927762+0.004043711349j),(0.0001731400698+0.04166089138j)
(3806000000+0j),(0.0674059689+0.7694060381j),(0.00186006166+0.003711222438j),(0.001776187099+0.003885082901j),(-0.004778237082+0.04652036865j)
(3807000000+0j),(0.1262357086+0.7668548876j),(0.002196991351+0.003470945638j),(0.001966997981+0.003716005245j),(-0.008872259408+0.05240682038j)
(3808000000+0j),(0.1837649941+0.7596954209j),(0.002318928484+0.00323748216j),(0.002168765757+0.00350158033j),(-0.01201912388+0.0591904264j)
(3809000000+0j),(0.2395317256+0.7484786826j),(0.002552794525+0.003003299469j),(0.002435123548+0.003243167186j),(-0.01370323263+0.06675976201j)
(3810000000+0j),(0.29332757+0.7330929801j),(0.002723537153+0.002802852541j),(0.002603609115+0.002974479459j),(-0.01433469635+0.07472853811j)
(3811000000+0j),(0.3457630277+0.7140729737j),(0.002871024422+0.002590832766j),(0.002823631046+0.002772186883j),(-0.01385763753+0.08321757044j)
(3812000000+0j),(0.3963507414+0.6913805874j),(0.003031500615+0.002281011548j),(0.002960286802+0.002493673237j),(-0.01206796896+0.09186198324j)
(3813000000+0j),(0.4445361793+0.6651526412j),(0.003124008887+0.002144488739j),(0.003142561764+0.002223374089j),(-0.008904971182+0.1007022582j)
(3814000000+0j),(0.489944011+0.6358242454j),(0.00322992471+0.001839968492j),(0.003203585278+0.002016436076j),(-0.00437476486+0.1094847336j)
(3815000000+0j),(0.5331795216+0.6026745624j),(0.003344954457+0.001563334488j),(0.003365103621+0.001719167922j),(0.001610695384+0.1179843584j)
(3816000000+0j),(0.5738357306+0.5672262631j),(0.003318465082+0.00128133921j),(0.003407308366+0.001518238685j),(0.009137210436+0.1258497661j)
(3817000000+0j),(0.6116316915+0.5285529789j),(0.00344004971+0.001147857867j),(0.003530402435+0.001327696489j),(0.01771843247+0.1329439846j)
(3818000000+0j),(0.6466427445+0.4870746527j),(0.003499238752+0.0008077104576j),(0.003604110796+0.001033631968j),(0.02773245424+0.1389413906j)
(3819000000+0j),(0.6783628464+0.4433650791j),(0.003456886392+0.0006394702941j),(0.003600286786+0.0006956283469j),(0.03844166175+0.1439835347j)
(3820000000+0j),(0.7069301605+0.3970700087j),(0.003579938551+0.000312625576j),(0.003683978692+0.000442627148j),(0.05008100718+0.1475949676j)
(3821000000+0j),(0.7317710519+0.3491165626j),(0.003548039589+9.418860282e-05j),(0.003705518087+0.0002195154084j),(0.06194857508+0.1502255484j)
(3822000000+0j),(0.7536005378+0.2990051488j),(0.003503210843-0.0001789939852j),(0.003694077255-6.378379476e-05j),(0.07457257807+0.151649768j)
(3823000000+0j),(0.7714020014+0.2472183584j),(0.003499495797-0.0003686880227j),(0.003645663382-0.0003587195824j),(0.08797182143+0.1516439327j)
(3824000000+0j),(0.7855598927+0.1936164822j),(0.003471573116-0.0006832376821j),(0.003620872041-0.0005832500756j),(0.1012189984+0.1503677215j)
(3825000000+0j),(0.7956687212+0.13825512j),(0.003529879963-0.0008283998468j),(0.003567441832-0.0008686225628j),(0.1145821884+0.1477582365j)
(3826000000+0j),(0.8015437722+0.08225319721j),(0.003459188621-0.001150002237j),(0.003538922872-0.001118492917j),(0.1281642616+0.1436891675j)
(3827000000+0j),(0.8034080267+0.02584094533j),(0.003280947683-0.001458491082j),(0.003473502351-0.001389116747j),(0.1414067149+0.1383706326j)
(3828000000+0j),(0.8009174466-0.03232400339j),(0.003295959206-0.001626780024j),(0.003352158703-0.001625336474j),(0.1545720994+0.1316471526j)
(3829000000+0j),(0.793838799-0.0899886604j),(0.003154221922-0.001877331524j),(0.003295895876-0.001905679121j),(0.1673175097+0.1232003107j)
(3830000000+0j),(0.781738162-0.1480348695j),(0.002997173229-0.002154177288j),(0.003081810661-0.002131513786j),(0.1791691929+0.1136707003j)
(3831000000+0j),(0.7648961544-0.2055088507j),(0.002847906668-0.002395527437j),(0.002949153772-0.002365745604j),(0.1902114898+0.102245431j)
(3832000000+0j),(0.7431893349-0.2623509886j),(0.002758530434-0.002644819673j),(0.002758251503-0.002633342752j),(0.2000954747+0.08999802672j)
(3833000000+0j),(0.7160943151-0.3181181153j),(0.002530756872-0.002863306552j),(0.002612146549-0.002885429654j),(0.2089598775+0.07638973726j)
(3834000000+0j),(0.6840945482-0.3724078908j),(0.002278144704-0.003053217195j),(0.002425142098-0.003058750648j),(0.2160578668+0.06204265416j)
(3835000000+0j),(0.6469355822-0.4240221586j),(0.002086256631-0.003262099111j),(0.002187110716-0.003238832345j),(0.2220684141+0.04670483438j)
(3836000000+0j),(0.6045130491-0.4736921957j),(0.001769072143-0.003469048534j),(0.001931924955-0.003420762718j),(0.2265134156+0.03096582967j)
(3837000000+0j),(0.5569247603-0.5199106379j),(0.001571033965-0.003697535489j),(0.001685134368-0.003624004778j),(0.2293101847+0.01466205498j)
(3838000000+0j),(0.5046840906-0.5621678164j),(0.00127529481-0.003825461725j),(0.001412109123-0.003844634863j),(0.2304622084-0.001742548391j)
(3839000000+0j),(0.4474564195-0.6003589542j),(0.0009546540678-0.004038871266j),(0.001056433073-0.00394601794j),(0.2299609333-0.01844677943j)
(3840000000+0j),(0.3861488998-0.6333563277j),(0.0006195995957-0.004118095618j),(0.0007460373454-0.004038129933j),(0.2277591825-0.03491339508j)
(3841000000+0j),(0.3207809925-0.6608943569j),(0.000320295163-0.004238531459j),(0.0004591956385-0.004179005977j),(0.223953411-0.05123642862j)
