Frequency,Complex S33,Complex S32,Complex S23,Complex S22
(3800000000+0j),(-0.1691213995+0.6160423072j),(0.0005801024963-0.0001396992011j),(0.0005752281868-0.0001002642166j),(0.03347372636+0.04931280022j)
(3801000000+0j),(-0.1238776222+0.6341272871j),(0.0005420992384-0.0001837866876j),(0.0005745465169-0.0001401778281j),(0.02902179211+0.04369807404j)
(3802000000+0j),(-0.07812146842+0.6486991824j),(0.0005505078589-0.0002290044067j),(0.0006276736967-0.0001795882563j),(0.02370606177+0.0392997406j)
(3803000000+0j),(-0.0327338092+0.6593320031j),(0.0004406009393-0.0002384638647j),(0.0005613393732-0.0002867247094j),(0.01780199632+0.03608087818j)
(3804000000+0j),(0.0127732493+0.6664027302j),(0.0004777540162-0.0002893708297j),(0.0004972162424-0.000221018825j),(0.01139585022+0.03421544955j)
(3805000000+0j),(0.05871770158+0.6699888687j),(0.0004912691074-0.0003769999021j),(0.0004967741552-0.0003312514455j),(0.004842126742+0.03373501809j)
(3806000000+0j),(0.1041825935+0.6699720152j),(0.0004183053679-0.0003724127018j),(0.0005002514226-0.0002582166635j),(-0.001559680444+0.03469060889j)
(3807000000+0j),(0.1492875814+0.666609555j),(0.0004158430093-0.0003748524759j),(0.000445697282-0.0003887834609j),(-0.007754646707+0.03674836798j)
(3808000000+0j),(0.1932129562+0.6600498046j),(0.0002999330172-0.0004240726703j),(0.0003652957967-0.0004145830171j),(-0.01359686907+0.04016582134j)
(3809000000+0j),(0.2361507267+0.6504466648j),(0.0003163220244-0.0003862515441j),(0.0003148947435-0.0005067650345j),(-0.01892110147+0.04463513209j)
(3810000000+0j),(0.2782190144+0.6376638206j),(0.0002607908682-0.0004431548005j),(0.0002735314774-0.0004849438847j),(-0.02352335677+0.05030231647j)
(3811000000+0j),(0.3191573322+0.6224339837j),(0.000173145032-0.0004447814426j),(0.0002464688732-0.0005342493532j),(-0.02746917494+0.05718027253j)
(3812000000+0j),(0.3583245575+0.6042642953j),(0.0001312017557-0.0004652259231j),(0.0001891847787-0.0005252473638j),(-0.03026730195+0.06500766032j)
(3813000000+0j),(0.3962599933+0.5837487965j),(0.0001584455167-0.0004874061851j),(0.0001595901995-0.0004341467866j),(-0.0317331329+0.07362066469j)
(3814000000+0j),(0.4327957034+0.5604801613j),(7.261843712e-05-0.0004886836396j),(7.418261521e-05-0.0005340158823j),(-0.03192336485+0.08296973398j)
(3815000000+0j),(0.4673245847+0.534601754j),(7.157044456e-05-0.0005093530053j),(4.866233576e-05-0.0005021341494j),(-0.03066927195+0.09267955327j)
(3816000000+0j),(0.499781847+0.5063906308j),(3.385676973e-05-0.0004427360254j),(1.686391261e-05-0.0005549333873j),(-0.02765683457+0.1026794948j)
(3817000000+0j),(0.5305784345+0.47584301j),(-0.0001080477741-0.0004945165711j),(-7.114612526e-05-0.0005311530549j),(-0.02312722616+0.1124446112j)
