Frequency,Complex S33,Complex S32,Complex S23,Complex S22
(4012000000+0j),(-0.2595202923+0.6184679259j),(-0.000239632529+8.625273767e-05j),(-0.0002461631957-1.382173832e-05j),(0.01810805313+0.04582991214j)
(4013000000+0j),(-0.2066940665+0.6464290404j),(-0.0002568744821-1.514100859e-06j),(-0.0001513487659+7.190667384e-05j),(0.01907110028+0.05661582776j)
(4014000000+0j),(-0.1522364467+0.6692680015j),(-0.000260109111+1.034983688e-05j),(-0.0001581467659+2.688048517e-05j),(0.02185943909+0.0675985464j)
(4015000000+0j),(-0.09681909531+0.6871747922j),(-0.0002240014583+5.70766606e-05j),(-0.0001585481514+8.684159548e-05j),(0.02680167183+0.07829958358j)
(4016000000+0j),(-0.04102484882+0.6999215028j),(-0.0001722110901+5.515010344e-05j),(-0.0001633211214+6.275544729e-05j),(0.03344690427+0.08822799773j)
(4017000000+0j),(0.01480888762+0.7077203298j),(-0.000188635604+6.474319525e-05j),(-0.0001922679803+8.447656728e-05j),(0.04167648405+0.09730779305j)
(4018000000+0j),(0.07007666677+0.7107101437j),(-0.0001903118682+0.0001447709074j),(-0.0002164213511+5.31932892e-05j),(0.0515191853+0.1054379812j)
(4019000000+0j),(0.1246506721+0.7093650423j),(-0.0001737560815+0.0001115377818j),(-0.0001692120131+0.000100874895j),(0.06269711256+0.1126513032j)
(4020000000+0j),(0.1789760441+0.7035699193j),(-0.0001793043775+0.000143881698j),(-0.0001708930504+0.0001281255099j),(0.07532197982+0.1184240703j)
(4021000000+0j),(0.2316062003+0.6933574504j),(-0.00017242186+0.0001222584251j),(-0.0001357887959+0.0002067919704j),(0.08895529062+0.1228202226j)
(4022000000+0j),(0.2828541994+0.679347129j),(-0.0001543258113+0.0001028688057j),(-0.0001965151459+0.0001502010709j),(0.1034498736+0.1255445654j)
(4023000000+0j),(0.3323671222+0.6614502171j),(-7.489998825e-05+0.0002219123126j),(-0.0001348113874+0.0001832529379j),(0.118857801+0.1266235481j)
(4024000000+0j),(0.3797094226+0.6399846919j),(-0.0001330214727+0.0002078191028j),(-0.0001643410651+0.000168515835j),(0.1349213123+0.125847112j)
(4025000000+0j),(0.4250414073+0.6152219723j),(-0.0001433041325+0.0001932023442j),(-5.788126873e-05+0.0002023643465j),(0.1515154839+0.1228057004j)
(4026000000+0j),(0.4682380855+0.5869393852j),(-6.343683344e-05+0.0002089526388j),(-9.290603339e-05+0.0001900923962j),(0.1680403352+0.117570904j)
(4027000000+0j),(0.508779943+0.5555705712j),(-6.691607268e-05+0.0001866057137j),(-9.822680295e-05+0.0001870663691j),(0.1841960847+0.1102092506j)
(4028000000+0j),(0.5464952588+0.5217121695j),(-5.609136497e-05+0.0002244668867j),(-1.634149885e-05+0.0002019365202j),(0.1995735019+0.1007803482j)
(4029000000+0j),(0.5814480186+0.4851575349j),(3.738857231e-06+0.0003081116301j),(-4.557447755e-05+0.0002292165009j),(0.2141503096+0.08952415401j)
(4030000000+0j),(0.61329633+0.4462811991j),(-3.185368405e-05+0.0002600286971j),(-3.410629006e-06+0.0002287124953j),(0.2277419716+0.07659724398j)
(4031000000+0j),(0.642370224+0.4050413358j),(4.005370283e-05+0.000204886921j),(2.017874431e-05+0.0001883026853j),(0.2400433421+0.0620136844j)
(4032000000+0j),(0.6680414677+0.3618108212j),(4.953409734e-05+0.0001891232823j),(4.630966578e-05+0.0002277000749j),(0.2510715127+0.04588484185j)
(4033000000+0j),(0.6907663941+0.3165853786j),(8.493284986e-05+0.0002203909098j),(2.090652742e-05+0.0002056165686j),(0.2604471445+0.02850136377j)
(4034000000+0j),(0.7096893787+0.2701029186j),(7.04674967e-05+0.0002008092706j),(1.123360562e-05+0.0001842925412j),(0.2680327892+0.01005626129j)
(4035000000+0j),(0.7252470255+0.2217406583j),(0.0001241559658+0.0002135754476j),(5.28005221e-05+0.0001926032273j),(0.2740615904-0.00930339463j)
