Frequency,Complex S33,Complex S32,Complex S23,Complex S22
(3800000000+0j),(-0.2998427451+0.6522398866j),(-1.637781861e-05-0.0002039348474j),(7.127808203e-06-0.0002224680502j),(0.008231320418+0.04744398964j)
(3801000000+0j),(-0.2441611886+0.6830786754j),(-3.454224861e-05-0.0001708813215j),(-1.155238169e-05-0.0003004997561j),(0.003825198859+0.0455068392j)
(3802000000+0j),(-0.1877166927+0.7079666183j),(-1.570465793e-05-0.0001463529625j),(-3.607184408e-05-0.0002498195681j),(-0.0008362781955+0.04466562724j)
(3803000000+0j),(-0.130363211+0.7278398508j),(1.296095093e-06-0.0001412982092j),(-8.963942673e-05-0.0001774989796j),(-0.00581821939+0.04516540134j)
(3804000000+0j),(-0.07216985524+0.7421994408j),(-5.137636253e-05-0.0001137280269j),(-7.964597171e-05-0.0001450407144j),(-0.01062491909+0.04662459941j)
(3805000000+0j),(-0.01429677662+0.7515219243j),(-5.581781443e-05-7.707408804e-05j),(-6.481918535e-05-0.0001267763j),(-0.01522910129+0.04940468985j)
(3806000000+0j),(0.04342156649+0.7562655494j),(-0.0001258972043-6.657628546e-05j),(-0.0001000687189-0.0001672650105j),(-0.01963347755+0.0532256108j)
(3807000000+0j),(0.1006540507+0.7562501858j),(-0.0001440424094-6.620133354e-05j),(-0.0001642565621-7.516724872e-05j),(-0.02299792133+0.05807800159j)
(3808000000+0j),(0.1568979025+0.7517555162j),(-0.0001227114699-5.215467536e-05j),(-0.0001666815515-7.518617349e-05j),(-0.02558017895+0.06379494729j)
(3809000000+0j),(0.2114000767+0.7429963879j),(-9.814330406e-05+7.245279448e-06j),(-0.000167881386-5.802238775e-06j),(-0.0274426043+0.07031084486j)
(3810000000+0j),(0.2650576234+0.7302171747j),(-0.0001372931147+1.577884541e-05j),(-0.0001770866074-3.283660772e-05j),(-0.02823431417+0.07737474977j)
(3811000000+0j),(0.3171613812+0.7138504038j),(-0.0001751463715-1.764040644e-05j),(-0.000157654431+3.919569281e-05j),(-0.02789199725+0.08512545516j)
(3812000000+0j),(0.3670456409+0.6937433496j),(-0.0001257973054-1.228073688e-05j),(-0.0001724274189+3.820933671e-06j),(-0.02628208883+0.09320288043j)
(3813000000+0j),(0.4145285487+0.6704399715j),(-0.0001694877283+4.646545131e-05j),(-0.0002131085639+0.000118893222j),(-0.02329496294+0.1013604927j)
(3814000000+0j),(0.4610650539+0.6431156128j),(-9.832219075e-05+4.845156946e-05j),(-0.0001628293248+0.0001238692203j),(-0.01929448172+0.1092652903j)
(3815000000+0j),(0.5045892596+0.6130951593j),(-0.0001609517058+0.0001122087997j),(-0.000163301549+0.0001005515514j),(-0.01393025182+0.1168821733j)
(3816000000+0j),(0.5456357002+0.5799252532j),(-6.756497896e-05+0.0001458735787j),(-0.000140292861+0.0001563287369j),(-0.007422655821+0.1240283943j)
(3817000000+0j),(0.5845073462+0.5433309175j),(-0.0001069610589+0.0001144326379j),(-6.851325452e-05+0.0002075194934j),(2.540813148e-05+0.1307423132j)
(3818000000+0j),(0.6200093031+0.5050229056j),(-3.011440094e-05+0.0001639437251j),(-3.41814557e-05+0.0001521592058j),(0.008429581299+0.1367315273j)
(3819000000+0j),(0.6531293988+0.4631364603j),(-9.343275451e-05+0.0002013368212j),(-8.554804663e-05+0.0002148714557j),(0.01824594662+0.1417195646j)
(3820000000+0j),(0.6827923059+0.4190872161j),(-6.801244308e-05+0.0002285805385j),(-2.871814468e-05+0.0001808529778j),(0.02851962671+0.145870968j)
(3821000000+0j),(0.7092987299+0.3735072261j),(-3.780885527e-05+0.0002249060781j),(-3.759560423e-05+0.0002201003954j),(0.03940046579+0.1489120653j)
(3822000000+0j),(0.7326475978+0.3250647475j),(3.80783531e-05+0.0002102147118j),(-1.76917456e-05+0.0002307404211j),(0.05115855485+0.1508502208j)
