Frequency,Complex S33,Complex S32,Complex S23,Complex S22
(3800000000+0j),(-0.1696551442+0.6160214102j),(0.001120258705-0.00241712667j),(0.001184801571-0.002189024119j),(0.01209463552+0.06551440559j)
(3801000000+0j),(-0.1242258996+0.6343394341j),(0.0008002084214-0.002488995437j),(0.0009747016593-0.002308437601j),(0.009285433218+0.06298532716j)
(3802000000+0j),(-0.0784406215+0.6488158005j),(0.0005033608177-0.002445622813j),(0.000716756389-0.002357847057j),(0.006099476945+0.06155101291j)
(3803000000+0j),(-0.03254093975+0.6594171719j),(0.0003059606533-0.002504651668j),(0.000507135177-0.002361627296j),(0.002866639523+0.06099312348j)
(3804000000+0j),(0.01354193222+0.6664718053j),(5.257040175e-05-0.002435975475j),(0.0001734200778-0.002362758154j),(-0.000520692498+0.06158489303j)
(3805000000+0j),(0.05907033011+0.6699924611j),(-0.0002366971748-0.002439034171j),(-2.844653864e-05-0.002367072506j),(-0.003550818888+0.06305102755j)
(3806000000+0j),(0.1043722183+0.6700183523j),(-0.0003886384075-0.00236479356j),(-0.0002247256489-0.002343440894j),(-0.006399190985+0.0655139711j)
(3807000000+0j),(0.1490412652+0.6667834926j),(-0.0006394285592-0.00225409423j),(-0.0004890243872-0.002229348291j),(-0.008743979968+0.06878903114j)
(3808000000+0j),(0.1934283078+0.6601402528j),(-0.000874875288-0.002166824648j),(-0.0007098328206-0.002213064115j),(-0.01025680546+0.07270465078j)
(3809000000+0j),(0.2366497517+0.6502733832j),(-0.001035963302-0.002111015609j),(-0.0008281104383-0.00210294174j),(-0.0113853151+0.07740059053j)
(3810000000+0j),(0.2784408033+0.6377755623j),(-0.001253865543-0.001932866639j),(-0.001010553795-0.001989308512j),(-0.01152136922+0.08271647982j)
(3811000000+0j),(0.3194270134+0.6221984862j),(-0.001390090561-0.001779338927j),(-0.001215648372-0.001879562042j),(-0.01084452588+0.08860287535j)
(3812000000+0j),(0.3589562774+0.6041993693j),(-0.00153869763-0.001612571999j),(-0.00134359044-0.001724539674j),(-0.00896913372+0.09471819292j)
(3813000000+0j),(0.3966121078+0.5835894389j),(-0.001646495541-0.001382364193j),(-0.001479838509-0.001575710368j),(-0.005918844603+0.1008542328j)
