X,Y,Z
50.44171554252199,8.518433041503153e-15,-29.999999999999986
46.677785923753675,8.979381477487208e-15,-34.999999999999986
41.754765395894424,9.582277610645161e-15,-39.999999999999986
35.52932551319648,1.0344674113208193e-14,-44.99999999999998
26.73020527859238,1.1422255556270254e-14,-49.99999999999998
10.764662756598256,1.337747061089136e-14,-54.99999999999998
-23.21114369501467,40.20288018154738,-30.0
-21.77785923753666,37.720358679496684,-35.0
-19.291422287390034,33.41372355202613,-40.0
-16.135080645161295,27.94677946164056,-45.0
-11.953629032258057,20.704292818701333,-50.0
-3.9459310850439806,6.834553122461557,-55.0
-28.59530791788854,-49.528526171859596,-29.999999999999986
-26.641678885630476,-46.144741428847006,-34.999999999999986
-24.295454545454525,-42.0809616657075,-39.999999999999986
-21.217008797653946,-36.748937222172515,-44.999999999999986
-17.0449046920821,-29.522640936855367,-49.99999999999998
-9.900293255131963,-17.14781092772003,-54.99999999999998
