X_value,Y_value,Z_value
62.18841642228739,7.079877078208544e-15,-14.999999999999988
61.47800586510264,7.166877279702224e-15,-16.999999999999986
60.780058651026394,7.252351161871451e-15,-18.999999999999986
59.87023460410557,7.363772472556339e-15,-20.999999999999986
59.06011730205279,7.462983228645622e-15,-22.999999999999986
58.07551319648094,7.583562455277213e-15,-24.999999999999986
57.05975073313783,7.70795748021993e-15,-26.999999999999986
55.91935483870968,7.847615698407152e-15,-28.999999999999986
54.616935483870975,8.00711606781223e-15,-30.999999999999986
53.32697947214076,8.165090117892858e-15,-32.999999999999986
51.7316715542522,8.360458991422524e-15,-34.999999999999986
50.17998533724341,8.550485747316612e-15,-36.999999999999986
48.416422287390034,8.76645993172636e-15,-38.999999999999986
46.64039589442815,8.98396043546056e-15,-40.999999999999986
44.56524926686217,9.23809260298157e-15,-42.999999999999986
42.41532258064517,9.501382686449283e-15,-44.999999999999986
39.85410557184751,9.815041307623863e-15,-46.99999999999998
37.09347507331378,1.0153121037989652e-14,-48.99999999999998
33.75953079178886,1.0561411457280165e-14,-50.99999999999998
30.145161290322577,1.1004044061370814e-14,-52.99999999999998
25.677052785923763,1.1551229539186321e-14,-54.99999999999998
20.305351906158364,1.2209073168024494e-14,-56.99999999999998
9.150659824046926,1.3575128963407703e-14,-58.99999999999998
5.536290322580641,1.4017761567498354e-14,-60.99999999999997
2.5575513196480983,1.4382551886042027e-14,-62.99999999999997
60.93236412123882,12.120200797394922,-14.999999999999995
60.37006640182876,12.008352826854885,-16.999999999999996
59.673306184298895,11.869758602490055,-18.999999999999996
58.86041926384739,11.708065340731086,-20.999999999999996
58.04142041166317,11.545156340161899,-22.999999999999996
57.075735197893714,11.353069608147486,-24.999999999999996
56.06115453026251,11.15125696565133,-26.999999999999996
54.979342613571404,10.936071196242775,-28.999999999999996
53.69583694970061,10.680766046097036,-30.999999999999993
50.93935573824476,10.132467842688802,-34.99999999999999
49.40526087333252,9.827317401324134,-36.99999999999999
45.85422853662331,9.120973152587585,-40.99999999999999
43.800619474430036,8.7124849123544,-42.99999999999999
41.72256268530589,8.299133716880343,-44.99999999999999
39.21667067489149,7.8006808046910425,-46.99999999999999
36.502972985564654,7.260892772954335,-48.99999999999999
33.32476848455126,6.628708591641072,-50.99999999999999
29.90819864596186,5.949110596729319,-52.99999999999999
25.305914051225145,5.033659272635308,-54.99999999999999
20.20856298613826,4.0197331049136515,-56.99999999999999
8.259736448674431,1.6429637309378364,-58.99999999999999
5.607158076674779,1.115333087303302,-60.99999999999999
2.997363226804154,0.5962126153402991,-62.99999999999999
57.56975136788624,23.846171799025516,-14.999999999999988
56.96523341864407,23.595772265751435,-16.999999999999986
56.36071546940189,23.345372732477358,-18.999999999999986
55.54317690947438,23.006737173192416,-20.999999999999986
54.77745417376763,22.68956443104525,-22.999999999999986
53.879313220607834,22.317542267323763,-24.999999999999986
52.9466283846342,21.931211558843756,-26.999999999999986
50.68976137413009,20.996386634620535,-30.999999999999986
49.497997417052666,20.502741840451634,-32.999999999999986
48.1047274768945,19.925630535191374,-34.999999999999986
46.68267096772483,19.336595442632355,-36.999999999999986
45.0303219064629,18.65217005168321,-38.999999999999986
43.29737045196866,17.934358056297516,-40.999999999999986
41.316854503975264,17.114001490142442,-42.999999999999986
39.29603735936571,16.276951621769093,-44.999999999999986
36.97008258323392,15.31350960802883,-46.999999999999986
34.40807794120758,14.252292538438692,-48.99999999999998
31.466090588229008,13.033681476504846,-50.99999999999998
28.19593634851897,11.679139239365071,-52.99999999999998
23.964310703823756,9.926342506446517,-54.99999999999998
8.212300140713438,3.4016460965619686,-58.99999999999998
5.563935791652497,2.3046576650755313,-60.99999999999998
2.9616299530099894,1.2267472932671168,-62.99999999999997
51.87876619487849,34.66428333302768,-14.999999999999995
51.220722612414704,34.2245926684055,-16.999999999999993
50.702578059293614,33.878379546655744,-18.999999999999993
50.003082912580155,33.41099183229358,-20.999999999999993
49.345039330116364,32.9713011676714,-22.999999999999993
48.526370936185046,32.42428443530679,-24.999999999999993
47.62479941375436,31.821873603462222,-26.999999999999993
46.692139218136404,31.198689984312665,-28.999999999999993
45.66103155742544,30.509725872030664,-30.999999999999993
44.60919811458963,29.806913234878664,-32.99999999999999
43.32938106838054,28.951766824156778,-34.99999999999999
42.04956402217146,28.09662041343489,-36.99999999999999
40.5469448181203,27.09260236036061,-38.99999999999999
39.065051396193994,26.102432832156317,-40.99999999999999
37.32408569770714,24.93915674307715,-42.99999999999999
35.4950354251897,23.717024423300522,-44.99999999999999
33.334372638674765,22.273315705604062,-46.99999999999999
31.00272214962986,20.71535665773017,-48.99999999999999
28.396455047430806,18.973904655328923,-50.99999999999999
25.386035193797284,16.96240641796286,-52.99999999999999
21.940373915542054,14.660089158327011,-54.99999999999999
17.04908933407897,11.391837289009345,-56.99999999999999
7.712124486836984,5.153076835078821,-58.999999999999986
5.054042929325803,3.3770035205025977,-60.999999999999986
2.976283271310237,1.9886889022860856,-62.999999999999986
44.017915535593666,44.017915535593644,-14.999999999999986
43.524392327610094,43.52439232761007,-16.999999999999986
43.0396820340548,43.03968203405478,-18.999999999999986
42.51090716835811,42.51090716835809,-20.999999999999986
41.92044190166348,41.92044190166346,-22.999999999999986
41.20218937575881,41.20218937575879,-24.999999999999986
40.43105936328448,40.43105936328446,-26.999999999999986
39.68636809409499,39.686368094094966,-28.999999999999986
38.813889565695455,38.81388956569543,-30.999999999999982
37.88412709351212,37.8841270935121,-32.999999999999986
36.795732161619775,36.79573216161975,-34.999999999999986
35.694117858085015,35.694117858084994,-36.999999999999986
34.442684009269534,34.44268400926951,-38.99999999999998
33.15599850274093,33.15599850274091,-40.99999999999998
31.644583678291234,31.644583678291212,-42.99999999999998
30.05825908120117,30.05825908120115,-44.99999999999998
28.16348247912139,28.16348247912137,-46.99999999999998
26.224641304900217,26.224641304900196,-48.99999999999998
24.05666435554381,24.056664355543788,-50.99999999999998
21.55379665791282,21.553796657912798,-52.99999999999998
18.491308894086202,18.491308894086174,-54.99999999999998
14.46821345757725,14.468213457577235,-56.99999999999998
6.518964643270422,6.518964643270394,-58.99999999999997
4.289297292916061,4.289297292916032,-60.99999999999997
2.738224353539124,2.7382243535390955,-62.99999999999997
34.49810103458782,51.63005680938036,-14.999999999999998
34.17612283136055,51.14818237497776,-17.0
33.75374282282585,50.51604602017002,-19.0
33.31059002698617,49.85282099217503,-21.0
32.88821001845147,49.220684637367306,-23.0
32.33080689243437,48.38647190684236,-25.0
31.718009666937313,47.46935604781803,-27.0
31.12598522874523,46.583328861980974,-29.0
30.41971046037574,45.52631397361395,-30.999999999999996
29.699587167136258,44.4485733031221,-33.0
28.84790288763186,43.17393770244421,-35.0
27.9546730335175,41.837124755391805,-37.0
26.9887384238357,40.391501452183974,-39.0
25.977796108326423,38.8785193570704,-41.0
24.800671494377262,37.1168278764587,-43.0
23.54045573120817,35.230781703097946,-45.0
22.110595538381695,33.090844698707855,-47.0
20.566485015377808,30.779919991787807,-49.0
18.84234366906403,28.199560117244772,-51.0
16.913936580917913,25.313494956360316,-53.0
14.43505062918969,21.603579956013334,-55.0
11.918081234068993,17.836669054823034,-57.0
5.748563404488415,8.603333118205242,-59.0
3.318147289805154,4.965958355295214,-61.0
2.1721818568134807,3.250899884464417,-63.0
